This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Death rate(deaths/1,000 population) 	 Date of Information
1 	 Botswana 	     29.36 	 2004 est.
2 	 Angola 	     25.90 	 2004 est.
3 	 Swaziland 	     25.26 	 2004 est.
4 	 Lesotho 	     25.03 	 2004 est.
5 	 Zimbabwe 	     24.66 	 2004 est.
6 	 Malawi 	     23.39 	 2004 est.
7 	 Niger 	     21.33 	 2004 est.
8 	 South Africa 	     21.32 	 2004 est.
9 	 Mozambique 	     20.99 	 2004 est.
10 	 Afghanistan 	     20.75 	 2004 est.
11 	 Sierra Leone 	     20.61 	 2004 est.
12 	 Central African Republic 	     20.27 	 2004 est.
13 	 Zambia 	     20.23 	 2004 est.
14 	 Djibouti 	     19.39 	 2004 est.
15 	 Mali 	     19.05 	 2004 est.
16 	 Burkina Faso 	     18.86 	 2004 est.
17 	 Namibia 	     18.36 	 2004 est.
18 	 Liberia 	     17.87 	 2004 est.
19 	 Burundi 	     17.43 	 2004 est.
20 	 Nigeria 	     17.18 	 2004 est.
21 	 Somalia 	     16.97 	 2004 est.
22 	 Tanzania 	     16.71 	 2004 est.
23 	 Guinea-Bissau 	     16.53 	 2004 est.
24 	 Ukraine 	     16.42 	 2004 est.
25 	 Chad 	     16.41 	 2004 est.
26 	 Rwanda 	     16.32 	 2004 est.
27 	 Cameroon 	     15.40 	 2004 est.
28 	 Guinea 	     15.38 	 2004 est.
29 	 Ethiopia 	     15.06 	 2004 est.
30 	 Cote d'Ivoire 	     14.94 	 2004 est.
31 	 Kenya 	     14.65 	 2004 est.
32 	 Congo, Democratic Republic of the 	     14.64 	 2004 est.
33 	 Russia 	     14.52 	 2004 est.
34 	 Congo, Republic of the 	     14.49 	 2004 est.
35 	 Bulgaria 	     14.26 	 2004 est.
36 	 Belarus 	     14.15 	 2004 est.
37 	 Benin 	     13.76 	 2004 est.
38 	 Latvia 	     13.70 	 2004 est.
39 	 Eritrea 	     13.53 	 2004 est.
40 	 Estonia 	     13.21 	 2004 est.
41 	 Hungary 	     13.19 	 2004 est.
42 	 Bhutan 	     12.94 	 2004 est.
43 	 Uganda 	     12.80 	 2004 est.
44 	 Moldova 	     12.79 	 2004 est.
45 	 Monaco 	     12.71 	 2004 est.
46 	 Mauritania 	     12.44 	 2004 est.
47 	 Haiti 	     12.34 	 2004 est.
