This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures - dollar figure 	 Date of Information
1 	 United States 	 $     370,700,000,000 	 March 2003
2 	 China 	 $      60,000,000,000 	 2003 est.
3 	 France 	 $      45,238,100,000 	 2003
4 	 United Kingdom 	 $      42,836,500,000 	 2003
5 	 Japan 	 $      42,488,100,000 	 2003
6 	 Germany 	 $      35,063,000,000 	 2003
7 	 Italy 	 $      28,182,800,000 	 2003
8 	 Saudi Arabia 	 $      18,000,000,000 	 2002
9 	 Korea, South 	 $      14,522,000,000 	 FY03
10 	 Australia 	 $      14,120,100,000 	 2003
11 	 India 	 $      14,018,800,000 	 2003
12 	 Turkey 	 $      12,155,000,000 	 2003
13 	 Brazil 	 $      10,439,400,000 	 2003
14 	 Spain 	 $       9,906,500,000 	 2003
15 	 Canada 	 $       9,801,700,000 	 2003
16 	 Israel 	 $       9,110,000,000 	 FY03
17 	 Netherlands 	 $       8,044,400,000 	 2003
18 	 Taiwan 	 $       7,611,700,000 	 2003
19 	 Greece 	 $       7,288,900,000 	 2003
20 	 Korea, North 	 $       5,217,400,000 	 FY02
21 	 Mexico 	 $       5,168,300,000 	 2003
22 	 Singapore 	 $       4,470,000,000 	 
23 	 Sweden 	 $       4,395,000,000 	 FY01
24 	 Argentina 	 $       4,300,000,000 	 
25 	 Iran 	 $       4,300,000,000 	 2003 est.
26 	 Norway 	 $       4,033,500,000 	 2003
27 	 Belgium 	 $       3,999,000,000 	 2003
28 	 Poland 	 $       3,500,000,000 	 2002
29 	 Portugal 	 $       3,497,800,000 	 2003
30 	 Colombia 	 $       3,300,000,000 	 
31 	 Denmark 	 $       3,271,600,000 	 2003
32 	 Chile 	 $       2,839,600,000 	 2003
33 	 Pakistan 	 $       2,700,000,000 	 FY02/03
34 	 South Africa 	 $       2,653,400,000 	 2003
35 	 Switzerland 	 $       2,548,000,000 	 FY01
36 	 Kuwait 	 $       2,500,400,000 	 2003
37 	 Egypt 	 $       2,443,200,000 	 2003
38 	 Morocco 	 $       2,297,200,000 	 2003
39 	 Algeria 	 $       2,196,600,000 	 2003
40 	 Jordan 	 $       2,043,200,000 	 2003
41 	 Finland 	 $       1,800,000,000 	 FY98/99
42 	 Thailand 	 $       1,775,000,000 	 
43 	 Malaysia 	 $       1,690,000,000 	 
44 	 United Arab Emirates 	 $       1,600,000,000 	 
45 	 Austria 	 $       1,497,000,000 	 FY01/02
46 	 Iraq 	 $       1,300,000,000 	 FY00
47 	 Libya 	 $       1,300,000,000 	 
48 	 Czech Republic 	 $       1,190,200,000 	 FY01
49 	 New Zealand 	 $       1,147,000,000 	 FY03/04
50 	 Venezuela 	 $       1,125,600,000 	 2003
51 	 Hungary 	 $       1,080,000,000 	 2002 est.
52 	 Indonesia 	 $       1,000,000,000 	 
53 	 Philippines 	 $        995,000,000 	 
54 	 Romania 	 $        985,000,000 	 2002
55 	 Yemen 	 $        885,600,000 	 2003
56 	 Syria 	 $        858,000,000 	 
57 	 Peru 	 $        829,400,000 	 2003
58 	 Qatar 	 $        723,000,000 	 
59 	 Ireland 	 $        700,000,000 	 FY00/01
60 	 Serbia and Montenegro 	 $        654,000,000 	 2002
61 	 Ecuador 	 $        650,000,000 	 2003
62 	 Vietnam 	 $        650,000,000 	 
63 	 Bahrain 	 $        618,100,000 	 2003
64 	 Ukraine 	 $        617,900,000 	 FY02
65 	 Bangladesh 	 $        606,800,000 	 2003
66 	 Sudan 	 $        581,000,000 	 
67 	 Cuba 	 $        572,300,000 	 2003
68 	 Lebanon 	 $        541,000,000 	 
69 	 Croatia 	 $        520,000,000 	 2002 est.
70 	 Sri Lanka 	 $        518,000,000 	 2003
