This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
1 	 World 	 $    6,421,000,000,000 	 2002 est.
2 	 European Union 	 $     850,300,000,000 	 2002
3 	 United States 	 $     714,500,000,000 	 2003 est.
4 	 Germany 	 $     696,900,000,000 	 2003 est.
5 	 Japan 	 $     447,100,000,000 	 2003 est.
6 	 China 	 $     436,100,000,000 	 2003 est.
7 	 France 	 $     346,500,000,000 	 2003 est.
8 	 United Kingdom 	 $     304,500,000,000 	 2003 est.
9 	 Canada 	 $     279,300,000,000 	 2003 est.
10 	 Italy 	 $     278,100,000,000 	 2003 est.
11 	 Netherlands 	 $     253,200,000,000 	 2003 est.
12 	 Hong Kong 	 $     225,900,000,000 	 2003 est.
13 	 Korea, South 	 $     201,300,000,000 	 2003 est.
14 	 Belgium 	 $     182,900,000,000 	 2003 est.
15 	 Mexico 	 $     164,800,000,000 	 2003 est.
16 	 Spain 	 $     159,400,000,000 	 2003 est.
17 	 Taiwan 	 $     143,000,000,000 	 2003 est.
18 	 Singapore 	 $     142,400,000,000 	 2003 est.
19 	 Russia 	 $     134,400,000,000 	 2003 est.
20 	 Switzerland 	 $     110,000,000,000 	 2003 est.
21 	 Sweden 	 $     102,800,000,000 	 2003 est.
22 	 Malaysia 	 $      98,400,000,000 	 2003 est.
23 	 Ireland 	 $      98,310,000,000 	 2003 est.
24 	 Saudi Arabia 	 $      86,530,000,000 	 2003 est.
25 	 Austria 	 $      83,450,000,000 	 2003 est.
26 	 Thailand 	 $      75,990,000,000 	 2003 est.
27 	 Brazil 	 $      73,280,000,000 	 2003 est.
28 	 Australia 	 $      68,670,000,000 	 2003 est.
29 	 Norway 	 $      67,270,000,000 	 2003 est.
30 	 Denmark 	 $      64,160,000,000 	 2003 est.
31 	 Indonesia 	 $      63,890,000,000 	 2003 est.
32 	 Poland 	 $      57,600,000,000 	 2003 est.
33 	 India 	 $      57,240,000,000 	 2003 est.
34 	 United Arab Emirates 	 $      56,730,000,000 	 2003 est.
35 	 Finland 	 $      54,280,000,000 	 2003 est.
36 	 Turkey 	 $      49,120,000,000 	 2003 est.
37 	 Puerto Rico 	 $      46,900,000,000 	 2001
38 	 Czech Republic 	 $      46,770,000,000 	 2003 est.
39 	 Hungary 	 $      42,030,000,000 	 2003 est.
40 	 South Africa 	 $      36,770,000,000 	 2003 est.
