This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Railways(km) 	 Date of Information
1 	 World 	         1,115,205 	 2003
2 	 United States 	          228,464 	 2003
3 	 European Union 	          222,293 	 2003
4 	 Russia 	           87,157 	 2003
5 	 China 	           70,058 	 2003
6 	 India 	           63,140 	 2003
7 	 Canada 	           48,909 	 2003
8 	 Germany 	           46,039 	 2003
9 	 Australia 	           44,015 	 2003
10 	 Argentina 	           34,091 	 2003
11 	 France 	           32,175 	 2003
12 	 Brazil 	           29,412 	 2003
13 	 Poland 	           23,852 	 2003
14 	 Japan 	           23,705 	 2003
15 	 Ukraine 	           22,473 	 2003
16 	 South Africa 	           22,298 	 2003
17 	 Mexico 	           19,510 	 2003
18 	 Italy 	           19,507 	 2003
19 	 United Kingdom 	           17,186 	 2003
20 	 Spain 	           14,268 	 2003
21 	 Kazakhstan 	           13,601 	 2003
22 	 Sweden 	           11,481 	 2003
23 	 Romania 	           11,385 	 2003
24 	 Czech Republic 	            9,520 	 2003
25 	 Turkey 	            8,671 	 2003
26 	 Pakistan 	            8,163 	 2003
27 	 Hungary 	            7,937 	 2003
28 	 Iran 	            7,203 	 2003
29 	 Chile 	            6,585 	 2003
30 	 Indonesia 	            6,458 	 2003
31 	 Austria 	            6,021 	 2003
32 	 Sudan 	            5,978 	 2003
33 	 Finland 	            5,851 	 2003
34 	 Belarus 	            5,523 	 2003
35 	 Korea, North 	            5,214 	 2003
36 	 Congo, Democratic Republic of the 	            5,138 	 2003
37 	 Egypt 	            5,063 	 2003
38 	 Switzerland 	            4,533 	 2003
39 	 Serbia and Montenegro 	            4,380 	 2003
40 	 Bulgaria 	            4,294 	 2003
41 	 Cuba 	            4,226 	 2003
42 	 Norway 	            4,077 	 2003
43 	 Thailand 	            4,071 	 2003
44 	 Algeria 	            3,973 	 2003
