This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
1 	 Andorra 	     83.51 	 2005 est.
2 	 Macau 	     82.12 	 2005 est.
3 	 San Marino 	     81.62 	 2005 est.
4 	 Singapore 	     81.62 	 2005 est.
5 	 Hong Kong 	     81.50 	 2005 est.
6 	 Japan 	     81.15 	 2005 est.
7 	 Sweden 	     80.40 	 2005 est.
8 	 Australia 	     80.39 	 2005 est.
9 	 Switzerland 	     80.39 	 2005 est.
10 	 Guernsey 	     80.30 	 2005 est.
11 	 Iceland 	     80.19 	 2005 est.
12 	 Canada 	     80.10 	 2005 est.
13 	 Cayman Islands 	     79.95 	 2005 est.
14 	 Italy 	     79.68 	 2005 est.
15 	 Gibraltar 	     79.67 	 2005 est.
16 	 France 	     79.60 	 2005 est.
17 	 Monaco 	     79.57 	 2005 est.
18 	 Liechtenstein 	     79.55 	 2005 est.
19 	 Spain 	     79.52 	 2005 est.
20 	 Norway 	     79.40 	 2005 est.
21 	 Israel 	     79.32 	 2005 est.
22 	 Jersey 	     79.24 	 2005 est.
23 	 Faroe Islands 	     79.21 	 2005 est.
24 	 Aruba 	     79.14 	 2005 est.
25 	 Greece 	     79.09 	 2005 est.
26 	 Martinique 	     79.04 	 2005 est.
27 	 Austria 	     78.92 	 2005 est.
28 	 Virgin Islands 	     78.91 	 2005 est.
29 	 Malta 	     78.86 	 2005 est.
30 	 Netherlands 	     78.81 	 2005 est.
31 	 Luxembourg 	     78.74 	 2005 est.
32 	 Montserrat 	     78.71 	 2005 est.
33 	 New Zealand 	     78.66 	 2005 est.
34 	 Germany 	     78.65 	 2005 est.
35 	 Belgium 	     78.62 	 2005 est.
36 	 Saint Pierre and Miquelon 	     78.46 	 2005 est.
37 	 Guam 	     78.40 	 2005 est.
38 	 United Kingdom 	     78.38 	 2005 est.
39 	 Finland 	     78.35 	 2005 est.
40 	 Isle of Man 	     78.34 	 2005 est.
41 	 European Union 	     78.30 	 July 2005 est.
42 	 Puerto Rico 	     78.29 	 2005 est.
43 	 Jordan 	     78.24 	 2005 est.
44 	 Guadeloupe 	     77.90 	 2005 est.
45 	 Bosnia and Herzegovina 	     77.83 	 2005 est.
46 	 Bermuda 	     77.79 	 2005 est.
47 	 Saint Helena 	     77.76 	 2005 est.
48 	 United States 	     77.71 	 2005 est.
49 	 Cyprus 	     77.65 	 2005 est.
50 	 Denmark 	     77.62 	 2005 est.
51 	 Ireland 	     77.56 	 2005 est.
52 	 Portugal 	     77.53 	 2005 est.
53 	 Taiwan 	     77.26 	 2005 est.
54 	 Albania 	     77.24 	 2005 est.
55 	 Cuba 	     77.23 	 2005 est.
56 	 Anguilla 	     77.11 	 2005 est.
57 	 French Guiana 	     77.09 	 2005 est.
58 	 Kuwait 	     77.03 	 2005 est.
59 	 Korea, South 	     76.85 	 2005 est.
60 	 Costa Rica 	     76.84 	 2005 est.
61 	 Chile 	     76.58 	 2005 est.
62 	 Libya 	     76.50 	 2005 est.
63 	 British Virgin Islands 	     76.49 	 2005 est.
64 	 Ecuador 	     76.21 	 2005 est.
65 	 Slovenia 	     76.14 	 2005 est.
66 	 Uruguay 	     76.13 	 2005 est.
67 	 Czech Republic 	     76.02 	 2005 est.
68 	 Argentina 	     75.91 	 2005 est.
69 	 French Polynesia 	     75.90 	 2005 est.
70 	 Northern Mariana Islands 	     75.88 	 2005 est.
71 	 Georgia 	     75.88 	 2005 est.
72 	 American Samoa 	     75.84 	 2005 est.
73 	 Netherlands Antilles 	     75.83 	 2005 est.
74 	 Saudi Arabia 	     75.46 	 2005 est.
75 	 Panama 	     75.25 	 2005 est.
76 	 United Arab Emirates 	     75.24 	 2005 est.
77 	 Mexico 	     75.19 	 2005 est.
78 	 Paraguay 	     74.89 	 2005 est.
79 	 Tunisia 	     74.89 	 2005 est.
80 	 Brunei 	     74.80 	 2005 est.
81 	 Poland 	     74.74 	 2005 est.
82 	 Serbia and Montenegro 	     74.73 	 2005 est.
83 	 Dominica 	     74.65 	 2005 est.
84 	 Turks and Caicos Islands 	     74.51 	 2005 est.
85 	 Slovakia 	     74.50 	 2005 est.
86 	 Croatia 	     74.45 	 2005 est.
87 	 Venezuela 	     74.31 	 2005 est.
88 	 Bahrain 	     74.23 	 2005 est.
89 	 New Caledonia 	     74.04 	 2005 est.
90 	 Lithuania 	     73.97 	 2005 est.
91 	 Reunion 	     73.95 	 2005 est.
92 	 Macedonia 	     73.73 	 2005 est.
93 	 Qatar 	     73.67 	 2005 est.
94 	 Saint Vincent and the Grenadines 	     73.62 	 2005 est.
95 	 Saint Lucia 	     73.61 	 2005 est.
96 	 Jamaica 	     73.33 	 2005 est.
97 	 Sri Lanka 	     73.17 	 2005 est.
98 	 Oman 	     73.13 	 2005 est.
99 	 West Bank 	     73.08 	 2005 est.
100 	 Algeria 	     73.00 	 2005 est.
101 	 Solomon Islands 	     72.66 	 2005 est.
102 	 Lebanon 	     72.63 	 2005 est.
103 	 Barbados 	     72.59 	 2005 est.
104 	 Hungary 	     72.40 	 2005 est.
105 	 Mauritius 	     72.38 	 2005 est.
106 	 Turkey 	     72.36 	 2005 est.
107 	 China 	     72.27 	 2005 est.
108 	 Malaysia 	     72.24 	 2005 est.
109 	 Saint Kitts and Nevis 	     72.15 	 2005 est.
110 	 Bulgaria 	     72.03 	 2005 est.
111 	 Thailand 	     71.95 	 2005 est.
