This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - per capita (PPP) 	 Date of Information
1 	 Bermuda 	 $            69,900 	 2004 est.
2 	 Luxembourg 	 $            65,900 	 2005 est.
3 	 Equatorial Guinea 	 $            50,200 	 2005 est.
4 	 United Arab Emirates 	 $            45,200 	 2005 est.
5 	 Cayman Islands 	 $            43,800 	 2004 est.
6 	 Norway 	 $            42,800 	 2005 est.
7 	 United States 	 $            41,600 	 2005 est.
8 	 Ireland 	 $            41,100 	 2005 est.
9 	 Guernsey 	 $            40,000 	 2003 est.
10 	 Jersey 	 $            40,000 	 2003 est.
11 	 British Virgin Islands 	 $            38,500 	 2004 est.
12 	 Iceland 	 $            35,700 	 2005 est.
13 	 Denmark 	 $            34,800 	 2005 est.
14 	 San Marino 	 $            34,600 	 2001 est.
15 	 Hong Kong 	 $            34,000 	 2005 est.
16 	 Canada 	 $            33,900 	 2005 est.
17 	 Austria 	 $            32,500 	 2005 est.
18 	 Switzerland 	 $            32,200 	 2005 est.
19 	 Australia 	 $            31,600 	 2005 est.
20 	 Japan 	 $            31,600 	 2005 est.
21 	 Belgium 	 $            31,100 	 2005 est.
22 	 Finland 	 $            31,000 	 2005 est.
23 	 Netherlands 	 $            30,300 	 2005 est.
24 	 Germany 	 $            30,100 	 2005 est.
25 	 United Kingdom 	 $            30,100 	 2005 est.
26 	 Sweden 	 $            29,800 	 2005 est.
27 	 France 	 $            29,600 	 2005 est.
28 	 Italy 	 $            28,700 	 2005 est.
29 	 Singapore 	 $            28,600 	 2005 est.
30 	 Qatar 	 $            28,300 	 2005 est.
31 	 European Union 	 $            28,100 	 2005 est.
32 	 Gibraltar 	 $            27,900 	 2000 est.
33 	 Isle of Man 	 $            27,800 	 2003 est.
34 	 Taiwan 	 $            27,500 	 2005 est.
35 	 Monaco 	 $            27,000 	 2000 est.
36 	 Spain 	 $            25,600 	 2005 est.
37 	 New Zealand 	 $            25,300 	 2005 est.
38 	 Falkland Islands (Islas Malvinas) 	 $            25,000 	 2002 est.
39 	 Israel 	 $            25,000 	 2005 est.
40 	 Liechtenstein 	 $            25,000 	 1999 est.
41 	 Andorra 	 $            24,000 	 2004
42 	 Brunei 	 $            23,600 	 2003 est.
43 	 Bahrain 	 $            23,100 	 2005 est.
44 	 Korea, South 	 $            22,600 	 2005 est.
45 	 Greece 	 $            22,300 	 2005 est.
46 	 Faroe Islands 	 $            22,000 	 2001 est.
47 	 Macau 	 $            22,000 	 2004
48 	 Aruba 	 $            21,800 	 2004 est.
49 	 Cyprus 	 $            21,600 	 
50 	 Slovenia 	 $            21,500 	 2005 est.
51 	 Kuwait 	 $            20,300 	 2005 est.
52 	 Bahamas, The 	 $            20,200 	 2005 est.
53 	 Czech Republic 	 $            20,000 	 2005 est.
54 	 Greenland 	 $            20,000 	 2001 est.
