This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
1 	 World 	  15,450,000,000,000 	 2003 est.
2 	 United States 	   3,656,000,000,000 	 2003
3 	 European Union 	   2,711,000,000,000 	 2002 est.
4 	 China 	   2,170,000,000,000 	 2004
5 	 Japan 	    946,300,000,000 	 2003
6 	 Russia 	    811,500,000,000 	 2004
7 	 Canada 	    520,900,000,000 	 2003
8 	 India 	    519,000,000,000 	 2003
9 	 Germany 	    510,400,000,000 	 2003
10 	 France 	    433,300,000,000 	 2003
11 	 Brazil 	    359,600,000,000 	 2004
12 	 United Kingdom 	    346,100,000,000 	 2003
13 	 Korea, South 	    321,100,000,000 	 2004
14 	 Italy 	    302,200,000,000 	 2003
15 	 Spain 	    231,200,000,000 	 2003
16 	 Australia 	    221,000,000,000 	 2004
17 	 Taiwan 	    206,100,000,000 	 2004
18 	 South Africa 	    197,400,000,000 	 2003
19 	 Mexico 	    193,900,000,000 	 2003
20 	 Ukraine 	    176,000,000,000 	 2004
21 	 Turkey 	    140,300,000,000 	 2005
22 	 Saudi Arabia 	    134,900,000,000 	 2003
23 	 Iran 	    132,100,000,000 	 2003
24 	 Sweden 	    131,800,000,000 	 2003
25 	 Poland 	    121,300,000,000 	 2004
26 	 Thailand 	    107,300,000,000 	 2003
27 	 Norway 	    106,100,000,000 	 2003
28 	 Indonesia 	    105,400,000,000 	 2004
29 	 Netherlands 	    101,600,000,000 	 2003
30 	 Argentina 	     82,970,000,000 	 2004
31 	 Venezuela 	     81,320,000,000 	 2003
32 	 Belgium 	     79,660,000,000 	 2003
33 	 Finland 	     78,940,000,000 	 2003
34 	 Egypt 	     78,160,000,000 	 2003
35 	 Malaysia 	     73,630,000,000 	 2003
36 	 Pakistan 	     71,540,000,000 	 2003
37 	 Austria 	     64,780,000,000 	 2004
38 	 Czech Republic 	     57,120,000,000 	 2004
39 	 Switzerland 	     55,860,000,000 	 2003
40 	 Greece 	     53,500,000,000 	 2005 est.
41 	 Kazakhstan 	     52,550,000,000 	 2003
42 	 Vietnam 	     52,000,000,000 	 2004
43 	 Colombia 	     48,830,000,000 	 2003
44 	 Uzbekistan 	     48,450,000,000 	 2003
45 	 Philippines 	     44,480,000,000 	 2003
46 	 Chile 	     44,130,000,000 	 2003
47 	 Portugal 	     44,010,000,000 	 2003
48 	 Israel 	     39,670,000,000 	 2003
49 	 Hong Kong 	     39,220,000,000 	 2004
50 	 United Arab Emirates 	     38,320,000,000 	 2002
51 	 Romania 	     37,500,000,000 	 2003
52 	 New Zealand 	     37,030,000,000 	 2003
53 	 Hungary 	     36,960,000,000 	 2003
54 	 Kuwait 	     35,520,000,000 	 2003
55 	 Belarus 	     34,300,000,000 	 2004
56 	 Iraq 	     33,300,000,000 	 2005
57 	 Singapore 	     33,200,000,000 	 2004
58 	 Denmark 	     31,680,000,000 	 2003
59 	 Syria 	     28,260,000,000 	 2003 est.
60 	 Bulgaria 	     25,100,000,000 	 2004
61 	 Algeria 	     24,900,000,000 	 2003 est.
62 	 Slovakia 	     24,800,000,000 	 2004
63 	 Ireland 	     22,970,000,000 	 2003
64 	 Puerto Rico 	     21,420,000,000 	 2003
65 	 Peru 	     21,090,000,000 	 2003
66 	 Azerbaijan 	     20,250,000,000 	 2003
67 	 Morocco 	     17,580,000,000 	 2003
68 	 Korea, North 	     17,430,000,000 	 2003
69 	 Bangladesh 	     16,200,000,000 	 2003
70 	 Croatia 	     15,810,000,000 	 2003
71 	 Tajikistan 	     15,050,000,000 	 2003
72 	 Nigeria 	     14,460,000,000 	 2003
73 	 Libya 	     13,390,000,000 	 2003
74 	 Cuba 	     13,270,000,000 	 2004
75 	 Slovenia 	     12,520,000,000 	 2003
76 	 Lithuania 	     12,079,000,000 	 2004
77 	 Dominican Republic 	     11,710,000,000 	 2003
78 	 Zimbabwe 	     11,220,000,000 	 2003
79 	 Tunisia 	     10,760,000,000 	 2003
80 	 Lebanon 	     10,670,000,000 	 2003
81 	 Ecuador 	     10,550,000,000 	 2003
82 	 Mozambique 	     10,460,000,000 	 2003
83 	 Georgia 	      9,800,000,000 	 2005
84 	 Oman 	      9,582,000,000 	 2003
85 	 Qatar 	      9,053,000,000 	 2003
86 	 Bosnia and Herzegovina 	      8,849,000,000 	 2003
87 	 Turkmenistan 	      8,847,000,000 	 2002
88 	 Kyrgyzstan 	      8,783,000,000 	 2003
89 	 Iceland 	      8,619,000,000 	 2004
90 	 Jordan 	      7,959,000,000 	 2003
91 	 Macedonia 	      7,933,000,000 	 2005
92 	 Uruguay 	      7,762,000,000 	 2003
93 	 Costa Rica 	      7,120,000,000 	 2003
94 	 Burma 	      6,875,000,000 	 2003
95 	 Bahrain 	      6,830,000,000 	 2003
96 	 Sri Lanka 	      6,796,000,000 	 2003
97 	 Albania 	      6,760,000,000 	 2004
98 	 Estonia 	      6,260,000,000 	 2004
99 	 Luxembourg 	      6,140,000,000 	 2005 est.
100 	 Guatemala 	      6,025,000,000 	 2003
101 	 Latvia 	      5,839,000,000 	 2003
102 	 Trinidad and Tobago 	      5,651,000,000 	 2003
103 	 Zambia 	      5,345,000,000 	 2003
104 	 Ghana 	      5,081,000,000 	 2003
105 	 Panama 	      4,870,000,000 	 2003
106 	 El Salvador 	      4,450,000,000 	 2004
107 	 Armenia 	      4,374,000,000 	 2005
108 	 Honduras 	      4,369,000,000 	 2003
109 	 Congo, Democratic Republic of the 	      4,324,000,000 	 2003
110 	 Kenya 	      4,238,000,000 	 2003
111 	 Bolivia 	      3,963,000,000 	 2003
112 	 Cyprus 	      3,535,000,000 	 2003
113 	 Paraguay 	      3,528,000,000 	 2003
114 	 Cote d'Ivoire 	      3,418,000,000 	 2003
115 	 Mongolia 	      3,370,000,000 	 2005 est.
116 	 Laos 	      3,298,000,000 	 2003
117 	 Moldova 	      3,036,000,000 	 2003
118 	 Jamaica 	      2,974,000,000 	 2004
119 	 Tanzania 	      2,959,000,000 	 2003
120 	 Sudan 	      2,943,000,000 	 2003
121 	 Yemen 	      2,827,000,000 	 2003 est.
122 	 Cameroon 	      2,779,000,000 	 2003
123 	 Brunei 	      2,726,000,000 	 2004
124 	 Botswana 	      2,641,000,000 	 2004
125 	 Namibia 	      2,372,000,000 	 2003
126 	 Malta 	      1,936,000,000 	 2003
127 	 Ethiopia 	      1,914,000,000 	 2003
128 	 Angola 	      1,900,000,000 	 2004
129 	 Macau 	      1,899,000,000 	 2004
130 	 Suriname 	      1,873,000,000 	 2003
131 	 Nepal 	      1,850,000,000 	 2005
132 	 Nicaragua 	      1,848,000,000 	 2004
133 	 Mauritius 	      1,805,000,000 	 2003
134 	 Bahamas, The 	      1,683,000,000 	 2003
135 	 Papua New Guinea 	      1,481,000,000 	 2003
136 	 New Caledonia 	      1,470,000,000 	 2003
137 	 Uganda 	      1,448,000,000 	 2003
138 	 Gabon 	      1,383,000,000 	 2003
139 	 Senegal 	      1,239,000,000 	 2003
140 	 Malawi 	      1,206,000,000 	 2003
141 	 Swaziland 	      1,161,000,000 	 2003
142 	 Martinique 	      1,120,000,000 	 2003
143 	 Reunion 	      1,107,000,000 	 2003
144 	 Guadeloupe 	      1,084,000,000 	 2003
145 	 Afghanistan 	      1,042,000,000 	 2003
146 	 Virgin Islands 	       967,300,000 	 2003
147 	 Netherlands Antilles 	       945,800,000 	 2003
148 	 Guam 	       781,300,000 	 2003
149 	 Madagascar 	       767,700,000 	 2003
150 	 Mali 	       762,600,000 	 2003
151 	 Barbados 	       761,700,000 	 2003
152 	 Guyana 	       724,500,000 	 2003
153 	 Fiji 	       721,400,000 	 2003
154 	 Guinea 	       720,800,000 	 2003
155 	 Aruba 	       716,100,000 	 2003
156 	 Togo 	       654,300,000 	 2003
157 	 Jersey 	       630,100,000 	 2004 est.
158 	 Congo, Republic of the 	       619,000,000 	 2003
159 	 Bermuda 	       616,700,000 	 2005
160 	 Benin 	       538,200,000 	 2003
161 	 Haiti 	       507,800,000 	 2003
162 	 Liberia 	       473,800,000 	 2003
163 	 French Polynesia 	       459,200,000 	 2003
164 	 French Guiana 	       432,600,000 	 2003
165 	 Cayman Islands 	       411,000,000 	 2003
166 	 Lesotho 	       363,500,000 	 2003
167 	 Burkina Faso 	       349,300,000 	 2003
168 	 Niger 	       263,900,000 	 2003
169 	 Saint Lucia 	       261,400,000 	 2003
170 	 Eritrea 	       251,900,000 	 2003
171 	 Bhutan 	       250,300,000 	 2003
172 	 Sierra Leone 	       242,400,000 	 2003
173 	 Faroe Islands 	       242,000,000 	 2003
174 	 Greenland 	       225,300,000 	 2003
175 	 Seychelles 	       224,400,000 	 2003
176 	 Djibouti 	       223,200,000 	 2003
177 	 Somalia 	       219,100,000 	 2003
178 	 Micronesia, Federated States of 	       178,600,000 	 2002
179 	 Mauritania 	       172,600,000 	 2003
180 	 Grenada 	       148,600,000 	 2003
