This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures - dollar figure 	 Date of Information
1 	 United States 	 $     518,100,000,000 	 2005 est.
2 	 China 	 $      81,480,000,000 	 2005 est.
3 	 France 	 $      45,000,000,000 	 2005
4 	 Japan 	 $      44,310,000,000 	 2005 est.
5 	 United Kingdom 	 $      42,836,500,000 	 2003
6 	 Germany 	 $      35,063,000,000 	 2003
7 	 Italy 	 $      28,182,800,000 	 2003
8 	 Korea, South 	 $      21,060,000,000 	 2005 est.
9 	 India 	 $      19,040,000,000 	 2005 est.
10 	 Saudi Arabia 	 $      18,000,000,000 	 2002
11 	 Australia 	 $      17,840,000,000 	 2005 est.
12 	 Turkey 	 $      12,155,000,000 	 2003
13 	 Brazil 	 $       9,940,000,000 	 2005 est.
14 	 Spain 	 $       9,906,500,000 	 2003
15 	 Canada 	 $       9,801,700,000 	 2003
16 	 Israel 	 $       9,450,000,000 	 2005 est.
17 	 Netherlands 	 $       9,408,000,000 	 2004
18 	 Taiwan 	 $       7,930,000,000 	 2005 est.
19 	 Mexico 	 $       6,070,000,000 	 2005 est.
20 	 Greece 	 $       5,890,000,000 	 2004
21 	 Sweden 	 $       5,510,000,000 	 2005 est.
22 	 Svalbard 	 $       5,501,000,000 	 
23 	 Korea, North 	 $       5,217,400,000 	 FY02
24 	 Singapore 	 $       4,470,000,000 	 
25 	 Argentina 	 $       4,300,000,000 	 
26 	 Iran 	 $       4,300,000,000 	 2003 est.
27 	 Pakistan 	 $       4,260,000,000 	 2005 est.
28 	 Norway 	 $       4,033,500,000 	 2003
29 	 Belgium 	 $       3,999,000,000 	 2003
30 	 Chile 	 $       3,910,000,000 	 2005 est.
31 	 South Africa 	 $       3,550,000,000 	 2005 est.
32 	 Poland 	 $       3,500,000,000 	 2002
33 	 Portugal 	 $       3,497,800,000 	 2003
34 	 Colombia 	 $       3,300,000,000 	 
35 	 Denmark 	 $       3,271,600,000 	 2003
36 	 Kuwait 	 $       3,010,000,000 	 2005 est.
37 	 Algeria 	 $       3,000,000,000 	 2005 est.
38 	 Switzerland 	 $       2,548,000,000 	 FY01
39 	 Egypt 	 $       2,440,000,000 	 2003
40 	 Morocco 	 $       2,310,000,000 	 2003 est.
41 	 Montenegro 	 $       2,306,000,000 	 
42 	 Czech Republic 	 $       2,170,000,000 	 2004
43 	 Angola 	 $       2,000,000,000 	 2005 est.
44 	 Finland 	 $       1,800,000,000 	 FY98/99
45 	 Thailand 	 $       1,775,000,000 	 
46 	 Malaysia 	 $       1,690,000,000 	 
47 	 Venezuela 	 $       1,610,000,000 	 2005 est.
48 	 United Arab Emirates 	 $       1,600,000,000 	 
49 	 Austria 	 $       1,497,000,000 	 FY01/02
50 	 Jordan 	 $       1,400,000,000 	 2005 est.
51 	 Iraq 	 $       1,340,000,000 	 2005 est.
52 	 Indonesia 	 $       1,300,000,000 	 2004
53 	 Libya 	 $       1,300,000,000 	 
54 	 New Zealand 	 $       1,147,000,000 	 FY03/04
55 	 Hungary 	 $       1,080,000,000 	 2002 est.
56 	 Bangladesh 	 $       1,010,000,000 	 2005 est.
57 	 Western Sahara 	 $        992,200,000 	 
58 	 Yemen 	 $        992,200,000 	 2005 est.
59 	 Romania 	 $        985,000,000 	 2002
60 	 Syria 	 $        858,000,000 	 
61 	 Philippines 	 $        836,900,000 	 2005 est.
62 	 Peru 	 $        829,300,000 	 2003 est.
63 	 Nigeria 	 $        737,600,000 	 2005 est.
64 	 Qatar 	 $        723,000,000 	 
65 	 Ireland 	 $        700,000,000 	 FY00/01
66 	 Cuba 	 $        694,000,000 	 2005 est.
67 	 Ecuador 	 $        650,000,000 	 2005 est.
