This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
1 	 World 	 $   10,300,000,000,000 	 2004 est.
2 	 United States 	 $    1,727,000,000,000 	 2005 est.
3 	 European Union 	 $    1,402,000,000,000 	 2004
4 	 Germany 	 $     801,000,000,000 	 2005 est.
5 	 China 	 $     631,800,000,000 	 2005 est.
6 	 United Kingdom 	 $     483,700,000,000 	 2005 est.
7 	 France 	 $     473,300,000,000 	 2005 est.
8 	 Japan 	 $     451,100,000,000 	 2005 est.
9 	 Italy 	 $     369,200,000,000 	 2005 est.
10 	 Netherlands 	 $     326,600,000,000 	 2005 est.
11 	 Canada 	 $     317,700,000,000 	 2005 est.
12 	 Hong Kong 	 $     291,600,000,000 	 2005 est.
13 	 Spain 	 $     271,800,000,000 	 2005 est.
14 	 Belgium 	 $     264,500,000,000 	 2005 est.
15 	 Korea, South 	 $     256,000,000,000 	 2005 est.
16 	 Mexico 	 $     223,700,000,000 	 2005 est.
17 	 Singapore 	 $     188,300,000,000 	 2005 est.
18 	 Taiwan 	 $     181,600,000,000 	 2005 est.
19 	 Switzerland 	 $     135,000,000,000 	 2005 est.
20 	 Russia 	 $     125,000,000,000 	 2005 est.
21 	 Australia 	 $     119,600,000,000 	 2005 est.
22 	 Austria 	 $     118,800,000,000 	 2005 est.
23 	 Malaysia 	 $     118,700,000,000 	 2005 est.
24 	 India 	 $     113,100,000,000 	 2005 est.
25 	 Thailand 	 $     107,000,000,000 	 2005 est.
26 	 Sweden 	 $     104,400,000,000 	 2005 est.
27 	 Turkey 	 $     101,200,000,000 	 2005 est.
28 	 Poland 	 $      95,670,000,000 	 2005 est.
29 	 Brazil 	 $      78,020,000,000 	 2005 est.
30 	 Czech Republic 	 $      76,590,000,000 	 2005 est.
31 	 Denmark 	 $      74,690,000,000 	 2005 est.
32 	 Ireland 	 $      65,470,000,000 	 2005 est.
33 	 Hungary 	 $      64,830,000,000 	 2005 est.
34 	 Indonesia 	 $      62,020,000,000 	 2005 est.
35 	 Portugal 	 $      60,350,000,000 	 2005 est.
36 	 United Arab Emirates 	 $      60,150,000,000 	 2005 est.
37 	 Norway 	 $      58,120,000,000 	 2005 est.
38 	 Finland 	 $      56,450,000,000 	 2005 est.
39 	 South Africa 	 $      52,970,000,000 	 2005 est.
40 	 Greece 	 $      48,200,000,000 	 2005 est.
41 	 Saudi Arabia 	 $      44,930,000,000 	 2005 est.
42 	 Israel 	 $      43,190,000,000 	 2005 est.
43 	 Philippines 	 $      42,660,000,000 	 2005 est.
44 	 Iran 	 $      42,500,000,000 	 2005 est.
45 	 Romania 	 $      41,000,000,000 	 2005
46 	 Ukraine 	 $      37,180,000,000 	 2005 est.
47 	 Vietnam 	 $      36,880,000,000 	 2005 est.
48 	 Slovakia 	 $      32,900,000,000 	 2005 est.
49 	 Chile 	 $      30,090,000,000 	 2005 est.
50 	 Puerto Rico 	 $      29,100,000,000 	 2001
51 	 Argentina 	 $      28,800,000,000 	 2005 est.
52 	 Nigeria 	 $      25,950,000,000 	 2005 est.
53 	 Venezuela 	 $      24,630,000,000 	 2005 est.
54 	 New Zealand 	 $      24,570,000,000 	 2005 est.
55 	 Egypt 	 $      24,100,000,000 	 2005 est.
56 	 Algeria 	 $      22,530,000,000 	 2005 est.
57 	 Pakistan 	 $      21,260,000,000 	 2005 est.
58 	 Slovenia 	 $      19,620,000,000 	 2005 est.
59 	 Iraq 	 $      19,570,000,000 	 2004
60 	 Croatia 	 $      18,930,000,000 	 2005 est.
61 	 Luxembourg 	 $      18,740,000,000 	 2005 est.
62 	 Morocco 	 $      18,150,000,000 	 2005 est.
63 	 Colombia 	 $      18,000,000,000 	 2005 est.
64 	 Kazakhstan 	 $      17,510,000,000 	 2005 est.
65 	 Belarus 	 $      16,940,000,000 	 2005 est.
66 	 Bulgaria 	 $      16,780,000,000 	 2005
67 	 Lithuania 	 $      15,500,000,000 	 2005 est.
68 	 Bangladesh 	 $      12,970,000,000 	 2005 est.
69 	 Tunisia 	 $      12,860,000,000 	 2005 est.
70 	 Kuwait 	 $      12,230,000,000 	 2005 est.
71 	 Peru 	 $      12,150,000,000 	 2005 est.
72 	 Libya 	 $      10,820,000,000 	 2005 est.
73 	 Serbia 	 $      10,580,000,000 	 2005 est.
74 	 Dominican Republic 	 $       9,747,000,000 	 2005 est.
75 	 Costa Rica 	 $       9,690,000,000 	 2005 est.
76 	 Estonia 	 $       9,189,000,000 	 2005 est.
77 	 Lebanon 	 $       8,855,000,000 	 2005 est.
78 	 Panama 	 $       8,734,000,000 	 2005 est.
79 	 Oman 	 $       8,709,000,000 	 2005 est.
80 	 Jordan 	 $       8,681,000,000 	 2005 est.
81 	 Ecuador 	 $       8,436,000,000 	 2005 est.
82 	 Sri Lanka 	 $       8,370,000,000 	 2005 est.
83 	 Latvia 	 $       8,190,000,000 	 2005
84 	 Angola 	 $       8,165,000,000 	 2005 est.
85 	 Bahrain 	 $       7,830,000,000 	 2005 est.
86 	 Guatemala 	 $       7,744,000,000 	 2005 est.
87 	 Cuba 	 $       6,916,000,000 	 2005 est.
88 	 Bosnia and Herzegovina 	 $       6,800,000,000 	 2005 est.
89 	 Qatar 	 $       6,706,000,000 	 2005 est.
90 	 El Salvador 	 $       6,678,000,000 	 2005 est.
91 	 Trinidad and Tobago 	 $       6,011,000,000 	 2005 est.
92 	 Syria 	 $       5,973,000,000 	 2005 est.
93 	 Cyprus 	 $       5,552,000,000 	 2005 est.
94 	 Kenya 	 $       5,126,000,000 	 2005 est.
95 	 Sudan 	 $       5,028,000,000 	 2005 est.
96 	 Liberia 	 $       4,839,000,000 	 2004 est.
97 	 Cote d'Ivoire 	 $       4,759,000,000 	 2005 est.
98 	 Azerbaijan 	 $       4,656,000,000 	 2005 est.
99 	 Virgin Islands 	 $       4,609,000,000 	 
100 	 Iceland 	 $       4,582,000,000 	 2005 est.
101 	 Netherlands Antilles 	 $       4,383,000,000 	 2004 est.
102 	 Ghana 	 $       4,273,000,000 	 2005 est.
103 	 Yemen 	 $       4,190,000,000 	 2005 est.
104 	 Turkmenistan 	 $       4,175,000,000 	 2005 est.
105 	 Honduras 	 $       4,161,000,000 	 2005 est.
106 	 Jamaica 	 $       4,093,000,000 	 2004 est.
107 	 Afghanistan 	 $       3,870,000,000 	 2005 est.
108 	 Malta 	 $       3,859,000,000 	 2005 est.
109 	 Paraguay 	 $       3,832,000,000 	 2005 est.
110 	 Uzbekistan 	 $       3,800,000,000 	 2005 est.
111 	 Uruguay 	 $       3,540,000,000 	 2005 est.
112 	 Cambodia 	 $       3,538,000,000 	 2005 est.
113 	 Macau 	 $       3,478,000,000 	 2004
114 	 Burma 	 $       3,454,000,000 	 2004
115 	 Botswana 	 $       3,370,000,000 	 2005 est.
116 	 Reunion 	 $       3,306,000,000 	 2002
117 	 Macedonia 	 $       3,196,000,000 	 2005 est.
118 	 Gibraltar 	 $       2,967,000,000 	 2004 est.
119 	 Nicaragua 	 $       2,865,000,000 	 2005 est.
120 	 Korea, North 	 $       2,819,000,000 	 2004 est.
121 	 Ethiopia 	 $       2,722,000,000 	 2005 est.
122 	 Cameroon 	 $       2,514,000,000 	 2005 est.
123 	 Mauritius 	 $       2,507,000,000 	 2005 est.
124 	 Georgia 	 $       2,500,000,000 	 2005 est.
125 	 Albania 	 $       2,473,000,000 	 2005 est.
126 	 Senegal 	 $       2,405,000,000 	 2005 est.
127 	 Tanzania 	 $       2,391,000,000 	 2005 est.
128 	 Namibia 	 $       2,350,000,000 	 2005 est.
129 	 Martinique 	 $       2,307,000,000 	 2002
130 	 Moldova 	 $       2,230,000,000 	 2005 est.
131 	 Swaziland 	 $       2,149,000,000 	 2005 est.
132 	 Zimbabwe 	 $       2,059,000,000 	 2005 est.
133 	 Mozambique 	 $       2,041,000,000 	 2005 est.
134 	 Nepal 	 $       2,000,000,000 	 2005 est.
135 	 Gaza Strip 	 $       1,952,000,000 	 2003
136 	 West Bank 	 $       1,952,000,000 	 2003
137 	 Zambia 	 $       1,934,000,000 	 2005 est.
138 	 Equatorial Guinea 	 $       1,864,000,000 	 2005 est.
139 	 Mali 	 $       1,858,000,000 	 2004 est.
140 	 Bolivia 	 $       1,845,000,000 	 2005 est.
141 	 Bahamas, The 	 $       1,820,000,000 	 2004 est.
142 	 Guadeloupe 	 $       1,766,000,000 	 2002
143 	 French Polynesia 	 $       1,706,000,000 	 2005 est.
144 	 Papua New Guinea 	 $       1,651,000,000 	 2005 est.
145 	 Brunei 	 $       1,641,000,000 	 2004 est.
146 	 New Caledonia 	 $       1,636,000,000 	 2004 est.
147 	 Uganda 	 $       1,608,000,000 	 2005 est.
148 	 Gabon 	 $       1,533,000,000 	 2005 est.
149 	 Armenia 	 $       1,500,000,000 	 2005 est.
150 	 Barbados 	 $       1,476,000,000 	 2004 est.
151 	 Haiti 	 $       1,471,000,000 	 2005 est.
152 	 Fiji 	 $       1,462,000,000 	 2005
153 	 Madagascar 	 $       1,400,000,000 	 2005 est.
154 	 Congo, Democratic Republic of the 	 $       1,319,000,000 	 2004 est.
155 	 Tajikistan 	 $       1,250,000,000 	 2005 est.
156 	 Lesotho 	 $       1,166,000,000 	 2005 est.
157 	 Mauritania 	 $       1,124,000,000 	 2004 est.
158 	 Andorra 	 $       1,077,000,000 	 1998
159 	 Togo 	 $       1,047,000,000 	 2005 est.
160 	 Benin 	 $       1,043,000,000 	 2005 est.
161 	 Mongolia 	 $       1,011,000,000 	 2004 est.
162 	 Burkina Faso 	 $        992,000,000 	 2005 est.
163 	 Djibouti 	 $        987,000,000 	 2004 est.
164 	 Bermuda 	 $        982,000,000 	 2004 est.
165 	 Kyrgyzstan 	 $        937,400,000 	 2005 est.
166 	 Liechtenstein 	 $        917,300,000 	 1996
167 	 Aruba 	 $        875,000,000 	 2004 est.
168 	 Cayman Islands 	 $        866,900,000 	 2004
169 	 Congo, Republic of the 	 $        806,500,000 	 2005 est.
170 	 Suriname 	 $        750,000,000 	 2004 est.
171 	 Chad 	 $        749,100,000 	 2005 est.
172 	 Guam 	 $        701,000,000 	 2004 est.
173 	 Guyana 	 $        681,600,000 	 2005 est.
174 	 Guinea 	 $        680,000,000 	 2005 est.
175 	 Eritrea 	 $        676,500,000 	 2005 est.
176 	 Malawi 	 $        645,000,000 	 2005 est.
177 	 Faroe Islands 	 $        639,000,000 	 2004 est.
178 	 Monaco 	 $        636,600,000 	 
179 	 French Guiana 	 $        625,000,000 	 2002 est.
180 	 Belize 	 $        622,400,000 	 2005 est.
181 	 Montenegro 	 $        601,700,000 	 2003
182 	 Greenland 	 $        601,000,000 	 2004 est.
183 	 Niger 	 $        588,000,000 	 2004 est.
184 	 Somalia 	 $        576,000,000 	 2004 est.
185 	 Maldives 	 $        567,000,000 	 2004 est.
186 	 Laos 	 $        541,000,000 	 2005 est.
187 	 Sierra Leone 	 $        531,000,000 	 2004 est.
188 	 Cape Verde 	 $        500,000,000 	 2005 est.
189 	 Seychelles 	 $        459,900,000 	 2005 est.
190 	 Cyprus 	 $        415,200,000 	 2005 est.
191 	 Saint Lucia 	 $        410,000,000 	 2004 est.
192 	 Saint Kitts and Nevis 	 $        405,000,000 	 2004 est.
193 	 Antigua and Barbuda 	 $        378,000,000 	 2004 est.
194 	 American Samoa 	 $        308,800,000 	 FY04 est.
195 	 Samoa 	 $        285,000,000 	 2004 est.
196 	 Grenada 	 $        276,000,000 	 2004 est.
197 	 Mayotte 	 $        256,700,000 	 2004
198 	 Rwanda 	 $        243,000,000 	 2005 est.
199 	 Dominica 	 $        234,000,000 	 2004 est.
200 	 Saint Vincent and the Grenadines 	 $        225,000,000 	 2004 est.
201 	 Northern Mariana Islands 	 $        214,400,000 	 
202 	 Central African Republic 	 $        203,000,000 	 2004 est.
203 	 East Timor 	 $        202,000,000 	 2004 est.
