This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Infant mortality rate(deaths/1,000 live births) 	 Date of Information
1 	 Angola 	    185.36 	 2006 est.
2 	 Sierra Leone 	    160.39 	 2006 est.
3 	 Afghanistan 	    160.23 	 2006 est.
4 	 Liberia 	    155.76 	 2006 est.
5 	 Mozambique 	    129.24 	 2006 est.
6 	 Niger 	    118.25 	 2006 est.
7 	 Somalia 	    114.89 	 2006 est.
8 	 Mali 	    107.58 	 2006 est.
9 	 Tajikistan 	    106.49 	 2006 est.
10 	 Guinea-Bissau 	    105.21 	 2006 est.
11 	 Djibouti 	    102.44 	 2006 est.
12 	 Bhutan 	     98.41 	 2006 est.
13 	 Nigeria 	     97.14 	 2006 est.
14 	 Tanzania 	     96.48 	 2006 est.
15 	 Malawi 	     94.37 	 2006 est.
16 	 Ethiopia 	     93.62 	 2006 est.
17 	 Chad 	     91.45 	 2006 est.
18 	 Burkina Faso 	     91.35 	 2006 est.
19 	 Guinea 	     90.00 	 2006 est.
20 	 Rwanda 	     89.61 	 2006 est.
21 	 Equatorial Guinea 	     89.21 	 2006 est.
22 	 Cote d'Ivoire 	     89.11 	 2006 est.
23 	 Congo, Democratic Republic of the 	     88.62 	 2006 est.
24 	 Lesotho 	     87.24 	 2006 est.
25 	 Zambia 	     86.84 	 2006 est.
26 	 Central African Republic 	     85.63 	 2006 est.
27 	 Congo, Republic of the 	     85.29 	 2006 est.
28 	 Laos 	     83.31 	 2006 est.
29 	 Benin 	     79.56 	 2006 est.
30 	 Azerbaijan 	     79.00 	 2006 est.
31 	 Madagascar 	     75.21 	 2006 est.
32 	 Comoros 	     72.85 	 2006 est.
33 	 Turkmenistan 	     72.56 	 2006 est.
34 	 Swaziland 	     71.85 	 2006 est.
35 	 Haiti 	     71.65 	 2006 est.
36 	 Gambia, The 	     71.58 	 2006 est.
37 	 Pakistan 	     70.45 	 2006 est.
38 	 Uzbekistan 	     69.99 	 2006 est.
39 	 Mauritania 	     69.48 	 2006 est.
40 	 Cambodia 	     68.78 	 2006 est.
41 	 Uganda 	     66.15 	 2006 est.
42 	 Nepal 	     65.32 	 2006 est.
43 	 Cameroon 	     63.52 	 2006 est.
44 	 Burundi 	     63.13 	 2006 est.
45 	 Burma 	     61.85 	 2006 est.
46 	 Sudan 	     61.05 	 2006 est.
47 	 Bangladesh 	     60.83 	 2006 est.
48 	 Mayotte 	     60.76 	 2006 est.
49 	 South Africa 	     60.66 	 2006 est.
50 	 Togo 	     60.63 	 2006 est.
51 	 Yemen 	     59.88 	 2006 est.
52 	 Kenya 	     59.26 	 2006 est.
53 	 Ghana 	     55.02 	 2006 est.
54 	 Maldives 	     54.89 	 2006 est.
55 	 India 	     54.63 	 2006 est.
56 	 Gabon 	     54.51 	 2006 est.
57 	 Vanuatu 	     53.80 	 2006 est.
58 	 Botswana 	     53.70 	 2006 est.
59 	 Senegal 	     52.94 	 2006 est.
60 	 Mongolia 	     52.12 	 2006 est.
61 	 Bolivia 	     51.77 	 2006 est.
62 	 Zimbabwe 	     51.71 	 2006 est.
63 	 Papua New Guinea 	     49.96 	 2006 est.
64 	 World 	     48.87 	 2006 est.
65 	 Iraq 	     48.64 	 2006 est.
66 	 Namibia 	     48.10 	 2006 est.
67 	 Kiribati 	     47.27 	 2006 est.
68 	 Cape Verde 	     46.52 	 2006 est.
69 	 Eritrea 	     46.30 	 2006 est.
70 	 East Timor 	     45.89 	 2006 est.
71 	 Sao Tome and Principe 	     41.83 	 2006 est.
72 	 Iran 	     40.30 	 2006 est.
73 	 Morocco 	     40.24 	 2006 est.
74 	 Turkey 	     39.69 	 2006 est.
