This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - main lines in use 	 Date of Information
1 	 World 	      1,263,367,600 	 2005
2 	 China 	       350,433,000 	 2005
3 	 United States 	       268,000,000 	 2003
4 	 European Union 	       238,763,162 	 2002
5 	 Japan 	        58,780,000 	 2005
6 	 Germany 	        55,046,000 	 2005
7 	 India 	        49,750,000 	 2005
8 	 Brazil 	        42,382,000 	 2004
9 	 Russia 	        40,100,000 	 2005
10 	 France 	        35,700,000 	 2005
11 	 United Kingdom 	        32,943,000 	 2005
12 	 Italy 	        25,049,000 	 2005
13 	 Korea, South 	        23,745,000 	 2005
14 	 Mexico 	        19,512,000 	 2005
15 	 Iran 	        18,986,000 	 2005
16 	 Turkey 	        18,978,000 	 2005
17 	 Spain 	        18,322,000 	 2005
18 	 Canada 	        18,276,000 	 2005
19 	 Vietnam 	        15,845,000 	 2005
20 	 Taiwan 	        13,615,000 	 2005
21 	 Indonesia 	        12,772,000 	 2005
22 	 Ukraine 	        12,142,000 	 2004
23 	 Poland 	        11,803,000 	 2005
24 	 Australia 	        11,460,000 	 2005
25 	 Egypt 	        10,396,100 	 2005
26 	 Argentina 	         8,800,000 	 2005
27 	 Colombia 	         7,678,800 	 2005
28 	 Netherlands 	         7,600,000 	 2005
29 	 Thailand 	         7,035,000 	 2005
30 	 Sweden 	         6,447,000 	 2004
31 	 Greece 	         6,303,000 	 2005
32 	 Pakistan 	         5,277,500 	 2005
33 	 Switzerland 	         5,123,000 	 2005
34 	 Belgium 	         4,801,000 	 2004
35 	 South Africa 	         4,729,000 	 2005
36 	 Romania 	         4,391,000 	 2005
37 	 Malaysia 	         4,366,000 	 2005
38 	 Portugal 	         4,234,000 	 2005
39 	 Saudi Arabia 	         3,800,000 	 2005
40 	 Hong Kong 	         3,794,600 	 2005
41 	 Austria 	         3,705,000 	 2005
42 	 Venezuela 	         3,605,500 	 2005
43 	 Philippines 	         3,437,500 	 2004
44 	 Chile 	         3,435,900 	 2005
45 	 Hungary 	         3,356,000 	 2005
46 	 Denmark 	         3,350,000 	 2005
47 	 Belarus 	         3,284,300 	 2005
48 	 Czech Republic 	         3,217,300 	 2005
49 	 Israel 	         2,936,300 	 2005
50 	 Syria 	         2,903,000 	 2005
51 	 Serbia 	         2,685,400 	 2004
52 	 Algeria 	         2,572,000 	 2005
53 	 Kazakhstan 	         2,500,000 	 2004
54 	 Bulgaria 	         2,483,500 	 2005
55 	 Peru 	         2,250,500 	 2005
56 	 Norway 	         2,129,000 	 2005
57 	 Finland 	         2,120,000 	 2005
58 	 Ireland 	         2,033,000 	 2005
59 	 Croatia 	         1,889,500 	 2005
60 	 Singapore 	         1,848,000 	 2005
61 	 New Zealand 	         1,800,500 	 2004
62 	 Uzbekistan 	         1,717,100 	 2003
63 	 Ecuador 	         1,701,500 	 2005
64 	 Costa Rica 	         1,388,500 	 2005
65 	 Morocco 	         1,341,200 	 2005
66 	 Tunisia 	         1,257,500 	 2005
67 	 Sri Lanka 	         1,244,000 	 2005
68 	 United Arab Emirates 	         1,237,000 	 2005
69 	 Nigeria 	         1,223,300 	 2005
70 	 Slovakia 	         1,197,000 	 2005
71 	 Guatemala 	         1,132,100 	 2004
72 	 Puerto Rico 	         1,111,900 	 2004
73 	 Azerbaijan 	         1,091,400 	 2005
74 	 Bangladesh 	         1,070,000 	 2005
75 	 Iraq 	         1,034,200 	 2004
76 	 Uruguay 	         1,000,000 	 2004
77 	 Lebanon 	          990,000 	 2005
78 	 Korea, North 	          980,000 	 2003
79 	 El Salvador 	          971,500 	 2005
80 	 Bosnia and Herzegovina 	          968,900 	 2005
81 	 Moldova 	          929,400 	 2005
82 	 Dominican Republic 	          894,500 	 2005
83 	 Cuba 	          849,900 	 2005
84 	 Slovenia 	          816,400 	 2005
85 	 Lithuania 	          801,100 	 2005
86 	 Yemen 	          798,100 	 2004
87 	 Libya 	          750,000 	 2003
88 	 Latvia 	          731,000 	 2005
89 	 Georgia 	          683,200 	 2004
90 	 Sudan 	          670,000 	 2005
91 	 Bolivia 	          646,300 	 2005
92 	 Jordan 	          617,300 	 2004
93 	 Ethiopia 	          610,300 	 2005
94 	 Armenia 	          582,500 	 2004
95 	 Macedonia 	          533,200 	 2005
96 	 Kuwait 	          510,300 	 2005
97 	 Honduras 	          494,400 	 2005
