This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet hosts 	 Date of Information
1 	 United States 	       195,138,696 	 2005
2 	 Japan 	        28,321,846 	 2006
3 	 European Union 	        22,000,414 	 
4 	 Germany 	        11,859,131 	 2006
5 	 Netherlands 	         8,363,158 	 2006
6 	 Australia 	         7,772,888 	 2006
7 	 Brazil 	         6,508,431 	 2006
8 	 United Kingdom 	         6,064,860 	 2006
9 	 Korea, South 	         5,433,591 	 2005
10 	 Taiwan 	         4,320,310 	 2006
11 	 Canada 	         3,934,223 	 2006
12 	 Mexico 	         3,426,680 	 2006
13 	 France 	         3,148,379 	 2006
14 	 Sweden 	         2,958,435 	 2006
15 	 Belgium 	         2,870,770 	 2006
16 	 Spain 	         2,520,711 	 2006
17 	 Switzerland 	         2,442,659 	 2006
18 	 Denmark 	         2,415,530 	 2006
19 	 Austria 	         2,062,035 	 2006
20 	 Russia 	         1,979,924 	 2006
21 	 Italy 	         1,731,165 	 2006
22 	 Finland 	         1,633,614 	 2006
23 	 Argentina 	         1,612,423 	 2006
24 	 India 	         1,543,289 	 2006
25 	 Norway 	         1,364,448 	 2006
26 	 Turkey 	         1,313,135 	 2006
27 	 Czech Republic 	         1,267,265 	 2006
28 	 Israel 	         1,251,881 	 2006
29 	 New Zealand 	         1,050,197 	 2006
30 	 Thailand 	          938,784 	 2006
31 	 Singapore 	          898,762 	 2006
32 	 Portugal 	          845,980 	 2005
33 	 Hong Kong 	          800,834 	 2006
34 	 South Africa 	          645,179 	 2006
35 	 Hungary 	          608,085 	 2006
36 	 Greece 	          587,717 	 2006
37 	 Colombia 	          581,877 	 2006
38 	 Chile 	          506,055 	 2006
39 	 Poland 	          358,476 	 2006
40 	 United Arab Emirates 	          337,092 	 2006
41 	 Peru 	          269,981 	 2006
42 	 Ireland 	          238,191 	 2006
43 	 China 	          232,780 	 2006
44 	 Ukraine 	          229,110 	 2006
45 	 Iceland 	          212,897 	 2006
46 	 Slovakia 	          210,758 	 2006
47 	 Bulgaria 	          184,975 	 2006
48 	 Indonesia 	          170,834 	 2006
49 	 Malaysia 	          158,650 	 2006
50 	 Lithuania 	          148,675 	 2006
51 	 Uruguay 	          145,774 	 2006
52 	 Philippines 	          111,262 	 2006
53 	 Dominican Republic 	           91,895 	 2006
54 	 Luxembourg 	           88,661 	 2006
55 	 Pakistan 	           72,765 	 2006
56 	 Cyprus 	           67,589 	 2006
57 	 Latvia 	           65,858 	 2006
58 	 Slovenia 	           61,735 	 2006
59 	 Moldova 	           58,886 	 2006
60 	 Romania 	           57,470 	 2006
61 	 Estonia 	           52,241 	 2006
62 	 Venezuela 	           51,968 	 2006
63 	 Guatemala 	           49,026 	 2006
64 	 Belarus 	           33,641 	 2006
65 	 Bosnia and Herzegovina 	           31,490 	 2006
66 	 Trinidad and Tobago 	           30,732 	 2006
67 	 Nicaragua 	           24,452 	 2006
68 	 Kazakhstan 	           21,187 	 2006
69 	 Bolivia 	           20,085 	 2006
70 	 Netherlands Antilles 	           19,204 	 2006
71 	 Ecuador 	           19,027 	 2006
72 	 Kyrgyzstan 	           18,928 	 2006
73 	 Croatia 	           18,825 	 2006
74 	 Tonga 	           18,775 	 2006
75 	 Nepal 	           17,789 	 2006
76 	 Andorra 	           14,944 	 2006
77 	 French Polynesia 	           14,047 	 2006
78 	 Malta 	           14,025 	 2006
79 	 New Caledonia 	           13,962 	 2006
80 	 Kenya 	           13,274 	 2006
81 	 Paraguay 	           13,178 	 2006
82 	 Costa Rica 	           12,751 	 2006
83 	 Monaco 	           12,720 	 2006
84 	 Vietnam 	           12,114 	 2006
85 	 Aruba 	           11,548 	 2006
86 	 Saudi Arabia 	           10,931 	 2006
87 	 Georgia 	           10,752 	 2006
88 	 Samoa 	           10,680 	 2006
89 	 Uzbekistan 	            9,058 	 2006
90 	 Fiji 	            8,987 	 2006
91 	 Greenland 	            8,851 	 2006
92 	 Cayman Islands 	            8,611 	 2006
93 	 Tanzania 	            8,609 	 2006
94 	 Armenia 	            8,163 	 2006
95 	 Bermuda 	            8,114 	 2006
96 	 Zimbabwe 	            7,954 	 2006
97 	 Antarctica 	            7,757 	 2006
98 	 Bhutan 	            7,567 	 2006
99 	 Panama 	            7,149 	 2006
100 	 Mozambique 	            6,985 	 2006
101 	 Faroe Islands 	            6,915 	 2006
102 	 Sri Lanka 	            6,526 	 2006
103 	 Botswana 	            5,499 	 2006
104 	 Iran 	            5,242 	 2006
105 	 Mauritius 	            4,997 	 2006
106 	 Liechtenstein 	            4,697 	 2006
107 	 El Salvador 	            4,682 	 2006
108 	 Honduras 	            3,973 	 2006
109 	 Belize 	            3,905 	 2006
110 	 Virgin Islands 	            3,855 	 2006
111 	 Macedonia 	            3,716 	 2006
112 	 Oman 	            3,555 	 2006
113 	 Namibia 	            3,527 	 2006
114 	 Jordan 	            3,441 	 2006
115 	 Lebanon 	            3,307 	 2006
116 	 Zambia 	            3,227 	 2006
117 	 Morocco 	            3,218 	 2006
118 	 San Marino 	            3,140 	 2006
119 	 Turks and Caicos Islands 	            2,735 	 2006
120 	 Solomon Islands 	            2,658 	 2006
121 	 Cote d'Ivoire 	            2,534 	 2006
122 	 Angola 	            2,525 	 2006
123 	 Swaziland 	            2,472 	 2006
124 	 Christmas Island 	            2,368 	 2006
125 	 Kuwait 	            2,310 	 2006
126 	 Egypt 	            2,254 	 2006
127 	 Cuba 	            2,234 	 2006
128 	 Antigua and Barbuda 	            2,231 	 2006
129 	 Bahrain 	            2,165 	 2006
130 	 Congo, Democratic Republic of the 	            1,778 	 2006
131 	 Rwanda 	            1,590 	 2006
132 	 Papua New Guinea 	            1,573 	 2006
133 	 Nigeria 	            1,549 	 2006
134 	 Djibouti 	            1,540 	 2006
135 	 Madagascar 	            1,504 	 2006
136 	 American Samoa 	            1,456 	 2006
137 	 Cook Islands 	            1,456 	 2006
138 	 Jamaica 	            1,402 	 2006
139 	 Cambodia 	            1,378 	 2006
140 	 Uganda 	            1,365 	 2006
141 	 Maldives 	            1,357 	 2006
142 	 Guernsey 	            1,245 	 2006
