This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Birth rate(births/1,000 population) 	 Date of Information
1 	 Niger 	     50.16 	 2007 est.
2 	 Mali 	     49.61 	 2007 est.
3 	 Uganda 	     48.12 	 2007 est.
4 	 Afghanistan 	     46.21 	 2007 est.
5 	 Sierra Leone 	     45.41 	 2007 est.
6 	 Burkina Faso 	     45.28 	 2007 est.
7 	 Somalia 	     44.60 	 2007 est.
8 	 Angola 	     44.51 	 2007 est.
9 	 Liberia 	     43.75 	 2007 est.
10 	 Congo, Democratic Republic of the 	     42.96 	 2007 est.
11 	 Yemen 	     42.67 	 2007 est.
12 	 Chad 	     42.35 	 2007 est.
13 	 Congo, Republic of the 	     42.16 	 2007 est.
14 	 Malawi 	     42.09 	 2007 est.
15 	 Burundi 	     41.97 	 2007 est.
16 	 Guinea 	     41.53 	 2007 est.
17 	 Zambia 	     40.78 	 2007 est.
18 	 Mauritania 	     40.56 	 2007 est.
19 	 Mayotte 	     40.35 	 2007 est.
20 	 Nigeria 	     40.20 	 2007 est.
21 	 Rwanda 	     40.16 	 2007 est.
22 	 Sao Tome and Principe 	     39.72 	 2007 est.
23 	 Djibouti 	     39.07 	 2007 est.
24 	 Kenya 	     38.94 	 2007 est.
25 	 Gaza Strip 	     38.90 	 2007 est.
26 	 Gambia, The 	     38.86 	 2007 est.
27 	 Madagascar 	     38.60 	 2007 est.
28 	 Mozambique 	     38.54 	 2007 est.
29 	 Benin 	     38.10 	 2007 est.
30 	 Senegal 	     37.40 	 2007 est.
31 	 Ethiopia 	     37.39 	 2007 est.
32 	 Togo 	     36.83 	 2007 est.
33 	 Guinea-Bissau 	     36.81 	 2007 est.
34 	 Comoros 	     36.35 	 2007 est.
35 	 Gabon 	     35.96 	 2007 est.
36 	 Tanzania 	     35.95 	 2007 est.
37 	 Haiti 	     35.87 	 2007 est.
38 	 Oman 	     35.76 	 2007 est.
39 	 Equatorial Guinea 	     35.16 	 2007 est.
40 	 Cameroon 	     35.07 	 2007 est.
41 	 Laos 	     34.98 	 2007 est.
42 	 Sudan 	     34.86 	 2007 est.
43 	 Cote d'Ivoire 	     34.69 	 2007 est.
44 	 Maldives 	     34.20 	 2007 est.
45 	 Eritrea 	     33.97 	 2007 est.
46 	 Central African Republic 	     33.52 	 2007 est.
47 	 Bhutan 	     33.28 	 2007 est.
48 	 Marshall Islands 	     32.37 	 2007 est.
49 	 Iraq 	     31.44 	 2007 est.
50 	 West Bank 	     30.99 	 2007 est.
51 	 Kiribati 	     30.48 	 2007 est.
52 	 Nepal 	     30.46 	 2007 est.
53 	 Ghana 	     29.85 	 2007 est.
54 	 Bangladesh 	     29.36 	 2007 est.
55 	 Solomon Islands 	     29.27 	 2007 est.
56 	 Saudi Arabia 	     29.10 	 2007 est.
57 	 Guatemala 	     29.09 	 2007 est.
58 	 Paraguay 	     28.77 	 2007 est.
59 	 Papua New Guinea 	     28.76 	 2007 est.
60 	 Belize 	     28.34 	 2007 est.
61 	 Samoa 	     28.28 	 2007 est.
62 	 Zimbabwe 	     27.72 	 2007 est.
63 	 Honduras 	     27.59 	 2007 est.
64 	 Pakistan 	     27.52 	 2007 est.
65 	 Tajikistan 	     27.33 	 2007 est.
66 	 Syria 	     27.19 	 2007 est.
67 	 Swaziland 	     26.98 	 2007 est.
68 	 Timor-Leste 	     26.77 	 2007 est.
69 	 Uzbekistan 	     26.46 	 2007 est.
70 	 El Salvador 	     26.13 	 2007 est.
71 	 Libya 	     26.09 	 2007 est.
72 	 Cambodia 	     25.53 	 2007 est.
73 	 Turkmenistan 	     25.36 	 2007 est.
74 	 Lesotho 	     24.72 	 2007 est.
75 	 Philippines 	     24.48 	 2007 est.
76 	 Nauru 	     24.47 	 2007 est.
77 	 Cape Verde 	     24.40 	 2007 est.
78 	 Micronesia, Federated States of 	     24.14 	 2007 est.
79 	 Nicaragua 	     24.12 	 2007 est.
80 	 Tonga 	     23.67 	 2007 est.
81 	 Namibia 	     23.52 	 2007 est.
82 	 Botswana 	     23.17 	 2007 est.
83 	 Kyrgyzstan 	     23.08 	 2007 est.
84 	 Dominican Republic 	     22.91 	 2007 est.
85 	 Bolivia 	     22.82 	 2007 est.
86 	 India 	     22.69 	 2007 est.
87 	 Malaysia 	     22.65 	 2007 est.
88 	 Egypt 	     22.53 	 2007 est.
89 	 Tuvalu 	     22.43 	 2007 est.
90 	 Fiji 	     22.37 	 2007 est.
91 	 Vanuatu 	     22.35 	 2007 est.
92 	 Kuwait 	     21.95 	 2007 est.
93 	 Ecuador 	     21.91 	 2007 est.
94 	 Grenada 	     21.87 	 2007 est.
95 	 American Samoa 	     21.83 	 2007 est.
96 	 Morocco 	     21.64 	 2007 est.
97 	 Turks and Caicos Islands 	     21.48 	 2007 est.
98 	 Panama 	     21.45 	 2007 est.
99 	 Venezuela 	     21.22 	 2007 est.
100 	 Mongolia 	     21.07 	 2007 est.
101 	 Cook Islands 	     21.00 	 2001 census
102 	 Jordan 	     20.69 	 2007 est.
103 	 Jamaica 	     20.44 	 2007 est.
104 	 Mexico 	     20.36 	 2007 est.
105 	 Colombia 	     20.16 	 2007 est.
106 	 Peru 	     20.09 	 2007 est.
107 	 World 	     20.09 	 2007 est.
108 	 Indonesia 	     19.65 	 2007 est.
109 	 Saint Lucia 	     19.28 	 2007 est.
110 	 Northern Mariana Islands 	     19.27 	 2007 est.
111 	 Brunei 	     18.56 	 2007 est.
112 	 Guam 	     18.56 	 2007 est.
113 	 Guyana 	     18.09 	 2007 est.
114 	 Lebanon 	     18.08 	 2007 est.
115 	 Costa Rica 	     18.02 	 2007 est.
116 	 South Africa 	     17.94 	 2007 est.
117 	 Saint Kitts and Nevis 	     17.89 	 2007 est.
118 	 New Caledonia 	     17.75 	 2007 est.
119 	 Israel 	     17.71 	 2007 est.
120 	 Palau 	     17.70 	 2007 est.
121 	 Bahrain 	     17.53 	 2007 est.
122 	 Montserrat 	     17.51 	 2007 est.
123 	 Burma 	     17.48 	 2007 est.
124 	 Azerbaijan 	     17.47 	 2007 est.
125 	 Suriname 	     17.31 	 2007 est.
