This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
1 	 World 	      3,001,000,000 	 2005 est.
2 	 China 	       795,300,000 	 2006 est.
3 	 India 	       506,900,000 	 2006 est.
4 	 European Union 	       220,900,000 	 2006 est.
5 	 United States 	       151,400,000 	 2006 est.
6 	 Indonesia 	       106,400,000 	 2006 est.
7 	 Brazil 	        97,770,000 	 2006 est.
8 	 Russia 	        74,260,000 	 2006 est.
9 	 Bangladesh 	        68,000,000 	 2006 est.
10 	 Japan 	        66,570,000 	 2006 est.
11 	 Nigeria 	        49,620,000 	 2006 est.
12 	 Pakistan 	        47,870,000 	 2006 est.
13 	 Vietnam 	        44,580,000 	 2006 est.
14 	 Mexico 	        44,510,000 	 2006 est.
15 	 Germany 	        43,570,000 	 2006 est.
16 	 Thailand 	        36,550,000 	 2006 est.
17 	 Philippines 	        35,790,000 	 2006 est.
18 	 United Kingdom 	        30,480,000 	 2006 est.
19 	 Burma 	        28,490,000 	 2006 est.
20 	 France 	        27,750,000 	 2006 est.
21 	 Ethiopia 	        27,270,000 	 1999
22 	 Turkey 	        24,790,000 	 2006 est.
23 	 Italy 	        24,640,000 	 2006 est.
24 	 Iran 	        24,290,000 	 2006 est.
25 	 Korea, South 	        23,980,000 	 2006 est.
26 	 Egypt 	        21,800,000 	 2006 est.
27 	 Spain 	        21,580,000 	 2006 est.
28 	 Ukraine 	        21,520,000 	 2006 est.
29 	 Colombia 	        20,340,000 	 2006 est.
30 	 Tanzania 	        19,350,000 	 2006 est.
31 	 Canada 	        17,590,000 	 2006 est.
32 	 South Africa 	        16,960,000 	 2006 est.
33 	 Poland 	        16,940,000 	 2006 est.
34 	 Argentina 	        15,760,000 	 2006 est.
35 	 Afghanistan 	        15,000,000 	 2004 est.
36 	 Congo, Democratic Republic of the 	        15,000,000 	 2006 est.
37 	 Uzbekistan 	        14,430,000 	 2006 est.
38 	 Uganda 	        13,580,000 	 2006 est.
39 	 Venezuela 	        12,190,000 	 2006 est.
40 	 Nepal 	        11,110,000 	 2006 est.
41 	 Ghana 	        11,070,000 	 2006 est.
42 	 Morocco 	        10,860,000 	 2006 est.
43 	 Australia 	        10,740,000 	 2006 est.
44 	 Malaysia 	        10,680,000 	 2006 est.
45 	 Taiwan 	        10,520,000 	 2006 est.
46 	 Korea, North 	         9,600,000 	 2002 est.
47 	 Mozambique 	         9,400,000 	 2006 est.
48 	 Romania 	         9,330,000 	 2006 est.
49 	 Algeria 	         9,310,000 	 2006 est.
50 	 Peru 	         9,210,000 	 2006 est.
51 	 Kazakhstan 	         8,029,000 	 2006 est.
52 	 Sri Lanka 	         7,602,000 	 2006 est.
53 	 Netherlands 	         7,490,000 	 2006 est.
54 	 Sudan 	         7,415,000 	 1996 est.
55 	 Iraq 	         7,400,000 	 2004 est.
56 	 Madagascar 	         7,300,000 	 2000
57 	 Cambodia 	         7,000,000 	 2003 est.
58 	 Chile 	         6,835,000 	 2006 est.
