This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Total fertility rate(children born/woman) 	 Date of Information
1 	 Mali 	      7.38 	 2007 est.
2 	 Niger 	      7.37 	 2007 est.
3 	 Uganda 	      6.84 	 2007 est.
4 	 Somalia 	      6.68 	 2007 est.
5 	 Afghanistan 	      6.64 	 2007 est.
6 	 Yemen 	      6.49 	 2007 est.
7 	 Burundi 	      6.48 	 2007 est.
8 	 Burkina Faso 	      6.41 	 2007 est.
9 	 Congo, Democratic Republic of the 	      6.37 	 2007 est.
10 	 Angola 	      6.27 	 2007 est.
11 	 Sierra Leone 	      6.01 	 2007 est.
12 	 Congo, Republic of the 	      5.99 	 2007 est.
13 	 Liberia 	      5.94 	 2007 est.
14 	 Mauritania 	      5.78 	 2007 est.
15 	 Guinea 	      5.75 	 2007 est.
16 	 Malawi 	      5.74 	 2007 est.
17 	 Oman 	      5.70 	 2007 est.
18 	 Mayotte 	      5.69 	 2007 est.
19 	 Gaza Strip 	      5.64 	 2007 est.
20 	 Chad 	      5.56 	 2007 est.
21 	 Sao Tome and Principe 	      5.53 	 2007 est.
22 	 Nigeria 	      5.45 	 2007 est.
23 	 Rwanda 	      5.37 	 2007 est.
24 	 Zambia 	      5.31 	 2007 est.
25 	 Mozambique 	      5.29 	 2007 est.
26 	 Madagascar 	      5.24 	 2007 est.
27 	 Djibouti 	      5.23 	 2007 est.
28 	 Gambia, The 	      5.21 	 2007 est.
29 	 Ethiopia 	      5.10 	 2007 est.
30 	 Benin 	      5.08 	 2007 est.
31 	 Senegal 	      5.00 	 2007 est.
32 	 Comoros 	      4.97 	 2007 est.
33 	 Eritrea 	      4.96 	 2007 est.
34 	 Togo 	      4.90 	 2007 est.
35 	 Haiti 	      4.86 	 2007 est.
36 	 Kenya 	      4.82 	 2007 est.
37 	 Guinea-Bissau 	      4.79 	 2007 est.
38 	 Maldives 	      4.78 	 2007 est.
39 	 Tanzania 	      4.77 	 2007 est.
40 	 Gabon 	      4.71 	 2007 est.
41 	 Sudan 	      4.69 	 2007 est.
42 	 Bhutan 	      4.67 	 2007 est.
43 	 Laos 	      4.59 	 2007 est.
44 	 Cameroon 	      4.49 	 2007 est.
45 	 Equatorial Guinea 	      4.48 	 2007 est.
46 	 Cote d'Ivoire 	      4.43 	 2007 est.
47 	 Central African Republic 	      4.32 	 2007 est.
48 	 Samoa 	      4.21 	 2007 est.
49 	 West Bank 	      4.17 	 2007 est.
50 	 Kiribati 	      4.12 	 2007 est.
51 	 Iraq 	      4.07 	 2007 est.
52 	 Nepal 	      4.01 	 2007 est.
53 	 Saudi Arabia 	      3.94 	 2007 est.
54 	 Ghana 	      3.89 	 2007 est.
55 	 Paraguay 	      3.84 	 2007 est.
56 	 Papua New Guinea 	      3.79 	 2007 est.
57 	 Solomon Islands 	      3.78 	 2007 est.
58 	 Marshall Islands 	      3.76 	 2007 est.
59 	 Pakistan 	      3.71 	 2007 est.
60 	 Guatemala 	      3.70 	 2007 est.
61 	 Belize 	      3.52 	 2007 est.
62 	 Honduras 	      3.48 	 2007 est.
63 	 Timor-Leste 	      3.45 	 2007 est.
64 	 Swaziland 	      3.43 	 2007 est.
65 	 Syria 	      3.31 	 2007 est.
66 	 Cape Verde 	      3.28 	 2007 est.
67 	 Lesotho 	      3.21 	 2007 est.
68 	 Libya 	      3.21 	 2007 est.
69 	 Turkmenistan 	      3.13 	 2007 est.
70 	 Cambodia 	      3.12 	 2007 est.
71 	 Bangladesh 	      3.09 	 2007 est.
72 	 Tajikistan 	      3.09 	 2007 est.
73 	 El Salvador 	      3.08 	 2007 est.
74 	 Zimbabwe 	      3.08 	 2007 est.
75 	 American Samoa 	      3.07 	 2007 est.
76 	 Micronesia, Federated States of 	      3.07 	 2007 est.
77 	 Philippines 	      3.05 	 2007 est.
78 	 Nauru 	      3.02 	 2007 est.
79 	 Turks and Caicos Islands 	      3.02 	 2007 est.
80 	 Malaysia 	      3.01 	 2007 est.
81 	 Tuvalu 	      2.96 	 2007 est.
82 	 Namibia 	      2.94 	 2007 est.
83 	 Uzbekistan 	      2.88 	 2007 est.
84 	 Kuwait 	      2.86 	 2007 est.
