This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures(% of GDP) 	 Date of Information
1 	 Oman 	     11.40 	 2005 est.
2 	 Qatar 	     10.00 	 2005 est.
3 	 Saudi Arabia 	     10.00 	 2005 est.
4 	 Iraq 	      8.60 	 2006
5 	 Jordan 	      8.60 	 2006
6 	 Israel 	      7.30 	 2006
7 	 Yemen 	      6.60 	 2006
8 	 Armenia 	      6.50 	 FY01
9 	 Eritrea 	      6.30 	 2006 est.
10 	 Macedonia 	      6.00 	 2005 est.
11 	 Burundi 	      5.90 	 2006 est.
12 	 Syria 	      5.90 	 2005 est.
13 	 Angola 	      5.70 	 2006
14 	 Mauritania 	      5.50 	 2006
15 	 Maldives 	      5.50 	 2005 est.
16 	 Kuwait 	      5.30 	 2006
17 	 Turkey 	      5.30 	 2005 est.
18 	 El Salvador 	      5.00 	 2006
19 	 Morocco 	      5.00 	 2003 est.
20 	 Singapore 	      4.90 	 2005 est.
21 	 Swaziland 	      4.70 	 2006
22 	 Bahrain 	      4.50 	 2006
23 	 Bosnia and Herzegovina 	      4.50 	 2005 est.
24 	 Brunei 	      4.50 	 2006
25 	 China 	      4.30 	 2006
26 	 Greece 	      4.30 	 2005 est.
27 	 Chad 	      4.20 	 2006
28 	 United States 	      4.06 	 2005 est.
29 	 Libya 	      3.90 	 2005 est.
30 	 Russia 	      3.90 	 2005
31 	 Tajikistan 	      3.90 	 2005 est.
32 	 Cuba 	      3.80 	 2006 est.
33 	 Djibouti 	      3.80 	 2006
34 	 Cyprus 	      3.80 	 2005 est.
35 	 Zimbabwe 	      3.80 	 2006
36 	 Namibia 	      3.70 	 2006
37 	 Colombia 	      3.40 	 2005 est.
38 	 Gabon 	      3.40 	 2005 est.
39 	 Egypt 	      3.40 	 2005 est.
40 	 Turkmenistan 	      3.40 	 2005 est.
41 	 Algeria 	      3.30 	 2006
42 	 Botswana 	      3.30 	 2006
43 	 United Arab Emirates 	      3.10 	 2005 est.
44 	 Guinea-Bissau 	      3.10 	 2005 est.
45 	 Lebanon 	      3.10 	 2005 est.
46 	 Congo, Republic of the 	      3.10 	 2006
47 	 Solomon Islands 	      3.00 	 2006
48 	 Cambodia 	      3.00 	 2005 est.
49 	 Ethiopia 	      3.00 	 2006
50 	 Indonesia 	      3.00 	 2005 est.
51 	 Sudan 	      3.00 	 2005 est.
52 	 Pakistan 	      3.00 	 2007 est.
53 	 Rwanda 	      2.90 	 2006 est.
54 	 Comoros 	      2.80 	 2006
55 	 Ecuador 	      2.80 	 2006
56 	 Kenya 	      2.80 	 2006
57 	 Chile 	      2.70 	 2006
58 	 Korea, South 	      2.70 	 2006
59 	 Azerbaijan 	      2.60 	 2005 est.
