This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
1 	 World 	      2,168,433,600 	 2005
2 	 China 	       547,286,000 	 2007
3 	 European Union 	       466,000,000 	 2005
4 	 India 	       296,080,000 	 2008
5 	 United States 	       255,000,000 	 2007
6 	 Russia 	       170,000,000 	 2007
7 	 Brazil 	       120,980,000 	 2007
8 	 Japan 	       107,339,000 	 2007
9 	 Germany 	        97,151,000 	 2007
10 	 Pakistan 	        88,020,000 	 2008
11 	 Indonesia 	        81,835,000 	 2007
12 	 Italy 	        78,571,000 	 2006
13 	 United Kingdom 	        71,992,000 	 2007
14 	 Mexico 	        68,254,000 	 2007
15 	 Turkey 	        61,976,000 	 2007
16 	 France 	        56,719,000 	 2007
17 	 Ukraine 	        55,240,000 	 2007
18 	 Philippines 	        51,795,000 	 2007
19 	 Thailand 	        51,377,000 	 2007
20 	 Spain 	        48,813,000 	 2007
21 	 Korea, South 	        43,500,000 	 2007
22 	 South Africa 	        42,300,000 	 2007
23 	 Poland 	        41,389,000 	 2007
24 	 Argentina 	        40,402,000 	 2007
25 	 Nigeria 	        40,395,000 	 2007
26 	 Bangladesh 	        34,370,000 	 2007
27 	 Colombia 	        33,941,000 	 2007
28 	 Vietnam 	        33,200,000 	 2007
29 	 Egypt 	        30,065,000 	 2007
30 	 Iran 	        29,770,000 	 2007
31 	 Saudi Arabia 	        28,381,000 	 2007
32 	 Algeria 	        27,563,000 	 2007
33 	 Taiwan 	        24,302,000 	 2007
34 	 Venezuela 	        23,820,000 	 2007
35 	 Malaysia 	        23,347,000 	 2007
36 	 Romania 	        22,875,000 	 2007
37 	 Australia 	        21,260,000 	 2007
38 	 Morocco 	        20,029,000 	 2007
39 	 Canada 	        18,749,000 	 2006
40 	 Netherlands 	        17,300,000 	 2006
41 	 Peru 	        15,417,000 	 2007
42 	 Iraq 	        14,021,000 	 2007
43 	 Chile 	        13,955,000 	 2007
44 	 Portugal 	        13,413,000 	 2007
45 	 Czech Republic 	        13,075,000 	 2007
46 	 Kazakhstan 	        12,588,000 	 2007
47 	 Greece 	        11,997,000 	 2007
48 	 Kenya 	        11,440,000 	 2007
49 	 Hungary 	        11,030,000 	 2007
50 	 Hong Kong 	        10,550,000 	 2007
51 	 Sweden 	        10,371,000 	 2007
52 	 Belgium 	        10,230,000 	 2007
53 	 Guatemala 	        10,150,000 	 2007
54 	 Ecuador 	        10,086,000 	 2007
55 	 Bulgaria 	         9,897,000 	 2007
56 	 Austria 	         9,768,000 	 2007
57 	 Tanzania 	         9,358,000 	 2008
58 	 Israel 	         8,902,000 	 2007
59 	 Serbia 	         8,453,000 	 2007
60 	 Switzerland 	         8,096,000 	 2007
61 	 Sri Lanka 	         7,983,000 	 2007
62 	 Tunisia 	         7,842,000 	 2007
63 	 Ghana 	         7,604,000 	 2007
64 	 United Arab Emirates 	         7,595,000 	 2007
65 	 Sudan 	         7,464,000 	 2007
66 	 Cote d'Ivoire 	         7,050,000 	 2007
67 	 Syria 	         6,700,000 	 2007
68 	 Congo, Democratic Republic of the 	         6,592,000 	 2007
69 	 Denmark 	         6,243,000 	 2007
70 	 El Salvador 	         6,137,000 	 2007
71 	 Finland 	         6,080,000 	 2007
72 	 Slovakia 	         6,068,000 	 2007
73 	 Belarus 	         5,960,000 	 2006
74 	 Uzbekistan 	         5,800,000 	 2007
75 	 Singapore 	         5,619,000 	 2007
76 	 Dominican Republic 	         5,513,000 	 2007
77 	 Afghanistan 	         5,400,000 	 2008
78 	 Norway 	         5,192,000 	 2007
79 	 Croatia 	         5,035,000 	 2007
80 	 Ireland 	         4,940,000 	 2007
81 	 Lithuania 	         4,912,000 	 2007
82 	 Jordan 	         4,771,000 	 2007
83 	 Cameroon 	         4,536,000 	 2007
84 	 Libya 	         4,500,000 	 2007
85 	 Paraguay 	         4,330,000 	 2007
86 	 Azerbaijan 	         4,300,000 	 2007
87 	 New Zealand 	         4,245,000 	 2007
88 	 Uganda 	         4,195,000 	 2007
89 	 Senegal 	         4,123,000 	 2007
90 	 Puerto Rico 	         3,354,000 	 2005
91 	 Angola 	         3,307,000 	 2007
92 	 Mozambique 	         3,300,000 	 2007
93 	 Bolivia 	         3,254,000 	 2007
94 	 Uruguay 	         3,004,000 	 2007
95 	 Yemen 	         2,978,000 	 2006
96 	 Kuwait 	         2,774,000 	 2007
97 	 Zambia 	         2,639,000 	 2007
