This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 HIV/AIDS - adult prevalence rate(%) 	 Date of Information
1 	 Swaziland 	     38.80 	 2003 est.
2 	 Botswana 	     37.30 	 2003 est.
3 	 Lesotho 	     28.90 	 2003 est.
4 	 Zimbabwe 	     24.60 	 2001 est.
5 	 South Africa 	     21.50 	 2003 est.
6 	 Namibia 	     21.30 	 2003 est.
7 	 Zambia 	     16.50 	 2003 est.
8 	 Malawi 	     14.20 	 2003 est.
9 	 Central African Republic 	     13.50 	 2003 est.
10 	 Mozambique 	     12.20 	 2003 est.
11 	 Guinea-Bissau 	     10.00 	 2003 est.
12 	 Tanzania 	      8.80 	 2003 est.
13 	 Gabon 	      8.10 	 2003 est.
14 	 Cote d'Ivoire 	      7.00 	 2003 est.
15 	 Sierra Leone 	      7.00 	 2001 est.
16 	 Cameroon 	      6.90 	 2003 est.
17 	 Kenya 	      6.70 	 2003 est.
18 	 Burundi 	      6.00 	 2003 est.
19 	 Liberia 	      5.90 	 2003 est.
20 	 Haiti 	      5.60 	 2003 est.
21 	 Nigeria 	      5.40 	 2003 est.
22 	 Rwanda 	      5.10 	 2003 est.
23 	 Congo, Republic of the 	      4.90 	 2003 est.
24 	 Chad 	      4.80 	 2003 est.
25 	 Ethiopia 	      4.40 	 2003 est.
26 	 Congo, Democratic Republic of the 	      4.20 	 2003 est.
27 	 Burkina Faso 	      4.20 	 2003 est.
28 	 Togo 	      4.10 	 2003 est.
29 	 Uganda 	      4.10 	 2003 est.
30 	 Angola 	      3.90 	 2003 est.
31 	 Equatorial Guinea 	      3.40 	 2001 est.
32 	 Guinea 	      3.20 	 2003 est.
33 	 Trinidad and Tobago 	      3.20 	 2003 est.
34 	 Ghana 	      3.10 	 2003 est.
35 	 Bahamas, The 	      3.00 	 2003 est.
36 	 Djibouti 	      2.90 	 2003 est.
37 	 Eritrea 	      2.70 	 2003 est.
38 	 Cambodia 	      2.60 	 2003 est.
39 	 Guyana 	      2.50 	 2003 est.
40 	 Belize 	      2.40 	 2003 est.
41 	 Sudan 	      2.30 	 2001 est.
42 	 Benin 	      1.90 	 2003 est.
43 	 Mali 	      1.90 	 2003 est.
44 	 Honduras 	      1.80 	 2003 est.
45 	 Dominican Republic 	      1.70 	 2003 est.
46 	 Madagascar 	      1.70 	 2003 est.
47 	 Suriname 	      1.70 	 2001 est.
48 	 Barbados 	      1.50 	 2003 est.
49 	 Thailand 	      1.50 	 2003 est.
50 	 Ukraine 	      1.40 	 2003 est.
