This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - proved reserves(bbl) 	 Date of Information
1 	 World 	   1,332,000,000,000 	 1 January 2008 est.
2 	 Saudi Arabia 	    266,800,000,000 	 1 January 2008 est.
3 	 Canada 	    178,600,000,000 	 1 January 2008 est.
4 	 Iran 	    138,400,000,000 	 1 January 2008 est.
5 	 Iraq 	    115,000,000,000 	 1 January 2008 est.
6 	 Kuwait 	    104,000,000,000 	 1 January 2008 est.
7 	 United Arab Emirates 	     97,800,000,000 	 1 January 2008 est.
8 	 Venezuela 	     87,040,000,000 	 1 January 2008 est.
9 	 Russia 	     60,000,000,000 	 1 January 2008 est.
10 	 Libya 	     41,460,000,000 	 1 January 2008 est.
11 	 Nigeria 	     36,220,000,000 	 1 January 2008 est.
12 	 Kazakhstan 	     30,000,000,000 	 1 January 2008 est.
13 	 United States 	     20,970,000,000 	 1 January 2008 est.
14 	 China 	     16,000,000,000 	 1 January 2008 est.
15 	 Qatar 	     15,210,000,000 	 1 January 2008 est.
16 	 Algeria 	     12,200,000,000 	 1 January 2008 est.
17 	 Brazil 	     12,180,000,000 	 1 January 2008 est.
18 	 Mexico 	     11,650,000,000 	 1 January 2008 est.
19 	 Angola 	      9,035,000,000 	 1 January 2008 est.
20 	 Azerbaijan 	      7,000,000,000 	 1 January 2008 est.
21 	 Norway 	      6,865,000,000 	 1 January 2008 est.
22 	 European Union 	      6,144,000,000 	 1 January 2008
23 	 India 	      5,625,000,000 	 1 January 2008 est.
24 	 Oman 	      5,500,000,000 	 1 January 2008 est.
25 	 Sudan 	      5,000,000,000 	 1 January 2008 est.
26 	 Ecuador 	      4,517,000,000 	 1 January 2008 est.
27 	 Indonesia 	      4,370,000,000 	 1 January 2008 est.
28 	 Malaysia 	      4,000,000,000 	 1 January 2008 est.
29 	 Egypt 	      3,700,000,000 	 1 January 2008 est.
30 	 United Kingdom 	      3,600,000,000 	 1 January 2008 est.
31 	 Yemen 	      3,000,000,000 	 1 January 2008 est.
32 	 Argentina 	      2,587,000,000 	 1 January 2008 est.
33 	 Syria 	      2,500,000,000 	 1 January 2008 est.
34 	 Gabon 	      2,000,000,000 	 1 January 2008 est.
35 	 Congo, Republic of the 	      1,600,000,000 	 1 January 2008 est.
36 	 Colombia 	      1,506,000,000 	 1 January 2008 est.
37 	 Australia 	      1,500,000,000 	 1 January 2008 est.
38 	 Chad 	      1,500,000,000 	 1 January 2008 est.
39 	 Denmark 	      1,188,000,000 	 1 January 2008 est.
40 	 Brunei 	      1,100,000,000 	 1 January 2008 est.
41 	 Equatorial Guinea 	      1,100,000,000 	 1 January 2008 est.
42 	 Trinidad and Tobago 	       728,300,000 	 1 January 2008 est.
43 	 Romania 	       600,000,000 	 1 January 2008 est.
44 	 Turkmenistan 	       600,000,000 	 1 January 2008 est.
45 	 Vietnam 	       600,000,000 	 1 January 2008 est.
46 	 Uzbekistan 	       594,000,000 	 1 January 2008 est.
47 	 Bolivia 	       465,000,000 	 1 January 2008 est.
48 	 Thailand 	       460,000,000 	 1 January 2008 est.
49 	 Italy 	       406,500,000 	 1 January 2008 est.
50 	 Tunisia 	       400,000,000 	 1 January 2008 est.
51 	 Ukraine 	       395,000,000 	 1 January 2008 est.
