This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - proved reserves(cu m) 	 Date of Information
1 	 World 	 175,400,000,000,000 	 1 January 2008 est.
2 	 Russia 	  47,570,000,000,000 	 1 January 2008 est.
3 	 Iran 	  26,850,000,000,000 	 1 January 2008 est.
4 	 Qatar 	  25,630,000,000,000 	 1 January 2008 est.
5 	 Saudi Arabia 	   7,167,000,000,000 	 1 January 2008 est.
6 	 United Arab Emirates 	   6,071,000,000,000 	 1 January 2008 est.
7 	 United States 	   5,977,000,000,000 	 1 January 2008 est.
8 	 Nigeria 	   5,210,000,000,000 	 1 January 2008 est.
9 	 Venezuela 	   4,708,000,000,000 	 1 January 2008 est.
10 	 Algeria 	   4,502,000,000,000 	 1 January 2008 est.
11 	 Iraq 	   3,170,000,000,000 	 1 January 2008 est.
12 	 Kazakhstan 	   2,832,000,000,000 	 1 January 2008 est.
13 	 Turkmenistan 	   2,832,000,000,000 	 1 January 2008 est.
14 	 Indonesia 	   2,659,000,000,000 	 1 January 2008 est.
15 	 European Union 	   2,476,000,000,000 	 1 January 2008 est.
16 	 Malaysia 	   2,350,000,000,000 	 1 January 2008 est.
17 	 China 	   2,265,000,000,000 	 1 January 2008 est.
18 	 Norway 	   2,241,000,000,000 	 1 January 2008 est.
19 	 Uzbekistan 	   1,841,000,000,000 	 1 January 2008 est.
20 	 Egypt 	   1,656,000,000,000 	 1 January 2008 est.
21 	 Canada 	   1,648,000,000,000 	 1 January 2008 est.
22 	 Kuwait 	   1,586,000,000,000 	 1 January 2008 est.
23 	 Libya 	   1,419,000,000,000 	 1 January 2008 est.
24 	 Netherlands 	   1,416,000,000,000 	 1 January 2008 est.
25 	 Ukraine 	   1,104,000,000,000 	 1 January 2008 est.
26 	 India 	   1,075,000,000,000 	 1 January 2008 est.
27 	 Azerbaijan 	    849,500,000,000 	 1 January 2008 est.
28 	 Australia 	    849,500,000,000 	 1 January 2008 est.
29 	 Oman 	    849,500,000,000 	 1 January 2008 est.
30 	 Pakistan 	    792,800,000,000 	 1 January 2008 est.
31 	 Bolivia 	    750,400,000,000 	 1 January 2008 est.
32 	 Trinidad and Tobago 	    531,500,000,000 	 1 January 2008 est.
33 	 Yemen 	    478,500,000,000 	 1 January 2008 est.
34 	 Argentina 	    446,000,000,000 	 1 January 2008 est.
35 	 United Kingdom 	    412,000,000,000 	 1 January 2008 est.
36 	 Mexico 	    392,200,000,000 	 1 January 2008 est.
37 	 Brunei 	    390,800,000,000 	 1 January 2008 est.
38 	 Brazil 	    347,700,000,000 	 1 January 2008 est.
39 	 Peru 	    337,800,000,000 	 1 January 2008 est.
40 	 Thailand 	    331,200,000,000 	 1 January 2008 est.
41 	 Burma 	    283,200,000,000 	 1 January 2008 est.
42 	 Angola 	    269,800,000,000 	 1 January 2008 est.
43 	 Germany 	    254,800,000,000 	 1 January 2008 est.
44 	 Syria 	    240,700,000,000 	 1 January 2008 est.
45 	 Papua New Guinea 	    226,500,000,000 	 1 January 2008 est.
46 	 Timor-Leste 	    200,000,000,000 	 1 January 2006 est.
47 	 Vietnam 	    192,500,000,000 	 1 January 2008 est.
48 	 Poland 	    164,800,000,000 	 1 January 2008 est.
49 	 Bangladesh 	    141,600,000,000 	 1 January 2008 est.
50 	 Cameroon 	    135,100,000,000 	 1 January 2008 est.
51 	 Mozambique 	    127,400,000,000 	 1 January 2008 est.
52 	 Colombia 	    122,900,000,000 	 1 January 2008 est.
53 	 Philippines 	     98,540,000,000 	 1 January 2008 est.
54 	 Chile 	     97,970,000,000 	 1 January 2008 est.
55 	 Italy 	     94,150,000,000 	 1 January 2008 est.
56 	 Bahrain 	     92,030,000,000 	 1 January 2008 est.
57 	 Congo, Republic of the 	     90,610,000,000 	 1 January 2008 est.
58 	 Sudan 	     84,950,000,000 	 1 January 2008 est.
59 	 Cuba 	     70,790,000,000 	 1 January 2008 est.
60 	 Denmark 	     70,510,000,000 	 1 January 2008 est.
61 	 Tunisia 	     65,130,000,000 	 1 January 2008 est.
62 	 Romania 	     63,000,000,000 	 1 January 2008 est.
63 	 Namibia 	     62,290,000,000 	 1 January 2008 est.
64 	 Rwanda 	     56,630,000,000 	 1 January 2008 est.
65 	 Afghanistan 	     49,550,000,000 	 1 January 2008 est.
66 	 Serbia 	     48,140,000,000 	 1 January 2008 est.
67 	 Equatorial Guinea 	     36,810,000,000 	 1 January 2008 est.
68 	 Israel 	     30,440,000,000 	 1 January 2008 est.
69 	 New Zealand 	     29,670,000,000 	 1 January 2008 est.
70 	 Croatia 	     28,540,000,000 	 1 January 2008 est.
71 	 Gabon 	     28,320,000,000 	 1 January 2008 est.
72 	 Mauritania 	     28,320,000,000 	 1 January 2008 est.
73 	 Cote d'Ivoire 	     28,320,000,000 	 1 January 2008 est.
74 	 Ethiopia 	     24,920,000,000 	 1 January 2008 est.
