This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Public debt(% of GDP) 	 Date of Information
1 	 Zimbabwe 	    218.20 	 2007 est.
2 	 Lebanon 	    186.60 	 2007 est.
3 	 Japan 	    170.00 	 2007 est.
4 	 Jamaica 	    126.50 	 2007 est.
5 	 Sudan 	    105.90 	 2007 est.
6 	 Egypt 	    105.80 	 2007 est.
7 	 Italy 	    104.00 	 2007 est.
8 	 Singapore 	     96.30 	 2007 est.
9 	 Seychelles 	     92.30 	 2007 est.
10 	 Greece 	     89.50 	 2007 est.
11 	 Sri Lanka 	     85.80 	 2007 est.
12 	 Belgium 	     84.60 	 2007 est.
13 	 Norway 	     83.10 	 2007 est.
14 	 Bhutan 	     81.40 	 2004
15 	 Israel 	     80.60 	 2007 est.
16 	 Cote d'Ivoire 	     75.20 	 2007 est.
17 	 Jordan 	     72.40 	 2007 est.
18 	 Morocco 	     67.40 	 2007 est.
19 	 Hungary 	     67.00 	 2007 est.
20 	 Germany 	     64.90 	 2007 est.
21 	 Uruguay 	     64.80 	 2007 est.
22 	 Canada 	     64.20 	 2007 est.
23 	 France 	     63.90 	 2007 est.
24 	 Portugal 	     63.60 	 2007 est.
25 	 Mauritius 	     63.10 	 2007 est.
26 	 Nicaragua 	     62.90 	 2007 est.
27 	 United States 	     60.80 	 2007 est.
28 	 Cyprus 	     59.60 	 2007 est.
29 	 Austria 	     59.10 	 2007 est.
30 	 Ghana 	     58.50 	 2007 est.
31 	 India 	     58.20 	 2007 est.
32 	 Argentina 	     56.10 	 2007 est.
33 	 Philippines 	     55.80 	 2007 est.
34 	 Tunisia 	     55.40 	 2007 est.
35 	 Panama 	     53.00 	 2007 est.
36 	 Colombia 	     52.80 	 2007 est.
37 	 Gabon 	     52.80 	 2007 est.
38 	 Albania 	     51.40 	 2007 est.
39 	 Malawi 	     50.60 	 2007 est.
40 	 Pakistan 	     50.60 	 2007 est.
41 	 Kenya 	     48.70 	 2007 est.
42 	 Croatia 	     47.80 	 2007 est.
43 	 Costa Rica 	     46.60 	 2007 est.
44 	 Aruba 	     46.30 	 2005
45 	 Bolivia 	     46.30 	 2007 est.
46 	 Netherlands 	     45.50 	 2007 est.
47 	 Brazil 	     45.10 	 2007 est.
48 	 Ethiopia 	     44.50 	 2007 est.
49 	 Switzerland 	     44.20 	 2007 est.
50 	 United Kingdom 	     43.60 	 2007 est.
51 	 Poland 	     43.10 	 2007 est.
52 	 Vietnam 	     42.00 	 2007 est.
53 	 Sweden 	     41.70 	 2007 est.
54 	 Malaysia 	     41.60 	 2007 est.
55 	 Dominican Republic 	     41.00 	 2007 est.
56 	 Papua New Guinea 	     40.10 	 2007 est.
57 	 Turkey 	     38.90 	 2007 est.
58 	 Montenegro 	     38.00 	 2006
59 	 Thailand 	     37.90 	 2007 est.
60 	 Syria 	     37.70 	 2007 est.
61 	 Bangladesh 	     37.40 	 2007 est.
62 	 El Salvador 	     37.30 	 2007 est.
63 	 Serbia 	     37.00 	 2007 est.
64 	 Cuba 	     36.80 	 2007 est.
65 	 Spain 	     36.20 	 2007 est.
66 	 Finland 	     35.90 	 2007 est.
67 	 Slovakia 	     35.90 	 2007 est.
68 	 Bosnia and Herzegovina 	     34.00 	 2007 est.
69 	 Indonesia 	     34.00 	 2007 est.
70 	 Yemen 	     33.50 	 2007 est.
71 	 Ecuador 	     33.10 	 2007 est.
72 	 South Africa 	     31.30 	 2007 est.
73 	 Bahrain 	     31.20 	 2007 est.
74 	 Macedonia 	     30.80 	 2007 est.
75 	 Peru 	     29.20 	 2007 est.
