Country Name	Country Code	Series Name	Series Code	2015 [YR2015]	2014 [YR2014]	2013 [YR2013]	2012 [YR2012]	2011 [YR2011]	2010 [YR2010]	2009 [YR2009]	2008 [YR2008]	2007 [YR2007]	2006 [YR2006]	2004 [YR2004]	2005 [YR2005]	2000 [YR2000]	2001 [YR2001]	1999 [YR1999]	1998 [YR1998]	1997 [YR1997]	1996 [YR1996]	1995 [YR1995]	1994 [YR1994]	1993 [YR1993]	1991 [YR1991]	1992 [YR1992]	1990 [YR1990]
Dominican Republic	DOM	GINI index (World Bank estimate)	SI.POV.GINI	..	..	47.07	45.68	47.4	47.2	48.86	49	48.69	51.9	51.95	49.96	52.01	50.43	..	..	48.92	47.43	..	..	..	..	51.36	..
Afghanistan	AFG	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Albania	ALB	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	28.96	..	..	..	29.98	..	..	..	30.6	..	..	..	..	..	27.01	..	..	..	..	..	..
Algeria	DZA	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	35.33	..	..	..	..	..
American Samoa	ASM	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	ADO	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Angola	AGO	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	42.72	..	..	..	..	51.96	..	..	..	..	..	..	..	..	..	..	..
Antigua and Barbuda	ATG	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Arab World	ARB	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Argentina	ARG	GINI index (World Bank estimate)	SI.POV.GINI	..	..	42.28	42.49	43.57	44.5	45.27	46.27	47.37	48.26	50.18	49.27	51.06	53.34	49.79	50.73	49.11	49.52	48.9	45.92	44.86	46.76	45.47	..
Armenia	ARM	GINI index (World Bank estimate)	SI.POV.GINI	..	..	31.54	30.48	31.32	31.07	29.58	30.71	29.83	32.49	37.51	35.99	..	35.37	36.22	..	..	44.42	..	..	..	..	..	..
Aruba	ABW	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Australia	AUS	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	34.94	..	35.63	..	..	..	..	..	34.14	..	..	..	..	33.72	..	..	..	..	..
Austria	AUT	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	30.48	30.8	30.25	31.5	30.45	30.58	29.59	29.87	28.72	..	..	..	..	..	..	..	..	..	..	..	..
Azerbaijan	AZE	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	16.23	16.64	..	36.45	..	..	..	..	34.65	..	..	..	..	..
"Bahamas, The"	BHS	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Bahrain	BHR	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Bangladesh	BGD	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	31.98	..	..	..	..	..	32.73	33.06	..	..	..	..	..	32.94	..	..	27.57	..	..
Barbados	BRB	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Belarus	BLR	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	26.01	26.46	27.72	27.69	27.22	28.78	28.17	26.59	27.78	29.72	30.97	31.31	30.67	..	..	28.76	..	21.6	..	..	..
Belgium	BEL	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	27.59	28.43	28.53	28.7	29	29.57	28.26	30.63	29.88	..	..	..	..	..	..	..	..	..	..	..	..
Belize	BLZ	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	53.26	54.91	60.43	56.59	57.55	60.91	60.25	..	..	..
