Country Name	Country Code	Series Name	Series Code	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
Afghanistan	AFG	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Albania	ALB	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	65.5	..	74	77.3000030517578	72.5999984741211	..	..
Algeria	DZA	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	71.4000015258789	..	..	..	..
American Samoa	ASM	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	ADO	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Angola	AGO	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Antigua and Barbuda	ATG	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Arab World	ARB	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Argentina	ARG	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	33.4000015258789	32.2999992370605	..	..	27.7999992370605	25.5	27.5	26.2000007629395	27.7999992370605	26.6000003814697	..	..
Armenia	ARM	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	41.9000015258789	51.5	52.7000007629395	52.7000007629395	..	..	..
Aruba	ABW	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	32.7999992370605	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Australia	AUS	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	28.5	31.2000007629395	32.9000015258789	31.2999992370605	28.2999992370605	23.8999996185303	22.3999996185303	21.5	20.6000003814697	18.2000007629395	18.1000003814697	15.3999996185303	14.8999996185303	14.6999998092651	18.6000003814697	18.8999996185303	19	19.1000003814697	21.7999992370605	..
Austria	AUT	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	24.8999996185303	27.5	30.2999992370605	29.2000007629395	25.7999992370605	23.2999992370605	19.2000007629395	24.5	27.8999996185303	25.5	28	27.2000007629395	24.2999992370605	21.7000007629395	25.3999996185303	26.2999992370605	24.8999996185303	24.6000003814697	27.2000007629395	..
Azerbaijan	AZE	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	67.4000015258789	65.8000030517578	67.5999984741211	67.0999984741211	67	..	..
"Bahamas, The"	BHS	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	33	..	..	..	..	..	..
Bahrain	BHR	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	28.7999992370605	..	..	49.7999992370605	..	..	..	..	..	..	..	..	..	..	..
Bangladesh	BGD	Long-term unemployment (% of total unemployment)	SL.UEM.LTRM.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
