This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
1 	 World 	  13,940,000,000,000 	 2001 est.
2 	 United States 	   3,602,000,000,000 	 2001
3 	 European Union 	   2,635,000,000,000 	 2001
4 	 China 	   1,312,000,000,000 	 2001
5 	 Japan 	    964,200,000,000 	 2001
6 	 Russia 	    773,000,000,000 	 2001
7 	 Germany 	    506,800,000,000 	 2001
8 	 Canada 	    504,400,000,000 	 2001
9 	 India 	    497,200,000,000 	 2001
10 	 France 	    415,300,000,000 	 2001
11 	 United Kingdom 	    346,100,000,000 	 2001
12 	 Brazil 	    335,900,000,000 	 2001
13 	 Italy 	    289,100,000,000 	 2001
14 	 Korea, South 	    270,300,000,000 	 2001
15 	 Spain 	    210,400,000,000 	 2001
16 	 Mexico 	    186,700,000,000 	 2001
17 	 Australia 	    184,400,000,000 	 2001
18 	 South Africa 	    181,200,000,000 	 2001
19 	 Ukraine 	    152,400,000,000 	 2001
20 	 Taiwan 	    140,500,000,000 	 2001
21 	 Sweden 	    134,900,000,000 	 2001
22 	 Poland 	    118,800,000,000 	 2001
23 	 Iran 	    115,900,000,000 	 2001
24 	 Norway 	    115,300,000,000 	 2001
25 	 Saudi Arabia 	    113,800,000,000 	 2001
26 	 Turkey 	    112,600,000,000 	 2001
27 	 Netherlands 	     99,420,000,000 	 2001
28 	 Argentina 	     92,120,000,000 	 2001
29 	 Thailand 	     90,910,000,000 	 2001
30 	 Indonesia 	     89,080,000,000 	 2001
31 	 Venezuela 	     81,470,000,000 	 2001
32 	 Belgium 	     78,180,000,000 	 2001
33 	 Finland 	     76,180,000,000 	 2001
34 	 Ecuador 	     69,960,000,000 	 2001
35 	 Egypt 	     69,960,000,000 	 2001
36 	 Malaysia 	     68,400,000,000 	 2002
37 	 Pakistan 	     62,270,000,000 	 2001
38 	 Czech Republic 	     55,600,000,000 	 2001
39 	 Austria 	     54,850,000,000 	 2001
40 	 Switzerland 	     53,430,000,000 	 2001
41 	 Greece 	     48,800,000,000 	 2001
42 	 Kazakhstan 	     48,360,000,000 	 2001
