This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Population 	 Date of Information
1 	 World 	      6,372,797,742 	 July 2005 est.
2 	 China 	      1,306,313,812 	 July 2005 est.
3 	 India 	      1,080,264,388 	 July 2005 est.
4 	 European Union 	       456,285,839 	 July 2005 est.
5 	 United States 	       295,734,134 	 July 2005 est.
6 	 Indonesia 	       241,973,879 	 July 2005 est.
7 	 Brazil 	       186,112,794 	 July 2005 est.
8 	 Pakistan 	       162,419,946 	 July 2005 est.
9 	 Bangladesh 	       144,319,628 	 July 2005 est.
10 	 Russia 	       143,420,309 	 July 2005 est.
11 	 Nigeria 	       128,771,988 	 July 2005 est.
12 	 Japan 	       127,417,244 	 July 2005 est.
13 	 Mexico 	       106,202,903 	 July 2005 est.
14 	 Philippines 	        87,857,473 	 July 2005 est.
15 	 Vietnam 	        83,535,576 	 July 2005 est.
16 	 Germany 	        82,431,390 	 July 2005 est.
17 	 Egypt 	        77,505,756 	 July 2005 est.
18 	 Ethiopia 	        73,053,286 	 July 2005 est.
19 	 Turkey 	        69,660,559 	 July 2005 est.
20 	 Iran 	        68,017,860 	 July 2005 est.
21 	 Thailand 	        65,444,371 	 July 2005 est.
22 	 France 	        60,656,178 	 July 2005 est.
23 	 United Kingdom 	        60,441,457 	 July 2005 est.
24 	 Congo, Democratic Republic of the 	        58,317,930 	 July 2005 est.
25 	 Italy 	        58,103,033 	 July 2005 est.
26 	 Korea, South 	        48,422,644 	 July 2005 est.
27 	 Ukraine 	        47,425,336 	 July 2005 est.
28 	 South Africa 	        44,344,136 	 July 2005 est.
29 	 Colombia 	        42,954,279 	 July 2005 est.
30 	 Burma 	        42,909,464 	 July 2005 est.
31 	 Spain 	        40,341,462 	 July 2005 est.
32 	 Sudan 	        40,187,486 	 July 2005 est.
33 	 Argentina 	        39,537,943 	 July 2005 est.
34 	 Poland 	        38,635,144 	 July 2005 est.
35 	 Tanzania 	        36,766,356 	 July 2005 est.
