This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Reserves of foreign exchange & gold 	 Date of Information
1 	 Japan 	 $     664,600,000,000 	 2003
2 	 China 	 $     412,700,000,000 	 2003
3 	 Taiwan 	 $     207,100,000,000 	 2003
4 	 Korea, South 	 $     155,400,000,000 	 2003
5 	 Hong Kong 	 $     118,400,000,000 	 2003
6 	 India 	 $     102,300,000,000 	 2003
7 	 Germany 	 $      96,840,000,000 	 2003
8 	 Singapore 	 $      95,750,000,000 	 2003
9 	 United States 	 $      85,940,000,000 	 2003
10 	 Russia 	 $      76,940,000,000 	 2003
11 	 France 	 $      70,760,000,000 	 2003
12 	 Switzerland 	 $      69,580,000,000 	 2003
13 	 Italy 	 $      63,260,000,000 	 2003
14 	 Mexico 	 $      59,020,000,000 	 2003
15 	 Brazil 	 $      49,300,000,000 	 2003
16 	 United Kingdom 	 $      46,050,000,000 	 2003
17 	 Malaysia 	 $      44,580,000,000 	 2003
18 	 Thailand 	 $      42,150,000,000 	 2003
19 	 Denmark 	 $      37,980,000,000 	 2003
20 	 Canada 	 $      36,270,000,000 	 2003
21 	 Indonesia 	 $      36,250,000,000 	 2003
22 	 Turkey 	 $      35,550,000,000 	 2003
23 	 Poland 	 $      33,960,000,000 	 2003
24 	 Algeria 	 $      33,420,000,000 	 2003
25 	 Australia 	 $      33,260,000,000 	 2003
26 	 Spain 	 $      26,810,000,000 	 2003
27 	 Czech Republic 	 $      26,800,000,000 	 2003
28 	 Israel 	 $      26,320,000,000 	 2003
29 	 Iran 	 $      25,130,000,000 	 2003
30 	 Saudi Arabia 	 $      22,860,000,000 	 2003
31 	 Netherlands 	 $      21,440,000,000 	 2003
32 	 Venezuela 	 $      20,670,000,000 	 2003
33 	 Sweden 	 $      19,990,000,000 	 2003
34 	 Libya 	 $      19,780,000,000 	 2003
35 	 Philippines 	 $      16,870,000,000 	 2003
36 	 Lebanon 	 $      16,350,000,000 	 2003
37 	 Chile 	 $      15,840,000,000 	 2003
38 	 United Arab Emirates 	 $      15,790,000,000 	 2003
39 	 Belgium 	 $      14,450,000,000 	 2003
40 	 Egypt 	 $      14,220,000,000 	 2003
41 	 Argentina 	 $      14,160,000,000 	 2003
42 	 Morocco 	 $      14,080,000,000 	 2003
43 	 Portugal 	 $      12,810,000,000 	 2003
44 	 Hungary 	 $      12,780,000,000 	 2003
45 	 Austria 	 $      12,730,000,000 	 2003
46 	 Slovakia 	 $      11,740,000,000 	 2003
47 	 Pakistan 	 $      11,670,000,000 	 2003
48 	 Finland 	 $      11,170,000,000 	 2003
49 	 Colombia 	 $      10,920,000,000 	 2003
50 	 Romania 	 $      10,370,000,000 	 2003
51 	 Peru 	 $      10,240,000,000 	 2003
52 	 Slovenia 	 $       8,598,000,000 	 2003
53 	 Croatia 	 $       8,191,000,000 	 2003
54 	 South Africa 	 $       7,972,000,000 	 2003
55 	 Kuwait 	 $       7,685,000,000 	 2003
56 	 Nigeria 	 $       7,128,000,000 	 2003
57 	 Ukraine 	 $       6,937,000,000 	 2003
58 	 Bulgaria 	 $       6,705,000,000 	 2003
59 	 Vietnam 	 $       6,357,000,000 	 2003
60 	 Greece 	 $       5,802,000,000 	 2003
61 	 Jordan 	 $       5,364,000,000 	 2003
62 	 Botswana 	 $       5,250,000,000 	 2003
63 	 New Zealand 	 $       5,083,000,000 	 2003
64 	 Yemen 	 $       5,009,000,000 	 2003
65 	 Kazakhstan 	 $       4,962,000,000 	 2003
66 	 Ireland 	 $       4,152,000,000 	 2003
67 	 Serbia and Montenegro 	 $       3,700,000,000 	 2003
68 	 Oman 	 $       3,594,000,000 	 2003
