This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP (purchasing power parity) 	 Date of Information
1 	 World 	 $   59,380,000,000,000 	 2005 est.
2 	 United States 	 $   12,370,000,000,000 	 2005 est.
3 	 European Union 	 $   12,180,000,000,000 	 2005 est.
4 	 China 	 $    8,158,000,000,000 	 2005 est.
5 	 Japan 	 $    3,867,000,000,000 	 2005 est.
6 	 India 	 $    3,678,000,000,000 	 2005 est.
7 	 Germany 	 $    2,446,000,000,000 	 2005 est.
8 	 United Kingdom 	 $    1,867,000,000,000 	 2005 est.
9 	 France 	 $    1,816,000,000,000 	 2005 est.
10 	 Italy 	 $    1,645,000,000,000 	 2005 est.
11 	 Brazil 	 $    1,580,000,000,000 	 2005 est.
12 	 Russia 	 $    1,535,000,000,000 	 2005 est.
13 	 Canada 	 $    1,077,000,000,000 	 2005 est.
14 	 Mexico 	 $    1,066,000,000,000 	 2005 est.
15 	 Spain 	 $    1,014,000,000,000 	 2005 est.
16 	 Korea, South 	 $     983,300,000,000 	 2005 est.
17 	 Indonesia 	 $     899,000,000,000 	 2005 est.
18 	 Australia 	 $     642,700,000,000 	 2005 est.
19 	 Taiwan 	 $     610,800,000,000 	 2005 est.
20 	 Iran 	 $     551,600,000,000 	 2005 est.
21 	 Turkey 	 $     551,600,000,000 	 2005 est.
22 	 Thailand 	 $     545,800,000,000 	 2005 est.
23 	 Argentina 	 $     537,200,000,000 	 2005 est.
24 	 South Africa 	 $     527,400,000,000 	 2005 est.
25 	 Netherlands 	 $     500,000,000,000 	 2005 est.
26 	 Poland 	 $     489,300,000,000 	 2005 est.
27 	 Philippines 	 $     451,300,000,000 	 2005 est.
28 	 Pakistan 	 $     385,200,000,000 	 2005 est.
29 	 Saudi Arabia 	 $     340,500,000,000 	 2005 est.
30 	 Egypt 	 $     337,900,000,000 	 2005 est.
31 	 Belgium 	 $     329,300,000,000 	 2005 est.
32 	 Ukraine 	 $     321,200,000,000 	 2005 est.
33 	 Colombia 	 $     303,100,000,000 	 2005 est.
34 	 Bangladesh 	 $     299,900,000,000 	 2005 est.
35 	 Austria 	 $     269,400,000,000 	 2005 est.
