This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
1 	 World 	  14,280,000,000,000 	 2003 est.
2 	 United States 	   3,656,000,000,000 	 2003
3 	 European Union 	   2,711,000,000,000 	 2002 est.
4 	 China 	   2,170,000,000,000 	 2004
5 	 Japan 	    946,300,000,000 	 2003
6 	 Russia 	    811,500,000,000 	 2004
7 	 Canada 	    520,900,000,000 	 2003
8 	 India 	    519,000,000,000 	 2003
9 	 Germany 	    510,400,000,000 	 2003
10 	 France 	    433,300,000,000 	 2003
11 	 Brazil 	    371,400,000,000 	 2003
12 	 United Kingdom 	    346,100,000,000 	 2003
13 	 Korea, South 	    303,300,000,000 	 2003
14 	 Italy 	    302,200,000,000 	 2003
15 	 Spain 	    231,200,000,000 	 2003
16 	 Taiwan 	    206,100,000,000 	 2004
17 	 Australia 	    200,700,000,000 	 2003
18 	 South Africa 	    197,400,000,000 	 2003
19 	 Mexico 	    193,900,000,000 	 2003
20 	 Ukraine 	    153,100,000,000 	 2003
21 	 Turkey 	    140,300,000,000 	 2005
22 	 Saudi Arabia 	    134,900,000,000 	 2003
23 	 Iran 	    132,100,000,000 	 2003
24 	 Sweden 	    131,800,000,000 	 2003
25 	 Poland 	    121,300,000,000 	 2004
26 	 Thailand 	    107,300,000,000 	 2003
27 	 Norway 	    106,100,000,000 	 2003
28 	 Indonesia 	    101,800,000,000 	 2003
29 	 Netherlands 	    101,600,000,000 	 2003
30 	 Argentina 	     83,310,000,000 	 2003
31 	 Venezuela 	     81,320,000,000 	 2003
32 	 Belgium 	     79,660,000,000 	 2003
33 	 Finland 	     78,940,000,000 	 2003
34 	 Egypt 	     78,160,000,000 	 2003
35 	 Malaysia 	     73,630,000,000 	 2003
36 	 Pakistan 	     71,540,000,000 	 2003
37 	 Austria 	     57,450,000,000 	 2003
38 	 Czech Republic 	     56,500,000,000 	 2003
39 	 Switzerland 	     55,860,000,000 	 2003
40 	 Greece 	     53,500,000,000 	 2005 est.
41 	 Kazakhstan 	     52,550,000,000 	 2003
42 	 Uzbekistan 	     48,450,000,000 	 2003
43 	 Romania 	     45,160,000,000 	 2003
44 	 Philippines 	     44,480,000,000 	 2003
45 	 Chile 	     44,130,000,000 	 2003
46 	 Portugal 	     44,010,000,000 	 2003
47 	 Colombia 	     42,850,000,000 	 2003
48 	 Israel 	     39,670,000,000 	 2003
49 	 Hong Kong 	     38,430,000,000 	 2003
50 	 United Arab Emirates 	     38,320,000,000 	 2002
51 	 New Zealand 	     37,030,000,000 	 2003
52 	 Hungary 	     36,960,000,000 	 2003
53 	 Vietnam 	     36,920,000,000 	 2003
54 	 Serbia and Montenegro 	     36,620,000,000 	 2003
55 	 Kuwait 	     35,520,000,000 	 2003
56 	 Belarus 	     34,300,000,000 	 2004
57 	 Iraq 	     33,300,000,000 	 2005
58 	 Bulgaria 	     31,750,000,000 	 2003
59 	 Denmark 	     31,680,000,000 	 2003
60 	 Singapore 	     30,890,000,000 	 2003
61 	 Syria 	     25,280,000,000 	 2003
62 	 Slovakia 	     25,230,000,000 	 2003
63 	 Algeria 	     24,900,000,000 	 2003
64 	 Ireland 	     22,970,000,000 	 2003
65 	 Puerto Rico 	     21,420,000,000 	 2003
66 	 Peru 	     21,090,000,000 	 2003
67 	 Azerbaijan 	     20,250,000,000 	 2003
68 	 Morocco 	     17,580,000,000 	 2003
69 	 Korea, North 	     17,430,000,000 	 2003
70 	 Bangladesh 	     16,200,000,000 	 2003
71 	 Croatia 	     15,810,000,000 	 2003
72 	 Tajikistan 	     15,050,000,000 	 2003
73 	 Cuba 	     14,620,000,000 	 2003
74 	 Nigeria 	     14,460,000,000 	 2003
75 	 Libya 	     13,390,000,000 	 2003
76 	 Slovenia 	     12,470,000,000 	 2003
77 	 Dominican Republic 	     11,710,000,000 	 2003
78 	 Zimbabwe 	     11,220,000,000 	 2003
79 	 Tunisia 	     10,760,000,000 	 2003
80 	 Lebanon 	     10,670,000,000 	 2003
81 	 Ecuador 	     10,550,000,000 	 2003
82 	 Mozambique 	     10,460,000,000 	 2003
83 	 Oman 	      9,582,000,000 	 2003
84 	 Lithuania 	      9,109,000,000 	 2003
85 	 Qatar 	      9,053,000,000 	 2003
86 	 Bosnia and Herzegovina 	      8,849,000,000 	 2003
87 	 Turkmenistan 	      8,847,000,000 	 2002
88 	 Kyrgyzstan 	      8,783,000,000 	 2003
89 	 Georgia 	      8,630,000,000 	 2003
90 	 Jordan 	      7,959,000,000 	 2003
91 	 Iceland 	      7,769,000,000 	 2003
92 	 Uruguay 	      7,762,000,000 	 2003
93 	 Costa Rica 	      7,120,000,000 	 2003
94 	 Estonia 	      7,024,000,000 	 2003
95 	 Burma 	      6,875,000,000 	 2003
96 	 Bahrain 	      6,830,000,000 	 2003
97 	 Sri Lanka 	      6,796,000,000 	 2003
98 	 Albania 	      6,760,000,000 	 2004
99 	 Jamaica 	      6,124,000,000 	 2003
100 	 Luxembourg 	      6,112,000,000 	 2003
101 	 Guatemala 	      6,025,000,000 	 2003
102 	 Latvia 	      5,839,000,000 	 2003
103 	 Trinidad and Tobago 	      5,651,000,000 	 2003
104 	 Zambia 	      5,345,000,000 	 2003
105 	 Macedonia 	      5,289,000,000 	 2003
106 	 Ghana 	      5,081,000,000 	 2003
107 	 Panama 	      4,870,000,000 	 2003
108 	 El Salvador 	      4,450,000,000 	 2004
109 	 Armenia 	      4,420,000,000 	 2003
110 	 Honduras 	      4,369,000,000 	 2003
111 	 Congo, Democratic Republic of the 	      4,324,000,000 	 2003
112 	 Kenya 	      4,238,000,000 	 2003
113 	 Bolivia 	      3,963,000,000 	 2003
114 	 Cyprus 	      3,535,000,000 	 2003
115 	 Paraguay 	      3,528,000,000 	 2003
116 	 Cote d'Ivoire 	      3,418,000,000 	 2003
117 	 Laos 	      3,298,000,000 	 2003
118 	 Moldova 	      3,036,000,000 	 2003
119 	 Tanzania 	      2,959,000,000 	 2003
120 	 Sudan 	      2,943,000,000 	 2003
121 	 Mongolia 	      2,908,000,000 	 2004 est.
122 	 Yemen 	      2,827,000,000 	 2003 est.
123 	 Cameroon 	      2,779,000,000 	 2003
124 	 Botswana 	      2,641,000,000 	 2004
125 	 Brunei 	      2,473,000,000 	 2003
126 	 Namibia 	      2,372,000,000 	 2003
127 	 Nicaragua 	      2,343,000,000 	 2003
128 	 Nepal 	      2,299,000,000 	 2003
129 	 Malta 	      1,936,000,000 	 2003
