This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures - dollar figure 	 Date of Information
1 	 United States 	 $     370,700,000,000 	 March 2003
2 	 China 	 $      67,490,000,000 	 2004
3 	 Japan 	 $      45,841,000,000 	 2004
4 	 France 	 $      45,000,000,000 	 2005
5 	 United Kingdom 	 $      42,836,500,000 	 2003
6 	 Germany 	 $      35,063,000,000 	 2003
7 	 Italy 	 $      28,182,800,000 	 2003
8 	 Korea, South 	 $      20,000,000,000 	 2005
9 	 India 	 $      18,860,000,000 	 2005
10 	 Saudi Arabia 	 $      18,000,000,000 	 2002
11 	 Australia 	 $      16,650,000,000 	 2004
12 	 Turkey 	 $      12,155,000,000 	 2003
13 	 Brazil 	 $      11,000,000,000 	 2004
14 	 Spain 	 $       9,906,500,000 	 2003
15 	 Canada 	 $       9,801,700,000 	 2003
16 	 Netherlands 	 $       9,408,000,000 	 2004
17 	 Israel 	 $       9,110,000,000 	 FY03
18 	 Taiwan 	 $       7,574,000,000 	 2003
19 	 Mexico 	 $       6,043,000,000 	 2004
20 	 Greece 	 $       5,890,000,000 	 2004
21 	 Sweden 	 $       5,729,000,000 	 2004
22 	 Korea, North 	 $       5,217,400,000 	 FY02
23 	 Singapore 	 $       4,470,000,000 	 
24 	 Argentina 	 $       4,300,000,000 	 
25 	 Iran 	 $       4,300,000,000 	 2003 est.
26 	 Norway 	 $       4,033,500,000 	 2003
27 	 Belgium 	 $       3,999,000,000 	 2003
28 	 Pakistan 	 $       3,848,000,000 	 2004
29 	 Poland 	 $       3,500,000,000 	 2002
30 	 Portugal 	 $       3,497,800,000 	 2003
31 	 Chile 	 $       3,420,000,000 	 2004
32 	 Colombia 	 $       3,300,000,000 	 
33 	 Denmark 	 $       3,271,600,000 	 2003
34 	 South Africa 	 $       3,172,000,000 	 2004
35 	 Kuwait 	 $       2,584,500,000 	 2004
36 	 Switzerland 	 $       2,548,000,000 	 FY01
37 	 Algeria 	 $       2,480,000,000 	 2004
38 	 Egypt 	 $       2,440,000,000 	 2003
39 	 Morocco 	 $       2,305,600,000 	 2003
40 	 Czech Republic 	 $       2,170,000,000 	 2004
41 	 Finland 	 $       1,800,000,000 	 FY98/99
42 	 Thailand 	 $       1,775,000,000 	 
43 	 Malaysia 	 $       1,690,000,000 	 
44 	 Venezuela 	 $       1,687,000,000 	 2004
45 	 United Arab Emirates 	 $       1,600,000,000 	 
46 	 Austria 	 $       1,497,000,000 	 FY01/02
47 	 Jordan 	 $       1,460,000,000 	 2004
48 	 Indonesia 	 $       1,300,000,000 	 2004
49 	 Iraq 	 $       1,300,000,000 	 FY00
50 	 Libya 	 $       1,300,000,000 	 
51 	 New Zealand 	 $       1,147,000,000 	 FY03/04
52 	 Hungary 	 $       1,080,000,000 	 2002 est.
53 	 Bangladesh 	 $        995,300,000 	 2004
54 	 Romania 	 $        985,000,000 	 2002
55 	 Yemen 	 $        885,500,000 	 2003
56 	 Syria 	 $        858,000,000 	 
57 	 Peru 	 $        829,300,000 	 2003
58 	 Philippines 	 $        805,500,000 	 2004
59 	 Qatar 	 $        723,000,000 	 
60 	 Ireland 	 $        700,000,000 	 FY00/01
61 	 Ecuador 	 $        655,000,000 	 2004
62 	 Serbia and Montenegro 	 $        654,000,000 	 2002
63 	 Vietnam 	 $        650,000,000 	 
64 	 Bahrain 	 $        628,900,000 	 2004
65 	 Croatia 	 $        620,000,000 	 2004
