This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
1 	 China 	       791,400,000 	 2005 est.
2 	 India 	       496,400,000 	 2005 est.
3 	 European Union 	       218,500,000 	 2005 est.
4 	 United States 	       149,300,000 	 2005
5 	 Indonesia 	       110,400,000 	 2005 est.
6 	 Brazil 	        90,410,000 	 2005 est.
7 	 Russia 	        74,220,000 	 2005 est.
8 	 Bangladesh 	        66,600,000 	 2005 est.
9 	 Japan 	        66,400,000 	 2005 est.
10 	 Nigeria 	        57,210,000 	 2005 est.
11 	 Pakistan 	        46,840,000 	 2005 est.
12 	 Vietnam 	        44,030,000 	 2005 est.
13 	 Germany 	        43,320,000 	 2005 est.
14 	 Mexico 	        37,380,000 	 2005 est.
15 	 Philippines 	        36,730,000 	 2005 est.
16 	 Thailand 	        35,360,000 	 2005 est.
17 	 United Kingdom 	        30,070,000 	 2005 est.
18 	 Burma 	        27,750,000 	 2005 est.
19 	 France 	        27,720,000 	 2005 est.
20 	 Turkey 	        24,700,000 	 2005 est.
21 	 Italy 	        24,490,000 	 2005 est.
22 	 Iran 	        23,680,000 	 2005 est.
23 	 Korea, South 	        23,650,000 	 2005 est.
24 	 Egypt 	        21,340,000 	 2005 est.
25 	 Spain 	        20,670,000 	 2005 est.
26 	 Colombia 	        20,520,000 	 2005 est.
27 	 Ukraine 	        20,460,000 	 2005 est.
28 	 Tanzania 	        19,220,000 	 2005 est.
29 	 Canada 	        17,350,000 	 2005 est.
30 	 Poland 	        17,100,000 	 2005 est.
31 	 Argentina 	        15,340,000 	 2005 est.
32 	 South Africa 	        15,230,000 	 2005 est.
33 	 Afghanistan 	        15,000,000 	 2004 est.
34 	 Congo, Democratic Republic of the 	        14,510,000 	 1993 est.
35 	 Uzbekistan 	        14,260,000 	 2005 est.
36 	 Uganda 	        13,170,000 	 2005 est.
37 	 Venezuela 	        12,310,000 	 2005 est.
38 	 Kenya 	        11,850,000 	 2005 est.
39 	 Morocco 	        11,190,000 	 2005 est.
40 	 Sudan 	        11,000,000 	 1996 est.
41 	 Malaysia 	        10,670,000 	 2005 est.
42 	 Ghana 	        10,620,000 	 2005 est.
43 	 Australia 	        10,420,000 	 2005 est.
44 	 Taiwan 	        10,310,000 	 2005 est.
45 	 Algeria 	        10,150,000 	 2005 est.
46 	 Nepal 	        10,000,000 	 1996 est.
47 	 Korea, North 	         9,600,000 	 
48 	 Romania 	         9,310,000 	 2005 est.
49 	 Mozambique 	         9,200,000 	 2000 est.
50 	 Peru 	         9,060,000 	 2005 est.
51 	 Sri Lanka 	         8,080,000 	 2005 est.
52 	 Kazakhstan 	         7,850,000 	 2005 est.
53 	 Netherlands 	         7,530,000 	 2005 est.
54 	 Iraq 	         7,400,000 	 2004 est.
55 	 Madagascar 	         7,300,000 	 2000
56 	 Cambodia 	         7,000,000 	 2003 est.
57 	 Cote d'Ivoire 	         6,950,000 	 2005 est.
58 	 Cameroon 	         6,860,000 	 2005 est.
59 	 Saudi Arabia 	         6,760,000 	 2005 est.
60 	 Chile 	         6,300,000 	 2005 est.
61 	 Yemen 	         5,830,000 	 2005 est.
62 	 Angola 	         5,580,000 	 2005 est.
63 	 Portugal 	         5,520,000 	 2005 est.
64 	 Azerbaijan 	         5,450,000 	 2005 est.
65 	 Czech Republic 	         5,270,000 	 2005 est.
66 	 Syria 	         5,120,000 	 2004 est.
67 	 Burkina Faso 	         5,000,000 	 2003
68 	 Senegal 	         4,820,000 	 2005 est.
69 	 Zambia 	         4,800,000 	 2005 est.
70 	 Belgium 	         4,770,000 	 2005 est.
71 	 Greece 	         4,720,000 	 2005 est.
72 	 Cuba 	         4,600,000 	 2005 est.
73 	 Rwanda 	         4,600,000 	 2000
74 	 Ecuador 	         4,600,000 	 2005 est.
75 	 Malawi 	         4,500,000 	 2001 est.
76 	 Sweden 	         4,490,000 	 2005 est.
77 	 Belarus 	         4,305,000 	 31 December 2003
78 	 Bolivia 	         4,220,000 	 2005 est.
79 	 Hungary 	         4,180,000 	 2005 est.
80 	 Zimbabwe 	         3,940,000 	 2005 est.
81 	 Mali 	         3,930,000 	 2001 est.
82 	 Switzerland 	         3,800,000 	 2005 est.
83 	 Guatemala 	         3,760,000 	 2005 est.
84 	 Somalia 	         3,700,000 	 
85 	 Tajikistan 	         3,700,000 	 2003
86 	 Haiti 	         3,600,000 	 1995
87 	 Hong Kong 	         3,580,000 	 October 2005
88 	 Austria 	         3,490,000 	 2005 est.
89 	 Tunisia 	         3,410,000 	 2005 est.
90 	 Papua New Guinea 	         3,400,000 	 2005 est.
91 	 Bulgaria 	         3,340,000 	 2005 est.
92 	 Serbia and Montenegro 	         3,220,000 	 2005 est.
93 	 Guinea 	         3,000,000 	 1999
94 	 Burundi 	         2,990,000 	 2002
95 	 Denmark 	         2,900,000 	 2005 est.
96 	 El Salvador 	         2,810,000 	 2005 est.
97 	 United Arab Emirates 	         2,800,000 	 2005 est.
98 	 Laos 	         2,800,000 	 2002 est.
99 	 Kyrgyzstan 	         2,700,000 	 2000
100 	 Paraguay 	         2,680,000 	 2005 est.
101 	 Slovakia 	         2,620,000 	 2005 est.
102 	 Finland 	         2,610,000 	 2005 est.
103 	 Lebanon 	         2,600,000 	 2001 est.
104 	 Honduras 	         2,540,000 	 2005 est.
105 	 Israel 	         2,420,000 	 2005 est.
106 	 Norway 	         2,400,000 	 2005 est.
107 	 Turkmenistan 	         2,320,000 	 2003 est.
108 	 Singapore 	         2,190,000 	 2005 est.
109 	 Nicaragua 	         2,170,000 	 2005 est.
110 	 New Zealand 	         2,130,000 	 2005 est.
111 	 Georgia 	         2,100,000 	 2001 est.
112 	 Ireland 	         2,030,000 	 2005 est.
113 	 Costa Rica 	         1,820,000 	 2005 est.
114 	 Togo 	         1,740,000 	 1996
115 	 Croatia 	         1,710,000 	 2005 est.
116 	 Kuwait 	         1,670,000 	 2005 est.
117 	 Libya 	         1,640,000 	 2005 est.
118 	 Lithuania 	         1,610,000 	 2005 est.
