This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Merchant marine 	 Date of Information
1 	 World 	           30,936 	 2005
2 	 Panama 	            5,005 	 2005
3 	 China 	            1,649 	 2005
4 	 Liberia 	            1,465 	 2005
5 	 Russia 	            1,194 	 2005
6 	 Malta 	            1,140 	 2005
7 	 Bahamas, The 	            1,119 	 2005
8 	 Antigua and Barbuda 	             980 	 2005
9 	 Cyprus 	             972 	 2005
10 	 Singapore 	             923 	 2005
11 	 Greece 	             861 	 2005
12 	 Hong Kong 	             837 	 2005
13 	 Norway 	             740 	 2005
14 	 Indonesia 	             728 	 2005
15 	 Japan 	             702 	 2005
16 	 Saint Vincent and the Grenadines 	             657 	 2005
17 	 Korea, South 	             601 	 2005
18 	 Italy 	             565 	 2005
19 	 Netherlands 	             558 	 2005
20 	 Marshall Islands 	             540 	 2005
21 	 Turkey 	             526 	 2005
22 	 United States 	             486 	 2005
23 	 Cambodia 	             479 	 2005
24 	 United Kingdom 	             429 	 2005
25 	 Philippines 	             419 	 2005
26 	 Thailand 	             386 	 2005
27 	 Malaysia 	             346 	 2005
28 	 Germany 	             332 	 2005
29 	 India 	             299 	 2005
30 	 Belize 	             295 	 2005
31 	 Denmark 	             287 	 2005
32 	 Isle of Man 	             267 	 2005
33 	 Korea, North 	             238 	 2005
34 	 Sweden 	             205 	 2005
35 	 Ukraine 	             201 	 2005
36 	 Vietnam 	             194 	 2005
37 	 Spain 	             182 	 2005
38 	 Georgia 	             175 	 2005
39 	 Canada 	             169 	 2005
40 	 Netherlands Antilles 	             168 	 2005
41 	 Gibraltar 	             161 	 2005
42 	 Brazil 	             150 	 2005
43 	 Iran 	             144 	 2005
44 	 Honduras 	             137 	 2005
45 	 Cayman Islands 	             129 	 2005
46 	 Taiwan 	             126 	 2005
47 	 Syria 	             120 	 2005
48 	 Portugal 	             114 	 2005
49 	 Bermuda 	             108 	 2005
50 	 Finland 	              94 	 2005
51 	 Azerbaijan 	              81 	 2005
52 	 Comoros 	              79 	 2005
53 	 Egypt 	              77 	 2005
54 	 French Southern and Antarctic Lands 	              75 	 2005
55 	 Croatia 	              73 	 2005
56 	 Mongolia 	              65 	 2005
57 	 Bulgaria 	              64 	 2005
58 	 Saudi Arabia 	              64 	 2005
59 	 Barbados 	              58 	 2005
60 	 Mexico 	              57 	 2005
61 	 United Arab Emirates 	              56 	 2005
62 	 Algeria 	              56 	 2005
63 	 Venezuela 	              56 	 2005
64 	 France 	              56 	 2005
65 	 Australia 	              55 	 2005
66 	 Lithuania 	              54 	 2005
67 	 Monaco 	              54 	 2005
68 	 Belgium 	              53 	 2005
69 	 Vanuatu 	              52 	 2005
70 	 Chile 	              47 	 2005
71 	 Nigeria 	              46 	 2005
72 	 Lebanon 	              44 	 2005
73 	 Estonia 	              43 	 2005
74 	 Bangladesh 	              41 	 2005
75 	 Morocco 	              41 	 2005
76 	 Luxembourg 	              40 	 2005
77 	 Ireland 	              39 	 2005
78 	 Kuwait 	              39 	 2005
79 	 Burma 	              37 	 2005
80 	 Romania 	              34 	 2005
81 	 Bolivia 	              32 	 2005
82 	 Dominica 	              32 	 2005
83 	 Ecuador 	              31 	 2005
84 	 Tonga 	              29 	 2005
85 	 Argentina 	              26 	 2005
86 	 Albania 	              25 	 2005
87 	 Slovakia 	              24 	 2005
88 	 Sri Lanka 	              23 	 2005
89 	 Switzerland 	              23 	 2005
90 	 Tuvalu 	              23 	 2005
