This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Railways(km) 	 Date of Information
1 	 World 	         1,115,205 	 2003
2 	 United States 	          227,736 	 2003
3 	 European Union 	          222,293 	 2003
4 	 Russia 	           87,157 	 2004
5 	 China 	           71,898 	 2002
6 	 India 	           63,230 	 2004
7 	 Australia 	           54,439 	 2004
8 	 Canada 	           48,683 	 2004
9 	 Germany 	           46,142 	 2004
10 	 Argentina 	           34,091 	 2004
11 	 France 	           29,519 	 2004
12 	 Brazil 	           29,412 	 2004
13 	 Poland 	           23,852 	 2004
14 	 Japan 	           23,577 	 2004
15 	 Ukraine 	           22,473 	 2004
16 	 South Africa 	           20,872 	 2004
17 	 Italy 	           19,319 	 2004
18 	 Mexico 	           17,634 	 2004
19 	 United Kingdom 	           17,274 	 2004
20 	 Spain 	           14,781 	 2004
21 	 Kazakhstan 	           13,700 	 2004
22 	 Sweden 	           11,481 	 2004
23 	 Romania 	           11,385 	 2004
24 	 Czech Republic 	            9,543 	 2004
25 	 Turkey 	            8,697 	 2004
26 	 Pakistan 	            8,163 	 2004
27 	 Hungary 	            7,937 	 2004
28 	 Iran 	            7,203 	 2004
29 	 Chile 	            6,585 	 2004
30 	 Indonesia 	            6,458 	 2004
31 	 Austria 	            6,021 	 2004
32 	 Sudan 	            5,995 	 2004
33 	 Finland 	            5,851 	 2004
34 	 Belarus 	            5,512 	 2004
35 	 Korea, North 	            5,214 	 2004
36 	 Congo, Democratic Republic of the 	            5,138 	 2004
37 	 Egypt 	            5,063 	 2004
38 	 Switzerland 	            4,527 	 2004
39 	 Serbia and Montenegro 	            4,380 	 2004
40 	 Bulgaria 	            4,294 	 2004
41 	 Cuba 	            4,226 	 2004
42 	 Norway 	            4,077 	 2004
43 	 Thailand 	            4,071 	 2004
44 	 Algeria 	            3,973 	 2004
45 	 Burma 	            3,955 	 2004
46 	 Uzbekistan 	            3,950 	 2004
47 	 New Zealand 	            3,898 	 2004
48 	 Tanzania 	            3,690 	 2004
49 	 Slovakia 	            3,662 	 2004
50 	 Nigeria 	            3,557 	 2004
51 	 Belgium 	            3,521 	 2004
52 	 Bolivia 	            3,519 	 2004
