This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 HIV/AIDS - people living with HIV/AIDS 	 Date of Information
1 	 South Africa 	         5,300,000 	 2003 est.
2 	 India 	         5,100,000 	 2001 est.
3 	 Nigeria 	         3,600,000 	 2003 est.
4 	 Zimbabwe 	         1,800,000 	 2001 est.
5 	 Tanzania 	         1,600,000 	 2003 est.
6 	 Ethiopia 	         1,500,000 	 2003 est.
7 	 Mozambique 	         1,300,000 	 2003 est.
8 	 Kenya 	         1,200,000 	 2003 est.
9 	 Congo, Democratic Republic of the 	         1,100,000 	 2003 est.
10 	 United States 	          950,000 	 2003 est.
11 	 Zambia 	          920,000 	 2003 est.
12 	 Malawi 	          900,000 	 2003 est.
13 	 Russia 	          860,000 	 2001 est.
14 	 China 	          840,000 	 2003 est.
15 	 Brazil 	          660,000 	 2003 est.
16 	 Cote d'Ivoire 	          570,000 	 2003 est.
17 	 Thailand 	          570,000 	 2003 est.
18 	 Cameroon 	          560,000 	 2003 est.
19 	 Uganda 	          530,000 	 2001 est.
20 	 Sudan 	          400,000 	 2001 est.
21 	 Ukraine 	          360,000 	 2001 est.
22 	 Botswana 	          350,000 	 2003 est.
23 	 Ghana 	          350,000 	 2003 est.
24 	 Burma 	          330,000 	 2003 est.
25 	 Lesotho 	          320,000 	 2003 est.
26 	 Burkina Faso 	          300,000 	 2003 est.
27 	 Haiti 	          280,000 	 2003 est.
28 	 Central African Republic 	          260,000 	 2003 est.
29 	 Burundi 	          250,000 	 2003 est.
30 	 Rwanda 	          250,000 	 2003 est.
31 	 Angola 	          240,000 	 2003 est.
32 	 Vietnam 	          220,000 	 2003 est.
33 	 Swaziland 	          220,000 	 2003 est.
34 	 Namibia 	          210,000 	 2001 est.
35 	 Chad 	          200,000 	 2003 est.
36 	 Colombia 	          190,000 	 2003 est.
37 	 Cambodia 	          170,000 	 2003 est.
38 	 Sierra Leone 	          170,000 	 2001 est.
39 	 Mexico 	          160,000 	 2003 est.
40 	 Guinea 	          140,000 	 2003 est.
41 	 Madagascar 	          140,000 	 2003 est.
42 	 Italy 	          140,000 	 2001 est.
43 	 Mali 	          140,000 	 2003 est.
44 	 Spain 	          140,000 	 2001 est.
45 	 Argentina 	          130,000 	 2001 est.
46 	 France 	          120,000 	 2003 est.
47 	 Indonesia 	          110,000 	 2003 est.
