This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Current account balance 	 Date of Information
1 	 Japan 	 $     158,300,000,000 	 2005 est.
2 	 China 	 $     129,100,000,000 	 2005 est.
3 	 Germany 	 $     119,800,000,000 	 2005 est.
4 	 Russia 	 $      89,310,000,000 	 2005 est.
5 	 Saudi Arabia 	 $      84,140,000,000 	 2005 est.
6 	 Norway 	 $      51,500,000,000 	 2005 est.
7 	 Switzerland 	 $      49,660,000,000 	 2005 est.
8 	 Kuwait 	 $      31,510,000,000 	 2005 est.
9 	 Sweden 	 $      25,680,000,000 	 2005 est.
10 	 United Arab Emirates 	 $      25,660,000,000 	 2005 est.
11 	 Singapore 	 $      25,240,000,000 	 2005 est.
12 	 Hong Kong 	 $      23,850,000,000 	 2005 est.
13 	 Algeria 	 $      21,830,000,000 	 2005 est.
14 	 Venezuela 	 $      20,300,000,000 	 2005 est.
15 	 Netherlands 	 $      17,940,000,000 	 2005 est.
16 	 Canada 	 $      16,890,000,000 	 2005 est.
17 	 Malaysia 	 $      15,350,000,000 	 2005 est.
18 	 Taiwan 	 $      15,030,000,000 	 2005 est.
19 	 Libya 	 $      14,440,000,000 	 2005 est.
20 	 Korea, South 	 $      14,320,000,000 	 2005 est.
21 	 Qatar 	 $      10,530,000,000 	 2005 est.
22 	 Brazil 	 $      10,420,000,000 	 2005 est.
23 	 Nigeria 	 $       9,622,000,000 	 2005 est.
24 	 Iran 	 $       8,179,000,000 	 2005 est.
25 	 Denmark 	 $       7,019,000,000 	 2005 est.
26 	 Belgium 	 $       6,983,000,000 	 2005 est.
27 	 Finland 	 $       5,858,000,000 	 2005 est.
28 	 Angola 	 $       4,484,000,000 	 2005 est.
29 	 Oman 	 $       4,459,000,000 	 2005 est.
30 	 Ukraine 	 $       4,338,000,000 	 2005 est.
31 	 Indonesia 	 $       3,899,000,000 	 2005 est.
32 	 Philippines 	 $       3,872,000,000 	 2005 est.
33 	 Kazakhstan 	 $       3,343,000,000 	 2005 est.
34 	 Trinidad and Tobago 	 $       3,270,000,000 	 2005 est.
35 	 Egypt 	 $       2,928,000,000 	 2005 est.
36 	 Argentina 	 $       1,908,000,000 	 2005 est.
37 	 Austria 	 $       1,755,000,000 	 2005 est.
38 	 Bahrain 	 $       1,569,000,000 	 2005 est.
39 	 Equatorial Guinea 	 $       1,364,000,000 	 2005 est.
40 	 Yemen 	 $       1,282,000,000 	 2005 est.
41 	 Gabon 	 $       1,110,000,000 	 2005 est.
42 	 Syria 	 $        980,000,000 	 2005 est.
43 	 Uzbekistan 	 $        882,000,000 	 2005 est.
