This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP (official exchange rate) 	 Date of Information
1 	 World 	 $   43,920,000,000,000 	 2005 est.
2 	 European Union 	 $   13,310,000,000,000 	 2005 est.
3 	 United States 	 $   12,770,000,000,000 	 2005 est.
4 	 Japan 	 $    4,955,000,000,000 	 2005 est.
5 	 Germany 	 $    2,830,000,000,000 	 2005 est.
6 	 United Kingdom 	 $    2,275,000,000,000 	 2005 est.
7 	 France 	 $    2,118,000,000,000 	 2005 est.
8 	 China 	 $    1,833,000,000,000 	 2005 est.
9 	 Italy 	 $    1,733,000,000,000 	 2005 est.
10 	 Canada 	 $    1,047,000,000,000 	 2005 est.
11 	 Spain 	 $    1,046,000,000,000 	 2005 est.
12 	 Russia 	 $     740,700,000,000 	 2005 est.
13 	 India 	 $     735,600,000,000 	 2005 est.
14 	 Korea, South 	 $     726,500,000,000 	 2005 est.
15 	 Mexico 	 $     717,000,000,000 	 2005 est.
16 	 Australia 	 $     649,900,000,000 	 2005 est.
17 	 Brazil 	 $     605,600,000,000 	 2005 est.
18 	 Netherlands 	 $     600,800,000,000 	 2005 est.
19 	 Switzerland 	 $     374,000,000,000 	 2005 est.
20 	 Sweden 	 $     362,100,000,000 	 2005 est.
21 	 Belgium 	 $     361,400,000,000 	 2005 est.
22 	 Turkey 	 $     344,800,000,000 	 2005 est.
23 	 Taiwan 	 $     334,400,000,000 	 2005 est.
24 	 Austria 	 $     302,700,000,000 	 2005 est.
25 	 Saudi Arabia 	 $     281,200,000,000 	 2005 est.
26 	 Norway 	 $     264,600,000,000 	 2005 est.
27 	 Denmark 	 $     254,100,000,000 	 2005 est.
28 	 Poland 	 $     249,000,000,000 	 2005 est.
29 	 Indonesia 	 $     245,300,000,000 	 2005 est.
30 	 Greece 	 $     215,900,000,000 	 2005 est.
31 	 Ireland 	 $     194,200,000,000 	 2005 est.
32 	 Finland 	 $     191,300,000,000 	 2005 est.
33 	 South Africa 	 $     191,300,000,000 	 2005 est.
34 	 Iran 	 $     182,500,000,000 	 2005 est.
35 	 Argentina 	 $     182,000,000,000 	 2005 est.
36 	 Hong Kong 	 $     181,600,000,000 	 2005 est.
37 	 Thailand 	 $     180,900,000,000 	 2005 est.
38 	 Portugal 	 $     173,100,000,000 	 2005 est.
39 	 Malaysia 	 $     124,100,000,000 	 2005 est.
40 	 Israel 	 $     123,700,000,000 	 2005 est.
41 	 Venezuela 	 $     118,300,000,000 	 2005 est.
42 	 Singapore 	 $     113,600,000,000 	 2005 est.
