This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Industrial production growth rate(%) 	 Date of Information
1 	 Azerbaijan 	           40.00 	 2005 est.
2 	 Equatorial Guinea 	           30.00 	 2002 est.
3 	 China 	           29.50 	 2005 est.
4 	 Cambodia 	           22.00 	 2002 est.
5 	 Turkmenistan 	           22.00 	 2003 est.
6 	 Burundi 	           18.00 	 2001
7 	 Vietnam 	           17.20 	 2005 est.
8 	 Moldova 	           17.00 	 2003 est.
9 	 Belarus 	           15.60 	 2005 est.
10 	 Lesotho 	           15.50 	 1999
11 	 Cote d'Ivoire 	           15.00 	 1998 est.
12 	 Iceland 	           14.20 	 2005 est.
13 	 Burkina Faso 	           14.00 	 2001 est.
14 	 Angola 	           13.50 	 2004
15 	 Kuwait 	           13.10 	 2005 est.
16 	 Laos 	           13.00 	 2005 est.
17 	 Pakistan 	           10.70 	 2005 est.
18 	 Qatar 	           10.00 	 2003 est.
19 	 Estonia 	            9.70 	 2005 est.
20 	 Singapore 	            9.50 	 2005 est.
21 	 Bhutan 	            9.30 	 1996 est.
22 	 Thailand 	            9.10 	 2005 est.
23 	 Trinidad and Tobago 	            9.00 	 2005 est.
24 	 Uganda 	            9.00 	 2005 est.
25 	 Sudan 	            8.50 	 1999 est.
26 	 East Timor 	            8.50 	 
27 	 Uruguay 	            8.50 	 2005 est.
28 	 Tanzania 	            8.40 	 1999 est.
29 	 Benin 	            8.30 	 2001 est.
30 	 Sri Lanka 	            8.20 	 2005 est.
31 	 Tajikistan 	            8.20 	 2002 est.
32 	 Algeria 	            8.00 	 2005 est.
33 	 Mauritius 	            8.00 	 2000 est.
34 	 Faroe Islands 	            8.00 	 1999 est.
35 	 Bulgaria 	            7.90 	 2005
36 	 Malawi 	            7.90 	 2005 est.
37 	 Zambia 	            7.90 	 2005 est.
38 	 India 	            7.90 	 2005 est.
39 	 Argentina 	            7.70 	 2005 est.
40 	 Uzbekistan 	            7.70 	 2005 est.
41 	 Honduras 	            7.70 	 2003 est.
42 	 Armenia 	            7.50 	 2005 est.
43 	 Jordan 	            7.50 	 2005 est.
44 	 Botswana 	            7.50 	 2005 est.
45 	 Brunei 	            7.30 	 2003 est.
46 	 Hungary 	            7.30 	 2005 est.
47 	 Lithuania 	            7.30 	 2005 est.
48 	 Venezuela 	            7.20 	 2005 est.
49 	 Kyrgyzstan 	            7.10 	 2004 est.
50 	 Rwanda 	            7.00 	 2001 est.
51 	 Syria 	            7.00 	 2002 est.
52 	 Peru 	            6.90 	 2005 est.
53 	 Macedonia 	            6.80 	 2005 est.
54 	 Bangladesh 	            6.70 	 2005 est.
55 	 Ethiopia 	            6.70 	 2001 est.
56 	 Suriname 	            6.50 	 1994 est.
57 	 Antigua and Barbuda 	            6.00 	 1997 est.
58 	 San Marino 	            6.00 	 1997 est.
59 	 Korea, South 	            5.90 	 2005 est.
