This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
1 	 Andorra 	     83.51 	 2006 est.
2 	 Macau 	     82.19 	 2006 est.
3 	 San Marino 	     81.71 	 2006 est.
4 	 Singapore 	     81.71 	 2006 est.
5 	 Hong Kong 	     81.59 	 2006 est.
6 	 Japan 	     81.25 	 2006 est.
7 	 Sweden 	     80.51 	 2006 est.
8 	 Switzerland 	     80.51 	 2006 est.
9 	 Australia 	     80.50 	 2006 est.
10 	 Guernsey 	     80.42 	 2006 est.
11 	 Iceland 	     80.31 	 2006 est.
12 	 Canada 	     80.22 	 2006 est.
13 	 Cayman Islands 	     80.07 	 2006 est.
14 	 Italy 	     79.81 	 2006 est.
15 	 Gibraltar 	     79.80 	 2006 est.
16 	 France 	     79.73 	 2006 est.
17 	 Monaco 	     79.69 	 2006 est.
18 	 Liechtenstein 	     79.68 	 2006 est.
19 	 Spain 	     79.65 	 2006 est.
20 	 Norway 	     79.54 	 2006 est.
21 	 Israel 	     79.46 	 2006 est.
22 	 Jersey 	     79.38 	 2006 est.
23 	 Faroe Islands 	     79.35 	 2006 est.
24 	 Aruba 	     79.28 	 2006 est.
25 	 Greece 	     79.24 	 2006 est.
26 	 Martinique 	     79.18 	 2006 est.
27 	 Austria 	     79.07 	 2006 est.
28 	 Virgin Islands 	     79.05 	 2006 est.
29 	 Malta 	     79.01 	 2006 est.
30 	 Netherlands 	     78.96 	 2006 est.
31 	 Luxembourg 	     78.89 	 2006 est.
32 	 Montserrat 	     78.85 	 2006 est.
33 	 New Zealand 	     78.81 	 2006 est.
34 	 Germany 	     78.80 	 2006 est.
35 	 Belgium 	     78.77 	 2006 est.
36 	 Saint Pierre and Miquelon 	     78.61 	 2006 est.
37 	 Guam 	     78.58 	 2006 est.
38 	 United Kingdom 	     78.54 	 2006 est.
39 	 Finland 	     78.50 	 2006 est.
40 	 Isle of Man 	     78.49 	 2006 est.
41 	 Jordan 	     78.40 	 2006 est.
42 	 Puerto Rico 	     78.40 	 2006 est.
43 	 European Union 	     78.30 	 2006 est.
44 	 Guadeloupe 	     78.06 	 2006 est.
45 	 Bosnia and Herzegovina 	     78.00 	 2006 est.
46 	 Bermuda 	     77.96 	 2006 est.
47 	 Saint Helena 	     77.93 	 2006 est.
48 	 United States 	     77.85 	 2006 est.
49 	 Cyprus 	     77.82 	 2006 est.
50 	 Denmark 	     77.79 	 2006 est.
51 	 Ireland 	     77.73 	 2006 est.
52 	 Portugal 	     77.70 	 2006 est.
53 	 Albania 	     77.43 	 2006 est.
54 	 Taiwan 	     77.43 	 2006 est.
55 	 Cuba 	     77.41 	 2006 est.
56 	 Anguilla 	     77.28 	 2006 est.
57 	 French Guiana 	     77.27 	 2006 est.
58 	 Kuwait 	     77.20 	 2006 est.
59 	 Korea, South 	     77.04 	 2006 est.
60 	 Costa Rica 	     77.02 	 2006 est.
61 	 Chile 	     76.77 	 2006 est.
62 	 Libya 	     76.69 	 2006 est.
63 	 British Virgin Islands 	     76.68 	 2006 est.
64 	 Ecuador 	     76.42 	 2006 est.
65 	 Slovenia 	     76.33 	 2006 est.
66 	 Uruguay 	     76.33 	 2006 est.
67 	 Czech Republic 	     76.22 	 2006 est.
68 	 Argentina 	     76.12 	 2006 est.
69 	 French Polynesia 	     76.10 	 2006 est.
70 	 Northern Mariana Islands 	     76.09 	 2006 est.
71 	 Georgia 	     76.09 	 2006 est.
72 	 American Samoa 	     76.05 	 2006 est.
73 	 Netherlands Antilles 	     76.03 	 2006 est.
74 	 Saudi Arabia 	     75.67 	 2006 est.
75 	 United Arab Emirates 	     75.44 	 2006 est.
76 	 Mexico 	     75.41 	 2006 est.
77 	 Panama 	     75.22 	 2006 est.
78 	 Tunisia 	     75.12 	 2006 est.
79 	 Paraguay 	     75.10 	 2006 est.
80 	 Brunei 	     75.01 	 2006 est.
81 	 Poland 	     74.97 	 2006 est.
82 	 Dominica 	     74.87 	 2006 est.
83 	 Slovakia 	     74.73 	 2006 est.
84 	 Turks and Caicos Islands 	     74.73 	 2006 est.
85 	 Croatia 	     74.68 	 2006 est.
86 	 Venezuela 	     74.54 	 2006 est.
87 	 Bahrain 	     74.45 	 2006 est.
88 	 New Caledonia 	     74.27 	 2006 est.
89 	 Lithuania 	     74.20 	 2006 est.
90 	 Reunion 	     74.18 	 2006 est.
91 	 Serbia 	     74.00 	 
92 	 Macedonia 	     73.97 	 2006 est.
93 	 Qatar 	     73.90 	 2006 est.
94 	 Saint Vincent and the Grenadines 	     73.85 	 2006 est.
95 	 Saint Lucia 	     73.84 	 2006 est.
96 	 Sri Lanka 	     73.41 	 2006 est.
97 	 Oman 	     73.37 	 2006 est.
98 	 West Bank 	     73.27 	 2006 est.
99 	 Algeria 	     73.26 	 2006 est.
100 	 Jamaica 	     73.24 	 2006 est.
101 	 Solomon Islands 	     72.91 	 2006 est.
102 	 Lebanon 	     72.88 	 2006 est.
103 	 Barbados 	     72.79 	 2006 est.
104 	 Hungary 	     72.66 	 2006 est.
