This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
1 	 World 	      2,168,433,600 	 2005
2 	 China 	       393,428,000 	 2005
3 	 European Union 	       314,644,700 	 2002
4 	 United States 	       219,400,000 	 2005
5 	 Russia 	       120,000,000 	 2005
6 	 Japan 	        94,745,000 	 2005
7 	 Brazil 	        86,210,000 	 2005
8 	 Germany 	        79,200,000 	 2005
9 	 Italy 	        72,200,000 	 2005
10 	 India 	        69,193,321 	 2006
11 	 United Kingdom 	        61,091,000 	 2004
12 	 France 	        48,058,000 	 2005
13 	 Mexico 	        47,462,000 	 2005
14 	 Indonesia 	        46,910,000 	 2005
15 	 Turkey 	        43,609,000 	 2005
16 	 Spain 	        41,328,000 	 2005
17 	 Korea, South 	        38,342,000 	 2005
18 	 South Africa 	        33,960,000 	 2005
19 	 Philippines 	        32,810,000 	 2005
20 	 Poland 	        29,166,400 	 2005
21 	 Thailand 	        27,379,000 	 2005
22 	 Taiwan 	        22,170,000 	 2005
23 	 Argentina 	        22,100,000 	 2005
24 	 Colombia 	        21,850,000 	 2005
25 	 Nigeria 	        21,571,131 	 2006
26 	 Malaysia 	        19,545,000 	 2005
27 	 Australia 	        18,420,000 	 2005
28 	 Ukraine 	        17,214,000 	 2005
29 	 Canada 	        16,600,000 	 2005
30 	 Netherlands 	        15,834,000 	 2005
31 	 Egypt 	        14,045,134 	 2005
32 	 Algeria 	        13,661,000 	 2005
33 	 Romania 	        13,354,000 	 2005
34 	 Saudi Arabia 	        13,300,000 	 2005
35 	 Pakistan 	        12,771,000 	 2005
36 	 Venezuela 	        12,496,000 	 2005
37 	 Morocco 	        12,393,000 	 2005
38 	 Czech Republic 	        11,776,000 	 2005
39 	 Portugal 	        11,448,000 	 2005
40 	 Chile 	        10,570,000 	 2005
41 	 Greece 	        10,043,000 	 2005
42 	 Vietnam 	         9,593,000 	 2005
43 	 Belgium 	         9,460,000 	 2005
44 	 Hungary 	         9,320,000 	 2005
45 	 Bangladesh 	         9,000,000 	 2005
46 	 Hong Kong 	         8,693,000 	 2005
47 	 Sweden 	         8,436,000 	 2005
48 	 Austria 	         8,160,000 	 2005
49 	 Israel 	         7,757,000 	 2005
50 	 Iran 	         7,222,000 	 2005
51 	 Switzerland 	         6,847,000 	 2005
52 	 Ecuador 	         6,246,000 	 2005
53 	 Bulgaria 	         6,245,000 	 2005
54 	 Tunisia 	         5,681,000 	 2005
55 	 Peru 	         5,583,000 	 2005
56 	 Denmark 	         5,469,000 	 2005
57 	 Finland 	         5,231,000 	 2005
58 	 Serbia 	         5,229,000 	 2005
59 	 Kazakhstan 	         4,955,000 	 2005
60 	 Norway 	         4,755,000 	 2005
61 	 Kenya 	         4,612,000 	 2005
62 	 Slovakia 	         4,540,000 	 2005
63 	 United Arab Emirates 	         4,535,000 	 2005
64 	 Singapore 	         4,385,000 	 2005
65 	 Lithuania 	         4,353,000 	 2005
66 	 Ireland 	         4,210,000 	 2005
67 	 Belarus 	         4,098,000 	 2005
68 	 Dominican Republic 	         3,623,000 	 2005
69 	 New Zealand 	         3,530,000 	 2005
70 	 Sri Lanka 	         3,362,000 	 2005
71 	 Guatemala 	         3,168,300 	 2004
72 	 Croatia 	         2,984,000 	 2005
73 	 Syria 	         2,950,000 	 2005
74 	 Ghana 	         2,842,000 	 2005
75 	 Congo, Democratic Republic of the 	         2,746,000 	 2005
76 	 Jamaica 	         2,700,000 	 2005
77 	 Puerto Rico 	         2,682,000 	 2004
78 	 Bolivia 	         2,421,000 	 2005
79 	 El Salvador 	         2,412,000 	 2005
80 	 Kuwait 	         2,380,000 	 2005
81 	 Cameroon 	         2,259,000 	 2005
82 	 Azerbaijan 	         2,242,000 	 2005
83 	 Cote d'Ivoire 	         2,190,000 	 2005
84 	 Yemen 	         2,000,000 	 2005
85 	 Tanzania 	         1,942,000 	 2005
86 	 Paraguay 	         1,887,000 	 2005
87 	 Latvia 	         1,872,000 	 2005
88 	 Sudan 	         1,828,000 	 2005
89 	 Slovenia 	         1,759,000 	 2005
90 	 Senegal 	         1,730,000 	 2005
91 	 Jordan 	         1,594,500 	 2004
92 	 Bosnia and Herzegovina 	         1,594,000 	 2005
93 	 Uganda 	         1,525,000 	 2005
94 	 Georgia 	         1,459,000 	 2005
95 	 Estonia 	         1,445,000 	 2005
96 	 Panama 	         1,352,000 	 2005
97 	 Oman 	         1,333,000 	 2005
98 	 Honduras 	         1,282,000 	 2005
99 	 Macedonia 	         1,261,000 	 2005
100 	 Albania 	         1,259,000 	 2004
101 	 Mozambique 	         1,220,000 	 2005
102 	 Afghanistan 	         1,200,000 	 2005
103 	 Nicaragua 	         1,119,000 	 2005
104 	 Costa Rica 	         1,101,000 	 2005
105 	 Gaza Strip 	         1,095,000 	 2005
106 	 West Bank 	         1,095,000 	 2005
107 	 Angola 	         1,094,100 	 2005
108 	 Moldova 	         1,090,000 	 2005
109 	 Cambodia 	         1,062,000 	 2005
110 	 Lebanon 	          990,000 	 2005
111 	 Zambia 	          946,600 	 2005
112 	 Mali 	          869,600 	 2005
113 	 Botswana 	          823,100 	 2005
114 	 Trinidad and Tobago 	          800,000 	 2005
115 	 Bahrain 	          748,700 	 2005
116 	 Mauritania 	          745,600 	 2005
117 	 Luxembourg 	          720,000 	 2005
118 	 Uzbekistan 	          720,000 	 2005
119 	 Cyprus 	          718,800 	 
120 	 Qatar 	          716,800 	 2005
121 	 Mauritius 	          713,300 	 2005
122 	 Zimbabwe 	          699,000 	 2005
123 	 Gabon 	          649,800 	 2005
124 	 Uruguay 	          600,000 	 2004
125 	 Reunion 	          579,200 	 2004
126 	 Iraq 	          574,000 	 2004
127 	 Burkina Faso 	          572,200 	 2005
128 	 Mongolia 	          557,200 	 2005
129 	 Montenegro 	          543,220 	 2005
130 	 Kyrgyzstan 	          541,700 	 2005
131 	 Macau 	          532,800 	 2005
132 	 Laos 	          520,546 	 2006
133 	 Madagascar 	          504,700 	 2005
134 	 Somalia 	          500,000 	 2005
135 	 Namibia 	          495,000 	 2005
136 	 Congo, Republic of the 	          490,000 	 2005
137 	 Togo 	          443,600 	 2005
138 	 Malawi 	          429,300 	 2005
139 	 Ethiopia 	          410,600 	 2005
140 	 Haiti 	          400,000 	 2004
141 	 Benin 	          386,700 	 2005
142 	 Malta 	          324,000 	 2005
143 	 Armenia 	          320,000 	 2005
