This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Reserves of foreign exchange and gold 	 Date of Information
1 	 Japan 	 $     835,500,000,000 	 2005 est.
2 	 China 	 $     825,600,000,000 	 2005 est.
3 	 Taiwan 	 $     258,000,000,000 	 2005 est.
4 	 Korea, South 	 $     210,400,000,000 	 2005 est.
5 	 Russia 	 $     182,200,000,000 	 2005 est.
6 	 India 	 $     136,000,000,000 	 2005 est.
7 	 Hong Kong 	 $     124,300,000,000 	 2005 est.
8 	 Singapore 	 $     115,800,000,000 	 2005 est.
9 	 Germany 	 $     101,700,000,000 	 2005 est.
10 	 United States 	 $      86,940,000,000 	 2004 est.
11 	 France 	 $      74,360,000,000 	 2005 est.
12 	 Mexico 	 $      74,100,000,000 	 2005 est.
13 	 Malaysia 	 $      70,230,000,000 	 2005 est.
14 	 Italy 	 $      65,950,000,000 	 2005 est.
15 	 Switzerland 	 $      57,640,000,000 	 2005 est.
16 	 Algeria 	 $      56,580,000,000 	 2005 est.
17 	 Brazil 	 $      53,800,000,000 	 2005 est.
18 	 Turkey 	 $      52,490,000,000 	 2005 est.
19 	 Thailand 	 $      52,070,000,000 	 2005 est.
20 	 United Kingdom 	 $      48,660,000,000 	 2005 est.
21 	 Norway 	 $      46,990,000,000 	 2005 est.
22 	 Iran 	 $      45,460,000,000 	 2005 est.
23 	 Australia 	 $      43,260,000,000 	 2005 est.
24 	 Poland 	 $      42,560,000,000 	 2005 est.
25 	 Libya 	 $      39,700,000,000 	 2005 est.
26 	 Indonesia 	 $      34,580,000,000 	 2005 est.
27 	 Denmark 	 $      34,030,000,000 	 2005 est.
28 	 Canada 	 $      33,020,000,000 	 2005 est.
29 	 Venezuela 	 $      29,640,000,000 	 2005 est.
30 	 Czech Republic 	 $      29,360,000,000 	 2005 est.
31 	 Nigeria 	 $      28,280,000,000 	 2005 est.
32 	 Argentina 	 $      28,090,000,000 	 2005 est.
33 	 Israel 	 $      28,060,000,000 	 2005 est.
34 	 Saudi Arabia 	 $      26,760,000,000 	 2005 est.
35 	 United Arab Emirates 	 $      23,530,000,000 	 2005 est.
36 	 Sweden 	 $      22,330,000,000 	 2005 est.
37 	 Romania 	 $      21,600,000,000 	 2005 est.
38 	 Egypt 	 $      21,390,000,000 	 2005 est.
39 	 South Africa 	 $      20,630,000,000 	 2005 est.
40 	 Netherlands 	 $      20,540,000,000 	 2005 est.
41 	 Ukraine 	 $      19,390,000,000 	 2005 est.
42 	 Hungary 	 $      18,590,000,000 	 2005 est.
43 	 Philippines 	 $      18,500,000,000 	 2005 est.
44 	 Spain 	 $      17,230,000,000 	 2005 est.
45 	 Chile 	 $      16,930,000,000 	 2005 est.
46 	 Lebanon 	 $      16,620,000,000 	 2005 est.
47 	 Morocco 	 $      16,470,000,000 	 2005 est.
48 	 Slovakia 	 $      14,970,000,000 	 2005 est.
49 	 Colombia 	 $      14,960,000,000 	 2005 est.
50 	 Peru 	 $      14,180,000,000 	 2005 est.
51 	 Belgium 	 $      12,000,000,000 	 2005 est.
52 	 Austria 	 $      11,830,000,000 	 2005 est.
53 	 Finland 	 $      11,400,000,000 	 2005 est.
54 	 Pakistan 	 $      10,950,000,000 	 2005 est.
55 	 Portugal 	 $      10,360,000,000 	 2005 est.
56 	 Iraq 	 $       9,161,000,000 	 2005 est.
57 	 Kuwait 	 $       8,972,000,000 	 2005 est.
58 	 New Zealand 	 $       8,893,000,000 	 2005 est.
59 	 Vietnam 	 $       8,863,000,000 	 2005 est.
60 	 Croatia 	 $       8,800,000,000 	 2005 est.
61 	 Bulgaria 	 $       8,695,000,000 	 2005
62 	 Slovenia 	 $       8,160,000,000 	 2005 est.
63 	 Kazakhstan 	 $       7,070,000,000 	 2005 est.
64 	 Botswana 	 $       6,309,000,000 	 2005 est.
65 	 Yemen 	 $       6,143,000,000 	 2005 est.
66 	 Jordan 	 $       5,463,000,000 	 2005 est.
67 	 Syria 	 $       5,363,000,000 	 2005 est.
68 	 Serbia 	 $       5,350,000,000 	 
69 	 Trinidad and Tobago 	 $       4,888,000,000 	 2005 est.
70 	 Qatar 	 $       4,552,000,000 	 2005 est.
71 	 Cyprus 	 $       4,429,000,000 	 2005 est.
