This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - per capita (PPP) 	 Date of Information
1 	 Luxembourg 	 $            71,400 	 2006 est.
2 	 Bermuda 	 $            69,900 	 2004 est.
3 	 Jersey 	 $            57,000 	 2005 est.
4 	 Equatorial Guinea 	 $            50,200 	 2005 est.
5 	 United Arab Emirates 	 $            49,700 	 2006 est.
6 	 Norway 	 $            46,300 	 2006 est.
7 	 Guernsey 	 $            44,600 	 2005
8 	 Ireland 	 $            44,500 	 2006 est.
9 	 Cayman Islands 	 $            43,800 	 2004 est.
10 	 United States 	 $            43,800 	 2006 est.
11 	 Andorra 	 $            38,800 	 2005
12 	 British Virgin Islands 	 $            38,500 	 2004 est.
13 	 Iceland 	 $            38,000 	 2006 est.
14 	 Hong Kong 	 $            37,300 	 2006 est.
15 	 Denmark 	 $            37,100 	 2006 est.
16 	 Canada 	 $            35,700 	 2006 est.
17 	 Isle of Man 	 $            35,000 	 2005 est.
18 	 Austria 	 $            34,700 	 2006 est.
19 	 San Marino 	 $            34,100 	 2004 est.
20 	 Switzerland 	 $            34,000 	 2006 est.
21 	 Finland 	 $            33,500 	 2006 est.
22 	 Australia 	 $            33,300 	 2006 est.
23 	 Japan 	 $            33,100 	 2006 est.
24 	 Belgium 	 $            33,000 	 2006 est.
25 	 Sweden 	 $            32,200 	 2006 est.
26 	 Netherlands 	 $            32,100 	 2006 est.
27 	 Germany 	 $            31,900 	 2006 est.
28 	 United Kingdom 	 $            31,800 	 2006 est.
29 	 Singapore 	 $            31,400 	 2006 est.
30 	 France 	 $            31,200 	 2006 est.
31 	 Faroe Islands 	 $            31,000 	 2001 est.
32 	 Italy 	 $            30,200 	 2006 est.
33 	 Monaco 	 $            30,000 	 2006 est.
34 	 European Union 	 $            29,900 	 2006 est.
35 	 Qatar 	 $            29,800 	 2006 est.
36 	 Taiwan 	 $            29,600 	 2006 est.
37 	 Gibraltar 	 $            27,900 	 2000 est.
38 	 Spain 	 $            27,400 	 2006 est.
39 	 Israel 	 $            26,800 	 2006 est.
40 	 New Zealand 	 $            26,200 	 2006 est.
41 	 Bahrain 	 $            25,600 	 2006 est.
42 	 Brunei 	 $            25,600 	 2005 est.
43 	 Falkland Islands (Islas Malvinas) 	 $            25,000 	 2002 est.
44 	 Liechtenstein 	 $            25,000 	 1999 est.
45 	 Korea, South 	 $            24,500 	 2006 est.
46 	 Macau 	 $            24,300 	 2005
47 	 Greece 	 $            24,000 	 2006 est.
48 	 Slovenia 	 $            23,400 	 2006 est.
49 	 Kuwait 	 $            23,100 	 2006 est.
50 	 Cyprus 	 $            23,000 	 2006 est.
51 	 Czech Republic 	 $            22,000 	 2006 est.
52 	 Aruba 	 $            21,800 	 2004 est.
53 	 Bahamas, The 	 $            21,600 	 2006 est.
54 	 Malta 	 $            21,300 	 2006 est.
55 	 Estonia 	 $            20,300 	 2006 est.
56 	 Greenland 	 $            20,000 	 2001 est.
57 	 Portugal 	 $            19,800 	 2006 est.
58 	 Trinidad and Tobago 	 $            19,800 	 2006 est.
59 	 Puerto Rico 	 $            19,300 	 2006 est.
60 	 Barbados 	 $            18,400 	 2006 est.
61 	 Slovakia 	 $            18,200 	 2006 est.
62 	 French Polynesia 	 $            17,500 	 2003 est.
63 	 Hungary 	 $            17,500 	 2006 est.
64 	 Latvia 	 $            16,000 	 2006 est.
65 	 Netherlands Antilles 	 $            16,000 	 2004 est.
66 	 Lithuania 	 $            15,300 	 2006 est.
67 	 Argentina 	 $            15,200 	 2006 est.
68 	 Guam 	 $            15,000 	 2005 est.
69 	 New Caledonia 	 $            15,000 	 2003 est.
70 	 Virgin Islands 	 $            14,500 	 2004 est.
71 	 Oman 	 $            14,400 	 2006 est.
72 	 Poland 	 $            14,400 	 2006 est.
73 	 Saudi Arabia 	 $            13,800 	 2006 est.
74 	 Mauritius 	 $            13,700 	 2006 est.
75 	 Croatia 	 $            13,400 	 2006 est.
76 	 South Africa 	 $            13,300 	 2006 est.
77 	 Malaysia 	 $            12,800 	 2006 est.
78 	 Chile 	 $            12,600 	 2006 est.
79 	 Northern Mariana Islands 	 $            12,500 	 2000 est.
80 	 Costa Rica 	 $            12,500 	 2006 est.
81 	 Libya 	 $            12,300 	 2006 est.
