This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Inflation rate (consumer prices)(%) 	 Date of Information
1 	 Nauru 	     -3.60 	 1993
2 	 Vanuatu 	     -1.60 	 2005 est.
3 	 San Marino 	     -1.50 	 2006
4 	 Northern Mariana Islands 	     -0.80 	 2000
5 	 Barbados 	     -0.50 	 2003 est.
6 	 Seychelles 	     -0.40 	 2006 est.
7 	 Dominica 	     -0.10 	 2005 est.
8 	 Japan 	      0.20 	 2006 est.
9 	 Niger 	      0.20 	 2004 est.
10 	 Kiribati 	      0.50 	 2005 est.
11 	 Taiwan 	      0.60 	 2006 est.
12 	 Antigua and Barbuda 	      0.90 	 2005 est.
13 	 Greenland 	      1.00 	 2005 est.
14 	 Saint Vincent and the Grenadines 	      1.00 	 2005 est.
15 	 Singapore 	      1.00 	 2006 est.
16 	 Sierra Leone 	      1.00 	 2002 est.
17 	 Liechtenstein 	      1.00 	 2001
18 	 Poland 	      1.00 	 2006 est.
19 	 Brunei 	      1.10 	 2005
20 	 Switzerland 	      1.10 	 2006 est.
21 	 Panama 	      1.10 	 2006 est.
22 	 Netherlands 	      1.10 	 2006 est.
23 	 French Polynesia 	      1.10 	 2006 est.
24 	 Bahamas, The 	      1.20 	 2004
25 	 Gaza Strip 	      1.20 	 2005
26 	 Austria 	      1.40 	 2006 est.
27 	 New Caledonia 	      1.40 	 2000 est.
28 	 Sweden 	      1.40 	 2006 est.
29 	 Timor-Leste 	      1.40 	 2005
30 	 Gambia, The 	      1.50 	 2006 est.
31 	 Gibraltar 	      1.50 	 1998
32 	 Finland 	      1.60 	 2006 est.
33 	 China 	      1.70 	 2006 est.
34 	 France 	      1.70 	 2006 est.
35 	 Mayotte 	      1.70 	 2005
36 	 Germany 	      1.70 	 2006 est.
37 	 Belgium 	      1.80 	 2006 est.
38 	 European Union 	      1.80 	 2006 est.
39 	 Faroe Islands 	      1.80 	 2005
40 	 Denmark 	      1.90 	 2006 est.
41 	 Monaco 	      1.90 	 2000
42 	 Canada 	      2.00 	 2006 est.
43 	 British Virgin Islands 	      2.00 	 2005
44 	 Hong Kong 	      2.00 	 2006 est.
45 	 Peru 	      2.00 	 2006 est.
46 	 Bahrain 	      2.10 	 2006 est.
47 	 Senegal 	      2.10 	 2006 est.
48 	 Netherlands Antilles 	      2.10 	 2003 est.
49 	 Italy 	      2.10 	 2006 est.
