This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 HIV/AIDS - deaths 	 Date of Information
1 	 South Africa 	          370,000 	 2003 est.
2 	 India 	          310,000 	 2001 est.
3 	 Nigeria 	          310,000 	 2003 est.
4 	 Zimbabwe 	          170,000 	 2003 est.
5 	 Tanzania 	          160,000 	 2003 est.
6 	 Kenya 	          150,000 	 2003 est.
7 	 Ethiopia 	          120,000 	 2003 est.
8 	 Mozambique 	          110,000 	 2003 est.
9 	 Congo, Democratic Republic of the 	          100,000 	 2003 est.
10 	 Zambia 	           89,000 	 2003 est.
11 	 Malawi 	           84,000 	 2003 est.
12 	 Uganda 	           78,000 	 2003 est.
13 	 Thailand 	           58,000 	 2003 est.
14 	 Cameroon 	           49,000 	 2003 est.
15 	 Cote d'Ivoire 	           47,000 	 2003 est.
16 	 China 	           44,000 	 2003 est.
17 	 Botswana 	           33,000 	 2003 est.
18 	 Ghana 	           30,000 	 2003 est.
19 	 Lesotho 	           29,000 	 2003 est.
20 	 Burkina Faso 	           29,000 	 2003 est.
21 	 Burundi 	           25,000 	 2003 est.
22 	 Haiti 	           24,000 	 2003 est.
23 	 Central African Republic 	           23,000 	 2003 est.
24 	 Sudan 	           23,000 	 2003 est.
25 	 Rwanda 	           22,000 	 2003 est.
26 	 Angola 	           21,000 	 2003 est.
27 	 Burma 	           20,000 	 2003 est.
28 	 Ukraine 	           20,000 	 2003 est.
29 	 Chad 	           18,000 	 2003 est.
30 	 United States 	           17,011 	 2005 est.
31 	 Swaziland 	           17,000 	 2003 est.
32 	 Namibia 	           16,000 	 2003 est.
33 	 Brazil 	           15,000 	 2003 est.
34 	 Cambodia 	           15,000 	 2003 est.
35 	 Mali 	           12,000 	 2003 est.
36 	 Sierra Leone 	           11,000 	 2001 est.
37 	 Togo 	           10,000 	 2003 est.
38 	 Congo, Republic of the 	            9,700 	 2003 est.
39 	 Guinea 	            9,000 	 2003 est.
40 	 Russia 	            9,000 	 2001 est.
41 	 Vietnam 	            9,000 	 2003 est.
42 	 Dominican Republic 	            7,900 	 2003 est.
43 	 Madagascar 	            7,500 	 2003 est.
44 	 Liberia 	            7,200 	 2003 est.
