This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Market value of publicly traded shares 	 Date of Information
1 	 World 	  43,640,000,000,000.00 	 2005
2 	 United States 	  17,000,000,000,000.00 	 2005
3 	 Japan 	  4,737,000,000,000.00 	 2005
4 	 United Kingdom 	  3,058,000,000,000.00 	 2005
5 	 China 	  2,426,000,000,000.00 	 2006
6 	 France 	  1,710,000,000,000.00 	 2005
7 	 Canada 	  1,481,000,000,000.00 	 2005
8 	 Russia 	  1,322,000,000,000.00 	 2006
9 	 Germany 	  1,221,000,000,000.00 	 2005
10 	 Hong Kong 	  1,006,000,000,000.00 	 2005
11 	 Spain 	  960,000,000,000.00 	 2005
12 	 Switzerland 	  938,600,000,000.00 	 2005
13 	 Korea, South 	  835,200,000,000.00 	 2006
14 	 India 	  818,900,000,000.00 	 2006
15 	 Australia 	  804,100,000,000.00 	 2005
16 	 Italy 	  798,200,000,000.00 	 2005
17 	 Netherlands 	  727,500,000,000.00 	 2005
18 	 South Africa 	  715,000,000,000.00 	 2006
19 	 Brazil 	  711,100,000,000.00 	 2006
20 	 Netherlands Antilles 	  488,600,000,000.00 	 2003
21 	 Sweden 	  403,900,000,000.00 	 2005
22 	 Mexico 	  348,300,000,000.00 	 2006
23 	 Belgium 	  327,100,000,000.00 	 2005
24 	 Saudi Arabia 	  326,900,000,000.00 	 2006
25 	 Malaysia 	  235,400,000,000.00 	 2006
26 	 Finland 	  209,500,000,000.00 	 2005
27 	 Singapore 	  208,300,000,000.00 	 2005
28 	 Norway 	  191,000,000,000.00 	 2005
29 	 Denmark 	  178,000,000,000.00 	 2005
30 	 Chile 	  174,600,000,000.00 	 2006
31 	 Israel 	  173,300,000,000.00 	 2006
32 	 Turkey 	  162,400,000,000.00 	 2006
33 	 Poland 	  149,100,000,000.00 	 2006
34 	 Greece 	  145,000,000,000.00 	 2005
35 	 Thailand 	  139,600,000,000.00 	 2006
36 	 Indonesia 	  138,900,000,000.00 	 2006
37 	 United Arab Emirates 	  138,500,000,000.00 	 2006
38 	 Kuwait 	  128,900,000,000.00 	 2006
39 	 Austria 	  126,300,000,000.00 	 2005
40 	 Ireland 	  114,100,000,000.00 	 2005
41 	 Egypt 	  93,480,000,000.00 	 2006
42 	 Argentina 	  79,730,000,000.00 	 2006
43 	 Philippines 	  68,380,000,000.00 	 2006
44 	 Portugal 	  66,980,000,000.00 	 2005
45 	 Qatar 	  61,560,000,000.00 	 2006
46 	 Peru 	  59,660,000,000.00 	 2006
47 	 Colombia 	  56,200,000,000.00 	 2006
48 	 Luxembourg 	  51,250,000,000.00 	 2005
49 	 Morocco 	  49,360,000,000.00 	 2006
50 	 Czech Republic 	  48,600,000,000.00 	 2006
51 	 Pakistan 	  45,520,000,000.00 	 2006
52 	 Ukraine 	  42,870,000,000.00 	 2006
53 	 Hungary 	  41,930,000,000.00 	 2006
54 	 New Zealand 	  40,620,000,000.00 	 2005
55 	 Iran 	  38,720,000,000.00 	 2005
56 	 Nigeria 	  32,820,000,000.00 	 2006
57 	 Romania 	  32,780,000,000.00 	 2006
58 	 Jordan 	  29,730,000,000.00 	 2006
59 	 Croatia 	  29,010,000,000.00 	 2006
60 	 Iceland 	  27,800,000,000.00 	 2005
61 	 Zimbabwe 	  26,560,000,000.00 	 2006
62 	 Bahrain 	  21,120,000,000.00 	 2006
63 	 Oman 	  16,160,000,000.00 	 2006
64 	 Trinidad and Tobago 	  15,570,000,000.00 	 2006
65 	 Slovenia 	  15,180,000,000.00 	 2006
66 	 Jamaica 	  12,280,000,000.00 	 2006
67 	 Kenya 	  11,380,000,000.00 	 2006
68 	 Kazakhstan 	  10,520,000,000.00 	 2005
69 	 Bulgaria 	  10,320,000,000.00 	 2006
70 	 Lithuania 	  10,190,000,000.00 	 2006
71 	 Lebanon 	   8,279,000,000.00 	 2006
72 	 Venezuela 	   8,251,000,000.00 	 2006
73 	 Sri Lanka 	   7,769,000,000.00 	 2006
74 	 Cyprus 	   6,583,000,000.00 	 2005
75 	 Estonia 	   5,963,000,000.00 	 2006
76 	 Slovakia 	   5,574,000,000.00 	 2006
77 	 Barbados 	   5,513,000,000.00 	 2005
78 	 Serbia 	   5,409,000,000.00 	 2005
79 	 Panama 	   5,074,000,000.00 	 2005
80 	 Papua New Guinea 	   4,863,000,000.00 	 2005
81 	 West Bank 	   4,461,000,000.00 	 2005
82 	 Tunisia 	   4,446,000,000.00 	 2006
83 	 Cote d'Ivoire 	   4,155,000,000.00 	 2006
84 	 Malta 	   4,097,000,000.00 	 2005
85 	 Ecuador 	   4,040,000,000.00 	 2006
86 	 Botswana 	   3,947,000,000.00 	 2006
87 	 El Salvador 	   3,623,000,000.00 	 2005
88 	 Bangladesh 	   3,610,000,000.00 	 2006
89 	 Mauritius 	   3,598,000,000.00 	 2006
90 	 Latvia 	   2,705,000,000.00 	 2006
91 	 Bolivia 	   2,200,000,000.00 	 2005
92 	 Bermuda 	   2,125,000,000.00 	 2005
93 	 Ghana 	   1,729,000,000.00 	 2006
94 	 Costa Rica 	   1,478,000,000.00 	 2005
95 	 Zambia 	    988,900,000.00 	 2005
96 	 Nepal 	    963,500,000.00 	 2005
97 	 Macedonia 	    646,000,000.00 	 2005
98 	 Tanzania 	    587,900,000.00 	 2005
99 	 Fiji 	    586,700,000.00 	 2005
100 	 Moldova 	    573,900,000.00 	 2004
101 	 Namibia 	    541,800,000.00 	 2006
102 	 Macau 	    413,100,000.00 	 2004
103 	 Georgia 	    354,600,000.00 	 2005
104 	 Uruguay 	    354,000,000.00 	 2005
105 	 Paraguay 	    233,800,000.00 	 2005
106 	 Swaziland 	    196,800,000.00 	 2005
107 	 Guyana 	    187,300,000.00 	 2005
108 	 Cayman Islands 	    130,000,000.00 	 2005
109 	 Uganda 	    103,400,000.00 	 2005
110 	 Mongolia 	     45,620,000.00 	 2005
111 	 Armenia 	     42,800,000.00 	 2005
112 	 Kyrgyzstan 	     41,990,000.00 	 2005
113 	 Uzbekistan 	     36,890,000.00 	 2005

 This file was last updated on 13 December, 2007
