This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
1 	 World 	 $   13,890,000,000,000 	 2006 est.
2 	 Germany 	 $    1,354,000,000,000 	 2007 est.
3 	 European Union 	 $    1,330,000,000,000 	 2005
4 	 China 	 $    1,220,000,000,000 	 2007 est.
5 	 United States 	 $    1,148,000,000,000 	 2007 est.
6 	 Japan 	 $     678,100,000,000 	 2007 est.
7 	 France 	 $     546,000,000,000 	 2007 est.
8 	 Italy 	 $     502,400,000,000 	 2007 est.
9 	 Netherlands 	 $     456,800,000,000 	 2007 est.
10 	 United Kingdom 	 $     442,200,000,000 	 2007 est.
11 	 Canada 	 $     431,100,000,000 	 2007 est.
12 	 Korea, South 	 $     379,000,000,000 	 2007 est.
13 	 Russia 	 $     355,500,000,000 	 2007 est.
14 	 Hong Kong 	 $     345,900,000,000 	 2007 est.
15 	 Belgium 	 $     322,200,000,000 	 2007 est.
16 	 Singapore 	 $     302,700,000,000 	 2007 est.
17 	 Mexico 	 $     271,900,000,000 	 2007 est.
18 	 Spain 	 $     256,700,000,000 	 2007 est.
19 	 Taiwan 	 $     246,500,000,000 	 2007 est.
20 	 Saudi Arabia 	 $     226,700,000,000 	 2007 est.
21 	 Switzerland 	 $     200,100,000,000 	 2007 est.
22 	 United Arab Emirates 	 $     178,900,000,000 	 2007 est.
23 	 Malaysia 	 $     176,400,000,000 	 2007 est.
24 	 Sweden 	 $     170,100,000,000 	 2007 est.
25 	 Austria 	 $     162,100,000,000 	 2007 est.
26 	 Brazil 	 $     160,600,000,000 	 2007 est.
27 	 India 	 $     151,300,000,000 	 2007 est.
28 	 Thailand 	 $     151,100,000,000 	 2007 est.
29 	 Poland 	 $     144,600,000,000 	 2007 est.
30 	 Australia 	 $     142,100,000,000 	 2007 est.
31 	 Norway 	 $     140,300,000,000 	 2007 est.
32 	 Czech Republic 	 $     122,300,000,000 	 2007 est.
33 	 Indonesia 	 $     118,000,000,000 	 2007 est.
34 	 Ireland 	 $     115,500,000,000 	 2007 est.
35 	 Turkey 	 $     115,300,000,000 	 2007 est.
36 	 Denmark 	 $     101,200,000,000 	 2007 est.
37 	 Finland 	 $      89,910,000,000 	 2007 est.
38 	 Iran 	 $      88,260,000,000 	 2007 est.
39 	 Hungary 	 $      87,770,000,000 	 2007 est.
40 	 South Africa 	 $      76,190,000,000 	 2007 est.
41 	 Venezuela 	 $      69,170,000,000 	 2007 est.
42 	 Chile 	 $      67,640,000,000 	 2007 est.
43 	 Kuwait 	 $      63,720,000,000 	 2007 est.
44 	 Nigeria 	 $      61,790,000,000 	 2007 est.
45 	 Algeria 	 $      60,510,000,000 	 2007 est.
46 	 Slovakia 	 $      57,530,000,000 	 2007 est.
47 	 Argentina 	 $      55,780,000,000 	 2007 est.
48 	 Portugal 	 $      51,500,000,000 	 2007 est.
49 	 Israel 	 $      50,370,000,000 	 2007 est.
50 	 Ukraine 	 $      49,840,000,000 	 2007 est.
51 	 Philippines 	 $      49,320,000,000 	 2007 est.
52 	 Vietnam 	 $      48,560,000,000 	 2007 est.
53 	 Kazakhstan 	 $      48,350,000,000 	 2007 est.
54 	 Puerto Rico 	 $      46,900,000,000 	 2001
55 	 Angola 	 $      45,030,000,000 	 2007 est.
56 	 Libya 	 $      42,970,000,000 	 2007 est.
57 	 Qatar 	 $      42,020,000,000 	 2007 est.
58 	 Romania 	 $      40,320,000,000 	 2007 est.
59 	 Iraq 	 $      38,140,000,000 	 2007 est.
60 	 Colombia 	 $      30,580,000,000 	 2007 est.
61 	 Peru 	 $      27,960,000,000 	 2007 est.
62 	 New Zealand 	 $      27,350,000,000 	 2007 est.
63 	 Slovenia 	 $      27,060,000,000 	 2007 est.
64 	 Belarus 	 $      24,470,000,000 	 2007 est.
65 	 Egypt 	 $      24,450,000,000 	 2007 est.
66 	 Greece 	 $      23,910,000,000 	 2007 est.
67 	 Oman 	 $      23,100,000,000 	 2007 est.
68 	 Azerbaijan 	 $      21,270,000,000 	 2007 est.
69 	 Bulgaria 	 $      18,440,000,000 	 2007 est.
70 	 Luxembourg 	 $      18,420,000,000 	 2007 est.
