This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
1 	 World 	      3,131,000,000 	 2007 est.
2 	 China 	       800,700,000 	 2007 est.
3 	 India 	       516,400,000 	 2007 est.
4 	 European Union 	       222,700,000 	 2006 est.
5 	 United States 	       153,100,000 	 2007 est.
6 	 Indonesia 	       109,900,000 	 2007 est.
7 	 Brazil 	        99,230,000 	 2007 est.
8 	 Russia 	        75,100,000 	 2007 est.
9 	 Bangladesh 	        69,400,000 	 2007 est.
10 	 Japan 	        66,690,000 	 2007 est.
11 	 Nigeria 	        50,130,000 	 2007 est.
12 	 Pakistan 	        48,230,000 	 2007 est.
13 	 Vietnam 	        46,420,000 	 2007 est.
14 	 Mexico 	        44,710,000 	 2007 est.
15 	 Germany 	        43,540,000 	 2007 est.
16 	 Thailand 	        36,900,000 	 2007 est.
17 	 Philippines 	        36,220,000 	 2007 est.
18 	 United Kingdom 	        30,890,000 	 2007 est.
19 	 Burma 	        29,260,000 	 2007 est.
20 	 Iran 	        28,700,000 	 2006 est.
21 	 France 	        27,910,000 	 2007 est.
22 	 Ethiopia 	        27,270,000 	 1999
23 	 Italy 	        24,740,000 	 2007 est.
24 	 Korea, South 	        24,220,000 	 2007 est.
25 	 Turkey 	        23,530,000 	 2007 est.
26 	 Spain 	        22,190,000 	 2007 est.
27 	 Egypt 	        22,100,000 	 2007 est.
28 	 Ukraine 	        21,580,000 	 2007 est.
29 	 Colombia 	        20,500,000 	 2007 est.
30 	 South Africa 	        20,490,000 	 2007 est.
31 	 Tanzania 	        20,040,000 	 2007 est.
32 	 Korea, North 	        20,000,000 	 2004 est.
33 	 Canada 	        17,950,000 	 2007 est.
34 	 Poland 	        16,860,000 	 2007 est.
35 	 Argentina 	        16,030,000 	 2007 est.
36 	 Afghanistan 	        15,000,000 	 2004 est.
37 	 Congo, Democratic Republic of the 	        15,000,000 	 2006 est.
38 	 Uzbekistan 	        14,600,000 	 2007 est.
39 	 Uganda 	        14,020,000 	 2007 est.
40 	 Venezuela 	        12,370,000 	 2007 est.
41 	 Kenya 	        11,850,000 	 2005 est.
42 	 Morocco 	        11,390,000 	 2007 est.
43 	 Ghana 	        11,290,000 	 2007 est.
44 	 Nepal 	        11,110,000 	 2006 est.
45 	 Australia 	        10,950,000 	 2007 est.
46 	 Malaysia 	        10,940,000 	 2007 est.
47 	 Taiwan 	        10,710,000 	 2007 est.
48 	 Peru 	         9,839,000 	 2007 est.
49 	 Mozambique 	         9,600,000 	 2007 est.
50 	 Algeria 	         9,380,000 	 2007 est.
51 	 Romania 	         9,300,000 	 2007 est.
52 	 Kazakhstan 	         8,229,000 	 2007 est.
53 	 Netherlands 	         7,604,000 	 2007 est.
54 	 Sri Lanka 	         7,489,000 	 2007 est.
55 	 Sudan 	         7,415,000 	 1996 est.
56 	 Iraq 	         7,400,000 	 2004 est.
57 	 Madagascar 	         7,300,000 	 2000
58 	 Chile 	         7,167,000 	 2007 est.
59 	 Angola 	         7,148,000 	 2007 est.
60 	 Cambodia 	         7,000,000 	 2003 est.
61 	 Cote d'Ivoire 	         6,907,000 	 2007 est.
62 	 Cameroon 	         6,674,000 	 2007 est.
63 	 Saudi Arabia 	         6,563,000 	 2007 est.
64 	 Yemen 	         6,305,000 	 2007 est.
65 	 Portugal 	         5,618,000 	 2007 est.
66 	 Syria 	         5,462,000 	 2007 est.
67 	 Mali 	         5,400,000 	 2007 est.
68 	 Benin 	         5,380,000 	 2007 est.
69 	 Czech Republic 	         5,360,000 	 2007 est.
