This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - consumption(bbl/day) 	 Date of Information
1 	 World 	        85,270,000 	 2007 est.
2 	 United States 	        20,680,000 	 2007 est.
3 	 European Union 	        14,390,000 	 2007
4 	 China 	         7,578,000 	 2007 est.
5 	 Japan 	         5,007,000 	 2007 est.
6 	 Russia 	         2,858,000 	 2007 est.
7 	 India 	         2,722,000 	 2007 est.
8 	 Germany 	         2,456,000 	 2007 est.
9 	 Brazil 	         2,372,000 	 2007 est.
10 	 Canada 	         2,371,000 	 2007 est.
11 	 Saudi Arabia 	         2,311,000 	 2007 est.
12 	 Korea, South 	         2,214,000 	 2007 est.
13 	 Mexico 	         2,119,000 	 2007 est.
14 	 France 	         1,950,000 	 2007 est.
15 	 United Kingdom 	         1,763,000 	 2007 est.
16 	 Italy 	         1,702,000 	 2007 est.
17 	 Iran 	         1,679,000 	 2006 est.
18 	 Spain 	         1,611,000 	 2007 est.
19 	 Indonesia 	         1,219,000 	 2006 est.
20 	 Netherlands 	          984,200 	 2007 est.
21 	 Australia 	          966,200 	 2007 est.
22 	 Taiwan 	          950,500 	 2006 est.
23 	 Thailand 	          928,600 	 2006 est.
24 	 Singapore 	          834,600 	 2006 est.
25 	 Venezuela 	          738,300 	 2007 est.
26 	 Turkey 	          676,600 	 2007 est.
27 	 Egypt 	          652,700 	 2006 est.
28 	 Belgium 	          628,500 	 2007 est.
29 	 Argentina 	          525,100 	 2006 est.
30 	 Poland 	          524,000 	 2007 est.
31 	 South Africa 	          504,900 	 2006 est.
32 	 Malaysia 	          501,100 	 2006 est.
33 	 Greece 	          441,400 	 2007 est.
34 	 United Arab Emirates 	          381,000 	 2006 est.
35 	 Sweden 	          353,700 	 2007 est.
36 	 Pakistan 	          345,000 	 2006 est.
37 	 Ukraine 	          344,000 	 2006 est.
38 	 Philippines 	          340,100 	 2006 est.
39 	 Kuwait 	          334,700 	 2006 est.
40 	 Nigeria 	          312,000 	 2006 est.
41 	 Portugal 	          301,000 	 2007 est.
42 	 Iraq 	          295,000 	 2007 est.
43 	 Hong Kong 	          293,100 	 2006 est.
44 	 Austria 	          289,400 	 2007 est.
45 	 Algeria 	          279,800 	 2006 est.
46 	 Libya 	          278,700 	 2006 est.
