This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet hosts 	 Date of Information
1 	 United States 	       316,000,000 	 
2 	 Japan 	        39,909,000 	 2008
3 	 Germany 	        22,606,000 	 2008
4 	 Italy 	        17,702,000 	 2008
5 	 China 	        14,306,000 	 2008
6 	 France 	        14,256,000 	 2008
7 	 Australia 	        11,134,000 	 2008
8 	 Netherlands 	        10,983,000 	 2008
9 	 Mexico 	        10,653,000 	 2008
10 	 Brazil 	         9,573,000 	 2008
11 	 United Kingdom 	         8,269,000 	 2008
12 	 Poland 	         7,808,000 	 2008
13 	 Taiwan 	         5,225,000 	 2008
14 	 Canada 	         5,119,000 	 2008
15 	 Russia 	         4,822,000 	 2008
16 	 Finland 	         3,877,000 	 2008
17 	 Belgium 	         3,841,000 	 2008
18 	 Argentina 	         3,813,000 	 2008
19 	 Denmark 	         3,642,000 	 2008
20 	 Sweden 	         3,579,000 	 2008
21 	 Switzerland 	         3,437,000 	 2008
22 	 Spain 	         3,264,000 	 2008
23 	 Norway 	         2,995,000 	 2008
24 	 Austria 	         2,806,000 	 2008
25 	 India 	         2,707,000 	 2008
26 	 Turkey 	         2,667,000 	 2008
27 	 Czech Republic 	         2,434,000 	 2008
28 	 Romania 	         2,195,000 	 2008
29 	 Hungary 	         1,879,000 	 2008
30 	 Portugal 	         1,858,000 	 2008
31 	 New Zealand 	         1,720,000 	 2008
32 	 Greece 	         1,626,000 	 2008
33 	 Colombia 	         1,554,000 	 2008
34 	 Israel 	         1,415,000 	 2008
35 	 South Africa 	         1,297,000 	 2008
36 	 Ireland 	         1,242,000 	 2008
37 	 Thailand 	         1,116,000 	 2008
38 	 Croatia 	         1,111,000 	 2008
39 	 Chile 	          847,215 	 2008
40 	 Singapore 	          837,559 	 2008
41 	 Hong Kong 	          817,766 	 2008
42 	 Lithuania 	          812,083 	 2008
43 	 Indonesia 	          753,200 	 2008
44 	 Slovakia 	          717,744 	 2008
45 	 Estonia 	          645,495 	 2008
46 	 Ukraine 	          524,202 	 2008
47 	 Bulgaria 	          513,470 	 2008
48 	 Uruguay 	          480,593 	 2008
49 	 Niue 	          382,599 	 2008
50 	 United Arab Emirates 	          381,915 	 2008
51 	 Malaysia 	          377,716 	 2008
52 	 Korea, South 	          333,823 	 2008
53 	 Philippines 	          283,579 	 2008
54 	 Morocco 	          275,889 	 2008
55 	 Peru 	          271,745 	 2008
56 	 Iceland 	          263,980 	 2008
57 	 Moldova 	          223,869 	 2008
58 	 Latvia 	          220,082 	 2008
59 	 Pakistan 	          197,264 	 2008
60 	 Luxembourg 	          180,756 	 2008
61 	 Egypt 	          175,342 	 2008
62 	 Trinidad and Tobago 	          155,722 	 2008
63 	 Venezuela 	          145,394 	 2008
64 	 Cyprus 	          143,099 	 2008
65 	 Saudi Arabia 	          141,232 	 2008
66 	 Guatemala 	          124,095 	 2008
67 	 Dominican Republic 	          105,546 	 2008
68 	 Vietnam 	           84,151 	 2008
69 	 Slovenia 	           75,984 	 2008
70 	 Bolivia 	           68,428 	 2008
71 	 Belarus 	           68,118 	 2008
72 	 Nicaragua 	           58,157 	 2008
73 	 Kyrgyzstan 	           56,905 	 2008
