This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Reserves of foreign exchange and gold 	 Date of Information
1 	 China 	 $    1,534,000,000,000 	 31 December 2007 est.
2 	 Japan 	 $     954,100,000,000 	 31 December 2007 est.
3 	 Russia 	 $     476,400,000,000 	 31 December 2007 est.
4 	 India 	 $     275,000,000,000 	 31 December 2007 est.
5 	 Taiwan 	 $     275,000,000,000 	 31 December 2007
6 	 Korea, South 	 $     262,200,000,000 	 31 December 2007
7 	 Brazil 	 $     180,300,000,000 	 31 December 2007
8 	 Singapore 	 $     163,000,000,000 	 31 December 2007 est.
9 	 Hong Kong 	 $     152,700,000,000 	 31 December 2007 est.
10 	 Germany 	 $     136,200,000,000 	 31 December 2007 est.
11 	 France 	 $     115,700,000,000 	 2006 est.
12 	 Algeria 	 $     110,600,000,000 	 31 December 2007 est.
13 	 Malaysia 	 $     101,100,000,000 	 31 December 2007 est.
14 	 Italy 	 $      94,330,000,000 	 31 December 2007 est.
15 	 Thailand 	 $      87,460,000,000 	 31 December 2007 est.
16 	 Mexico 	 $      87,190,000,000 	 31 December 2007 est.
17 	 Libya 	 $      79,600,000,000 	 31 December 2007 est.
18 	 United Arab Emirates 	 $      77,240,000,000 	 31 December 2007 est.
19 	 Turkey 	 $      76,510,000,000 	 31 December 2007 est.
20 	 Switzerland 	 $      75,370,000,000 	 2006 est.
21 	 United States 	 $      70,570,000,000 	 31 December 2007 est.
22 	 Iran 	 $      69,200,000,000 	 2007 est.
23 	 Poland 	 $      65,750,000,000 	 31 December 2007 est.
24 	 Norway 	 $      60,840,000,000 	 2006 est.
25 	 United Kingdom 	 $      57,300,000,000 	 31 December 2007 est.
26 	 Indonesia 	 $      56,920,000,000 	 31 December 2007 est.
27 	 Nigeria 	 $      51,330,000,000 	 31 December 2007 est.
28 	 Argentina 	 $      46,120,000,000 	 31 December 2007 est.
29 	 Canada 	 $      41,080,000,000 	 2007 est.
30 	 Romania 	 $      39,960,000,000 	 31 December 2007
31 	 Czech Republic 	 $      34,590,000,000 	 31 December 2007 est.
32 	 Denmark 	 $      34,320,000,000 	 2006 est.
33 	 Saudi Arabia 	 $      34,010,000,000 	 31 December 2007 est.
34 	 Philippines 	 $      33,750,000,000 	 31 December 2007 est.
35 	 Venezuela 	 $      33,480,000,000 	 31 December 2007 est.
36 	 South Africa 	 $      32,940,000,000 	 31 December 2007
37 	 Ukraine 	 $      32,480,000,000 	 31 December 2007 est.
38 	 Egypt 	 $      31,370,000,000 	 31 December 2007 est.
39 	 Sweden 	 $      31,040,000,000 	 2006 est.
40 	 Israel 	 $      28,520,000,000 	 31 December 2007 est.
41 	 Peru 	 $      27,780,000,000 	 31 December 2007 est.
42 	 Netherlands 	 $      26,980,000,000 	 31 December 2007 est.
43 	 Australia 	 $      26,910,000,000 	 31 December 2007 est.
44 	 Iraq 	 $      25,660,000,000 	 31 December 2007 est.
45 	 Morocco 	 $      24,720,000,000 	 31 December 2007 est.
46 	 Hungary 	 $      24,050,000,000 	 31 December 2007 est.
47 	 Vietnam 	 $      23,870,000,000 	 31 December 2007 est.
48 	 Colombia 	 $      20,950,000,000 	 31 December 2007 est.
49 	 Lebanon 	 $      20,550,000,000 	 31 December 2007 est.
50 	 Spain 	 $      19,050,000,000 	 31 December 2007 est.
