This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Stock of domestic credit 	 Date of Information
1 	 European Union 	  20,940,000,000,000.00 	 31 December 2007
2 	 United States 	  14,150,000,000,000.00 	 31 December 2007
3 	 Japan 	  9,653,000,000,000.00 	 31 December 2007
4 	 United Kingdom 	  5,278,000,000,000.00 	 31 December 2007
5 	 Germany 	  5,081,000,000,000.00 	 31 December 2007
6 	 China 	  4,653,000,000,000.00 	 31 December 2007
7 	 France 	  4,105,000,000,000.00 	 31 December 2007
8 	 Spain 	  3,177,000,000,000.00 	 31 December 2007
9 	 Italy 	  3,084,000,000,000.00 	 31 December 2007
10 	 Canada 	  2,382,000,000,000.00 	 31 December 2007
11 	 Netherlands 	  1,876,000,000,000.00 	 31 December 2007
12 	 Brazil 	  1,377,000,000,000.00 	 31 December 2007
13 	 Australia 	  1,312,000,000,000.00 	 31 December 2007
14 	 Korea, South 	  1,061,000,000,000.00 	 31 December 2007
15 	 Burma 	  887,700,000,000.00 	 31 December 2007
16 	 Switzerland 	  855,400,000,000.00 	 31 December 2007
17 	 India 	  769,300,000,000.00 	 31 December 2007
18 	 Ireland 	  768,900,000,000.00 	 31 December 2007
19 	 Belgium 	  767,700,000,000.00 	 31 December 2007
20 	 Denmark 	  684,700,000,000.00 	 31 December 2007
21 	 Sweden 	  630,800,000,000.00 	 31 December 2007
22 	 Austria 	  599,500,000,000.00 	 31 December 2007
23 	 Portugal 	  451,900,000,000.00 	 31 December 2007
24 	 Greece 	  392,400,000,000.00 	 31 December 2007
25 	 Turkey 	  358,100,000,000.00 	 31 December 2007
26 	 Luxembourg 	  357,900,000,000.00 	 31 December 2007
27 	 Mexico 	  349,100,000,000.00 	 31 December 2007
28 	 Russia 	  339,100,000,000.00 	 31 December 2007
29 	 Hong Kong 	  259,700,000,000.00 	 31 December 2007
30 	 South Africa 	  254,900,000,000.00 	 31 December 2007
31 	 Thailand 	  241,800,000,000.00 	 31 December 2007
32 	 Finland 	  240,700,000,000.00 	 31 December 2007
33 	 Poland 	  223,200,000,000.00 	 31 December 2007
34 	 Malaysia 	  220,000,000,000.00 	 31 December 2007
35 	 New Zealand 	  200,100,000,000.00 	 31 December 2007
36 	 Indonesia 	  170,200,000,000.00 	 31 December 2007
37 	 United Arab Emirates 	  155,400,000,000.00 	 31 December 2007
38 	 Singapore 	  129,200,000,000.00 	 31 December 2007
39 	 Chile 	  127,100,000,000.00 	 31 December 2007
40 	 Egypt 	  113,900,000,000.00 	 31 December 2007
41 	 Israel 	  113,400,000,000.00 	 31 December 2006
42 	 Iran 	  109,700,000,000.00 	 31 December 2007
43 	 Hungary 	  109,500,000,000.00 	 31 December 2007
44 	 Czech Republic 	  103,900,000,000.00 	 31 December 2007
45 	 Ukraine 	  87,130,000,000.00 	 31 December 2007
46 	 Colombia 	  85,340,000,000.00 	 31 December 2007
47 	 Kuwait 	  78,250,000,000.00 	 31 December 2007
48 	 Argentina 	  72,550,000,000.00 	 31 December 2007
49 	 Morocco 	  71,900,000,000.00 	 31 December 2007
50 	 Vietnam 	  68,630,000,000.00 	 31 December 2007
51 	 Saudi Arabia 	  66,940,000,000.00 	 31 December 2007
52 	 Philippines 	  65,660,000,000.00 	 31 December 2007
53 	 Pakistan 	  65,050,000,000.00 	 31 December 2007
54 	 Romania 	  58,760,000,000.00 	 31 December 2007
55 	 Cyprus 	  52,090,000,000.00 	 31 December 2007
56 	 Syria 	  50,920,000,000.00 	 31 December 2006
57 	 Venezuela 	  50,240,000,000.00 	 31 December 2007
58 	 Iceland 	  49,670,000,000.00 	 31 December 2006
59 	 Croatia 	  45,700,000,000.00 	 31 December 2007
60 	 Lebanon 	  45,510,000,000.00 	 31 December 2007
