1	China	      815,300,000
2	India	      478,300,000
3	European Union	      227,500,000
4	United States	      153,900,000
5	Indonesia	      116,500,000
6	Brazil	      102,200,000
7	Russia	       75,490,000
8	Bangladesh	       73,860,000
9	Japan	       62,970,000
10	Pakistan	       55,770,000
11	Nigeria	       50,480,000
12	Vietnam	       47,370,000
13	Mexico	       46,990,000
14	Germany	       43,490,000
15	Philippines	       38,900,000
16	Thailand	       38,640,000
17	Ethiopia	       37,900,000
18	Congo, Democratic Republic of the	       33,680,000
19	Burma	       31,680,000
20	United Kingdom	       31,520,000
21	France	       29,320,000
22	Egypt	       26,200,000
23	Iran	       25,700,000
24	Turkey	       25,640,000
25	Italy	       24,990,000
26	Korea, South	       24,750,000
27	Tanzania	       23,390,000
28	Spain	       23,090,000
29	Ukraine	       22,020,000
30	Colombia	       21,780,000
31	Canada	       18,530,000
32	Nepal	       18,000,000
33	Kenya	       17,900,000
34	Poland	       17,660,000
35	South Africa	       17,390,000
36	Argentina	       16,540,000
37	Uzbekistan	       16,000,000
38	Uganda	       15,510,000
39	Afghanistan	       15,000,000
40	Venezuela	       13,110,000
41	Korea, North	       12,200,000
42	Sudan	       11,920,000
43	Australia	       11,870,000
44	Malaysia	       11,630,000
45	Morocco	       11,440,000
46	Taiwan	       11,070,000
47	Algeria	       10,810,000
48	Peru	       10,580,000
49	Ghana	       10,560,000
50	Mozambique	        9,871,000
51	Madagascar	        9,504,000
52	Romania	        9,258,000
53	Cambodia	        8,800,000
54	Kazakhstan	        8,611,000
55	Iraq	        8,500,000
56	Sri Lanka	        8,074,000
57	Angola	        8,014,000
58	Chile	        7,918,000
59	Cameroon	        7,836,000
60	Netherlands	        7,816,000
61	Saudi Arabia	        7,337,000
62	Yemen	        6,832,000
63	Burkina Faso	        6,668,000
64	Azerbaijan	        5,933,000
65	Malawi	        5,747,000
66	Portugal	        5,581,000
67	Senegal	        5,532,000
68	Syria	        5,529,000
69	Zambia	        5,460,000
70	Czech Republic	        5,415,000
71	Cuba	        5,147,000
72	Belgium	        5,114,000
73	Greece	        5,013,000
74	Belarus	        5,000,000
75	Sweden	        4,961,000
76	Haiti	        4,810,000
77	Niger	        4,688,000
78	Ecuador	        4,645,000
79	Dominican Republic	        4,630,000
80	Bolivia	        4,614,000
81	Rwanda	        4,446,000
82	Guinea	        4,392,000
83	Chad	        4,293,000
84	Burundi	        4,245,000
85	Hungary	        4,230,000
86	Switzerland	        4,218,000
87	Guatemala	        4,146,000
88	Zimbabwe	        3,848,000
89	Papua New Guinea	        3,809,000
90	Tunisia	        3,769,000
91	United Arab Emirates	        3,705,000
92	Laos	        3,690,000
93	Hong Kong	        3,676,000
94	Benin	        3,662,000
95	Austria	        3,611,000
96	Somalia	        3,447,000
97	Honduras	        3,394,000
98	Serbia	        3,250,000
99	Mali	        3,241,000
100	Singapore	        3,156,000
101	Israel	        3,147,000
102	Paraguay	        3,033,000
103	Denmark	        2,852,000
104	Nicaragua	        2,811,000
105	Slovakia	        2,707,000
106	Finland	        2,672,000
107	Norway	        2,602,000
108	Bosnia and Herzegovina	        2,600,000
109	Togo	        2,595,000
110	El Salvador	        2,564,000
111	Bulgaria	        2,499,000
112	Kyrgyzstan	        2,344,000
113	New Zealand	        2,333,000
114	Turkmenistan	        2,300,000
115	Sierra Leone	        2,207,000
116	Kuwait	        2,158,000
117	Ireland	        2,140,000
118	Tajikistan	        2,100,000
119	Costa Rica	        2,052,000
120	Eritrea	        1,935,000
121	Central African Republic	        1,926,000
122	Georgia	        1,918,000
123	Libya	        1,728,000
124	Croatia	        1,721,000
125	Jordan	        1,719,000
126	Uruguay	        1,637,000
127	Lithuania	        1,635,000
128	Congo, Republic of the	        1,514,000
129	Panama	        1,485,000
130	Lebanon	        1,481,000
131	Armenia	        1,481,000
132	Puerto Rico	        1,479,000
133	Liberia	        1,372,000
134	Mauritania	        1,318,000
135	Jamaica	        1,317,000
136	Qatar	        1,242,000
137	Moldova	        1,235,000
138	Botswana	        1,225,000
139	Latvia	        1,178,000
140	Mongolia	        1,068,000
141	Albania	        1,053,000
142	Oman	         968,800
143	Macedonia	         938,300
144	Slovenia	         935,500
145	Lesotho	         854,600
146	Namibia	         789,100
147	Gambia, The	         777,100
148	Gabon	         714,500
149	West Bank	         694,000
150	Estonia	         686,800
151	Bahrain	         654,900
152	Trinidad and Tobago	         634,300
153	Guinea-Bissau	         632,700
154	Mauritius	         597,300
155	Swaziland	         457,900
156	Timor-Leste	         414,200
157	Cyprus	         407,700
158	Djibouti	         351,700
159	Gaza Strip	         339,000
160	Fiji	         335,000
161	Guyana	         333,900
162	Macau	         330,900
163	Kosovo	         310,000
164	Bhutan	         299,900
165	Comoros	         268,500
166	Malta	         265,200
167	Montenegro	         259,100
168	Luxembourg	         205,900
169	Solomon Islands	         202,500
170	Cape Verde	         196,100
171	Equatorial Guinea	         195,200
172	Brunei	         188,800
173	Bahamas, The	         184,000
174	Iceland	         181,000
175	Barbados	         175,000
176	Suriname	         165,600
177	Western Sahara	         144,000
178	Belize	         120,500
179	French Polynesia	         116,000
180	Vanuatu	         115,900
181	Maldives	         110,000
182	New Caledonia	         102,600
183	Saint Lucia	          79,700
184	Samoa	          66,270
185	Curacao	          63,000
186	Saint Vincent and the Grenadines	          57,520
187	Jersey	          53,560
188	Sao Tome and Principe	          52,490
189	Virgin Islands	          49,820
190	Monaco	          44,000
191	Grenada	          42,300
192	Aruba	          41,500
193	Tonga	          39,960
194	Isle of Man	          39,690
195	Seychelles	          39,560
196	Cayman Islands	          39,000
197	Northern Mariana Islands	          38,450
198	Bermuda	          38,360
199	Andorra	          38,220
200	Faroe Islands	          34,680
201	Liechtenstein	          32,880
202	Guernsey	          31,470
203	Antigua and Barbuda	          30,000
204	Greenland	          28,240
205	Dominica	          25,000
206	Sint Maarten	          23,200
207	San Marino	          22,950
208	Saint Kitts and Nevis	          18,170
209	American Samoa	          17,630
