Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Afghanistan	AFG	..	..	..	..	..	..	..	..	..	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Albania	ALB	..	..	..	..	..	..	..	..	-1.2204149231453	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Algeria	DZA	..	..	..	..	..	..	..	..	..	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Andorra	ADO	..	..	..	..	..	..	..	..	..	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Angola	AGO	..	..	..	..	..	..	..	..	..	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Antigua and Barbuda	ATG	..	..	..	..	..	..	..	..	..	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Argentina	ARG	..	..	..	..	..	..	..	..	6.42738595087378	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Armenia	ARM	..	..	..	..	..	..	..	..	..	-1.48547402880673	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Aruba	ABW	..	..	..	..	..	..	..	..	..	..	..	..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"	SI.SPR.PC40.ZG	Australia	AUS	..	..	..	..	..	..	4.39	..	..	..	..	..
